序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,,,
23,CM-0-2-4-2,出院日期时间,字符串,是,"例:""1970-01-01 12:00""",出院日期时间应大于入院日期时间;,住院时间应大于24小时;,住院时间应应小于90天,,,,,
24,CM-0-2-5-1,入住ICU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
25,CM-0-2-5-2,离开ICU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,离开ICU日期时间应大于入住ICU日期时间,,,,,,
26,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,,,,
27,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,,,,
28,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,,,,
29,Cap-Adult-1-1,是否实施CAP病情严重程度的评价,字符串,是,"例:""y""",见,Cap-Adult-1-1选择代码表,,,,,,
30,Cap-Adult-1,病情严重程度的评价,字符串,参考备注,"例:""CURB-65""","是否实施CAP病情严重程度的评价(Cap-Adult-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-1选择代码表,,,,
31,Cap-Adult-1-1-1,首次CURB-65评分数值,数值,参考备注,例:10,"病情严重程度的评价(Cap-Adult-1)等于""首次CURB-65评分""(CURB-65)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
32,Cap-Adult-1-1-1-1,风险程度评估,字符串,否,"例:""a""","病情严重程度的评价(Cap-Adult-1)等于""首次CURB-65评分""(CURB-65)时可填写;",见,Cap-Adult-1-1-1-1选择代码表,,,,,
33,Cap-Adult-1-1-2,首次PSI评分数值,数值,参考备注,例:10,"病情严重程度的评价(Cap-Adult-1)等于""首次PSI评分""(PSI)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
34,Cap-Adult-1-1-2-1,风险程度评估,字符串,否,"例:""a""","病情严重程度的评价(Cap-Adult-1)等于""首次PSI评分""(PSI)时可填写;",见,Cap-Adult-1-1-2-1选择代码表,,,,,
35,Cap-Adult-1-1-3,CRB-65 评分数值,数值,参考备注,例:10,"病情严重程度的评价(Cap-Adult-1)等于""首次CRB-65评分""(CRB-65)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
36,Cap-Adult-1-1-3-1,风险程度评估,字符串,否,"例:""a""","病情严重程度的评价(Cap-Adult-1)等于""首次CRB-65评分""(CRB-65)时可填写;",见,Cap-Adult-1-1-3-1选择代码表,,,,,
37,Cap-Adult-1-1-4,SMART-COP评分数值,数值,参考备注,例:10,"病情严重程度的评价(Cap-Adult-1)等于""首次SMART-COP评分""(SMART-COP)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
38,Cap-Adult-1-1-4-1,风险程度评估,字符串,否,"例:""a""","病情严重程度的评价(Cap-Adult-1)等于""首次SMART-COP评分""(SMART-COP)时可填写;",见,Cap-Adult-1-1-4-1选择代码表,,,,,
39,Cap-Adult-1-2-1,是否重症肺炎诊断,字符串,是,"例:""y""",见,Cap-Adult-1-2-1选择代码表,,,,,,
40,Cap-Adult-1-2-2,重症肺炎诊断主要标准,数组,参考备注,"例:[""a"",""b""]","是否重症肺炎诊断(Cap-Adult-1-2-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-1-2-2选择代码表,,,,
41,Cap-Adult-1-2-3,重症肺炎诊断次要标准,数组,参考备注,"例:[""c"",""d""]","是否重症肺炎诊断(Cap-Adult-1-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-1-2-3选择代码表,,,,
42,Cap-Adult-2-1,是否实施首次氧合评估（首次）,字符串,是,"例:""y""",见,Cap-Adult-2-1选择代码表,,,,,,
43,Cap-Adult-2-2,实施首次氧合评估时段,字符串,参考备注,"例:""a""","是否实施首次氧合评估（首次）(Cap-Adult-2-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-2-2选择代码表,,,,
44,Cap-Adult-2-3,实施首次氧合评估时是否吸氧（FiO2）,字符串,参考备注,"例:""y""","是否实施首次氧合评估（首次）(Cap-Adult-2-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-2-3选择代码表,,,,
45,Cap-Adult-2-4,动脉血气分析/指氧仪检查,字符串,参考备注,"例:""A""","是否实施首次氧合评估（首次）(Cap-Adult-2-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-2-4选择代码表,,,,
46,Cap-Adult-2-4-3,动脉血气分析值(mmhg),数值,参考备注,例:10,"是否实施首次氧合评估（首次）(Cap-Adult-2-1)等于""否""(n)时无需填写;","动脉血气分析/指氧仪检查(Cap-Adult-2-4)等于""动脉血气分析（PaO2）""(A)时必填;","动脉血气分析/指氧仪检查(Cap-Adult-2-4)等于""指氧仪检查（SatO2）""(B)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,动脉血气分析值应大于等于0,,,
47,Cap-Adult-2-4-4,指氧仪检查值(%),数值,参考备注,例:10,"是否实施首次氧合评估（首次）(Cap-Adult-2-1)等于""否""(n)时无需填写;","动脉血气分析/指氧仪检查(Cap-Adult-2-4)等于""动脉血气分析（PaO2）""(A)时无需填写;","动脉血气分析/指氧仪检查(Cap-Adult-2-4)等于""指氧仪检查（SatO2）""(B)时必填;",若该字段无相应取值，则接口中不必提交该字段,指氧仪检查值应大于等于0,,,
48,Cap-Adult-3-1-1,"住院的患者, 是否实施病原学诊断",字符串,是,"例:""y""",模块[病原学诊断];,当是否实施病源学诊断(Cap-Adult-3-1-1)值等于y时，下级联动选项为必填项。,若该字段等于n时，模块[病原学诊断]级联选项; 接口中不必提交,见,Cap-Adult-3-1-1选择代码表,,,
49,Cap-Adult-3-1-2,实施首次采集标本时段,字符串,参考备注,"例:""a""",模块[病原学诊断]级联选项;,当是否实施病源学诊断(Cap-Adult-3-1-1)值等于y时必填;,若该字段无相应取值，则接口中不必提交该字段,若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-3-1-2选择代码表,,
50,Cap-Adult-3-1-3,实施首次采集什么标本,数组,参考备注,"例:[""a"",""b""]","住院的患者, 是否实施病原学诊断(Cap-Adult-3-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-3-1-3选择代码表,,,,
51,Cap-Adult-3-1-3-1,其他首次采集标本,字符串,参考备注,"例:""填写文字说明""","实施首次采集什么标本(Cap-Adult-3-1-3)等于""采集“其他”标本""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
52,Cap-Adult-3-2-1,是否重症 CAP伴有特定临床情况,字符串,参考备注,"例:""y""","住院的患者, 是否实施病原学诊断(Cap-Adult-3-1-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-3-2-1选择代码表,,,,
53,Cap-Adult-3-2-2,特定临床情况选项,数组,参考备注,"例:[""a"",""b""]","是否重症 CAP伴有特定临床情况(Cap-Adult-3-2-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-3-2-2选择代码表,,,,
54,Cap-Adult-3-3-1,是否进行侵入性病原学检测,字符串,参考备注,"例:""y""",可选项;模块[病原学诊断]级联选项;,当是否实施病源学诊断(Cap-Adult-3-1-1)值等于y时必填;,"当是否侵入性病原学检测(Cap-Adult-3-3-1)值等于y时,下级联动必填项。","若该字段值等于n时,下级联动选项值以及之后其它-模块[病原学诊断]级联选项值接口中不必提交",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-3-3-1选择代码表,
55,Cap-Adult-3-3-2,实施侵入性病原学检测(ⅢB)的理由,数组,参考备注,"例:[""a"",""b""]","是否进行侵入性病原学检测(Cap-Adult-3-3-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-3-3-2选择代码表,,,,
56,Cap-Adult-3-3-3,侵入性病原学检测送检标本来源,数组,参考备注,"例:[""a"",""b""]","是否进行侵入性病原学检测(Cap-Adult-3-3-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-3-3-3选择代码表,,,,
57,Cap-Adult-3-3-3-1,其它侵入性病原学检测送检标本来源,字符串,参考备注,"例:""填写文字说明""","侵入性病原学检测送检标本来源(Cap-Adult-3-3-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
58,Cap-Adult-3-4-1,是否送检病原学标本,字符串,参考备注,"例:""y""",模块[病原学诊断]级联选项;,当是否侵入性病原学检测(Cap-Adult-3-3-1)等于y时必填;,若该字段无相应取值，则接口中不必提交该字段。,"若该字段值等于n时,下级联动选项值接口中不必提交",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-3-4-1选择代码表,
59,Cap-Adult-3-4-2,送检病原学检测项目选择,数组,参考备注,"例:[""a"",""b""]","是否送检病原学标本(Cap-Adult-3-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-3-4-2选择代码表,,,,
60,Cap-Adult-3-4-2-1,其它送检病原学检测项目,字符串,参考备注,"例:""填写文字说明""","送检病原学检测项目选择(Cap-Adult-3-4-2)等于""其他检测项目""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
61,Cap-Adult-3-5-1,病原学检测结果的选择,数组,参考备注,"例:[""a"",""b""]","是否送检病原学标本(Cap-Adult-3-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-3-5-1选择代码表,,,,
62,Cap-Adult-3-5-1-1,其它病原学检测结果,字符串,参考备注,"例:""填写文字说明""","病原学检测结果的选择(Cap-Adult-3-5-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
63,Cap-Adult-4-1,患者有无接受抗菌药物治疗,字符串,是,"例:""y""",模块[抗菌药物时机];,"当患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于y时,下级联动选项为必填项。","若该字段等于n时,下级联动选项值以及5、6、7三个模块内容字段值接口中不必提交。",即模块[起始抗菌药物选择]、模块[初始治疗72小时后无效者，重复病原学检查]、模块[氧疗与辅助呼吸]可跳过,见,Cap-Adult-4-1选择代码表,,
64,Cap-Adult-4-1-3,注射剂输入/注射起始日期,字符串,参考备注,"例:""1970-01-01 12:00""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""是""(y)时可填写;","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,接受首剂抗菌药物治疗起始日期应大于入院日期,,,,
65,Cap-Adult-4-2,接受首剂抗菌药物使用时机,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""是""(y)时必填;","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-4-2选择代码表,,,
66,Cap-Adult-4-3,治疗途径,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""是""(y)时必填;","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-4-3选择代码表,,,
67,Cap-Adult-4-4,注射剂输入/注射终止日期,字符串,参考备注,"例:""1970-01-01 12:00""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""是""(y)时可填写;","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,注射剂输入/注射终止日期应大于起始日期;,注射剂输入/注射终止日期应小于出院日期,,,
68,Cap-Adult-4-2-3,入院后使用抗菌药物（口服剂）首剂日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""是""(y)时可填写;","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,入院后使用抗菌药物日期应大于入院日期,,,,
69,Cap-Adult-4-2-4,末剂抗菌药物（口服剂）或出院日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""是""(y)时可填写;","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,末剂抗菌药物（口服剂）或出院日期应小于等于出院日期;,末剂抗菌药物（口服剂）或出院日期应大于入院后使用抗菌药物（口服剂）首剂日期与时间,,,
70,Cap-Adult-4-2-5,口服剂抗菌药物疗程（天数）,数值,否,例:10,"患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""是""(y)时可填写;","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","日期差值计算公式:末剂抗菌药物（口服剂）或出院日期与时间(Cap-Adult-4-2-4)-入院后使用抗菌药物（口服剂）首剂日期与时间(Cap-Adult-4-2-3),单位:天数",,,,,
71,Cap-Adult-5-1,用药前病情判定分层,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-1选择代码表,,,,
72,Cap-Adult-5-2,经验性抗感染药物的选择,数组,参考备注,"例:[""a"",""b""]","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2选择代码表,,,,
73,Cap-Adult-5-2-1,一代头孢菌素选择,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""一代头孢菌素""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2-1选择代码表,,,
74,Cap-Adult-5-2-2,二代头孢菌素选择,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""二代头孢菌素""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2-2选择代码表,,,
75,Cap-Adult-5-2-3,三代头孢菌素选择,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""三代头孢菌素""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2-3选择代码表,,,
76,Cap-Adult-5-2-4,头霉素类选择,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""头霉素类""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2-4选择代码表,,,
77,Cap-Adult-5-2-5,呼吸喹诺酮类选择,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""呼吸喹诺酮类""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2-5选择代码表,,,
78,Cap-Adult-5-2-6,氨基青霉素选择,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""氨基青霉素""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2-6选择代码表,,,
79,Cap-Adult-5-2-7,青霉素类/酶抑制剂受合物选择,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""青霉素类/酶抑制剂受合物""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2-7选择代码表,,,
80,Cap-Adult-5-2-8,大环内酯类选择,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""大环内酯类""(h)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2-8选择代码表,,,
81,Cap-Adult-5-2-9,有抗假单胞菌活性的喹诺酮类选择,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""有抗假单胞菌活性的喹诺酮类""(i)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2-9选择代码表,,,
82,Cap-Adult-5-2-10,有抗假单胞菌活性的-内酰胺类选择,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""有抗假单胞菌活性的-内酰胺类""(j)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2-10选择代码表,,,
83,Cap-Adult-5-2-11,氧头孢类选择,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""氧头孢类""(k)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2-11选择代码表,,,
84,Cap-Adult-5-2-12,氨基糖苷类选择,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""氨基糖苷类""(l)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2-12选择代码表,,,
85,Cap-Adult-5-2-13,四环类选择,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""四环类""(m)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2-13选择代码表,,,
86,Cap-Adult-5-2-14,神经氨酸抑制剂选择,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""神经氨酸抑制剂""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2-14选择代码表,,,
87,Cap-Adult-5-2-15,"经验性用药选用""特殊类使用种抗菌药物""药物选择",字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""经验性用药选用特殊类使用种抗菌药物药物""(o)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-5-2-15选择代码表,,,
88,Cap-Adult-5-2-16,其他抗菌药物,字符串,参考备注,"例:""填写文字说明""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","经验性抗感染药物的选择(Cap-Adult-5-2)等于""选用其他抗菌药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
89,Cap-Adult-6-1-1,是否初始治疗72小时后进行评价,字符串,参考备注,"例:""y""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-6-1-1选择代码表,,,,
90,Cap-Adult-6-1-2,评价结论,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否初始治疗72小时后进行评价(Cap-Adult-6-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-6-1-2选择代码表,,,
91,Cap-Adult-6-5-1,初始治疗72小时后评价有效,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","评价结论(Cap-Adult-6-1-2)等于""有效，继续治疗""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-6-5-1选择代码表,,,
92,Cap-Adult-6-2-1,重复病原学检查,字符串,参考备注,"例:""y""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","评价结论(Cap-Adult-6-1-2)等于""无效者""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-6-2-1选择代码表,,,
93,Cap-Adult-6-2-2,常见原因,数组,参考备注,"例:[""a"",""b""]","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","重复病原学检查(Cap-Adult-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-6-2-2选择代码表,,,
94,Cap-Adult-6-2-2-1,其它原因和处理,字符串,参考备注,"例:""填写文字说明""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","常见原因(Cap-Adult-6-2-2)等于""其他原因和处理""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
95,Cap-Adult-6-2-3,病原学检查项目,数组,参考备注,"例:[""a"",""b""]","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","重复病原学检查(Cap-Adult-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-6-2-3选择代码表,,,
96,Cap-Adult-6-2-3-1,其它病原学检查项目,字符串,参考备注,"例:""填写文字说明""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","病原学检查项目(Cap-Adult-6-2-3)等于""其他检查""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
97,Cap-Adult-6-3-1,重复病原学诊断结果选择,数组,参考备注,"例:[""a"",""b""]","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","重复病原学检查(Cap-Adult-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-6-3-1选择代码表,,,
98,Cap-Adult-6-3-1-1,其它重复病原学诊断结果,字符串,参考备注,"例:""填写文字说明""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","重复病原学诊断结果选择(Cap-Adult-6-3-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
99,Cap-Adult-6-4,目标抗感染药物的选择,数组,参考备注,"例:[""1"",""2""]","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否初始治疗72小时后进行评价(Cap-Adult-6-1-1)等于""是""(y)时必填;","评价结论(Cap-Adult-6-1-2)等于""有效，继续治疗""(a)时必填;","评价结论(Cap-Adult-6-1-2)等于""无效者""(b)时必填;","重复病原学检查(Cap-Adult-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-6-4选择代码表
100,Cap-Adult-6-4-7,其他目标抗感染药物,字符串,参考备注,"例:""填写文字说明""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","目标抗感染药物的选择(Cap-Adult-6-4)等于""其他类抗感染药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,用十个之内文字说明,,,,
101,Cap-Adult-7-1-1-1,是否实施氧疗,字符串,参考备注,"例:""y""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-7-1-1-1选择代码表,,,,
