序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,
19,HBV-0-1-4-4,其他阴道分娩操作ICD-9-CM-3六位临床扩展编码与名称,字符串,参考备注,"例:""填写文字说明""","阴道分娩操作ICD-9-CM-3六位临床扩展编码与名称(HBV-0-1-4-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
20,CM-0-2-1-1,出生日期,字符串,是,"例:""1970-01-01""",,,,,
21,CM-0-2-1-2,患者性别,字符串,是,"例:""M""",见,CM-0-2-1-2选择代码表,,,
22,CM-0-2-1-3,患者体重（kg）,数值,是,例:10,患者体重应大于等于0,,,,
23,CM-0-2-1-5,患者身高（cm）,数值,是,例:10,患者身高应大于等于0,,,,
24,HBV-0-2-1-4,新生儿出生体重(g),数值,否,例:10,若该字段无相应取值，则接口中不必提交该字段,,,,
25,HBV-0-2-1-5,新生儿入院体重(g),数值,否,例:10,若该字段无相应取值，则接口中不必提交该字段,,,,
26,HBV-0-2-2-1,末次月经日期是否无法确定或无记录,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,HBV-0-2-2-1选择代码表,,
27,HBV-0-2-2-2,末次月经日期,字符串,参考备注,"例:""1970-01-01""","末次月经日期是否无法确定或无记录(HBV-0-2-2-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,末次月经日期不能小于出生日期,,
28,CM-0-2-3-1,到达本院急诊或者门诊日期时间是否无法确定或无记录,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,CM-0-2-3-1选择代码表,,
29,CM-0-2-3-2,到达本院急诊或者门诊日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","到达本院急诊或者门诊日期时间是否无法确定或无记录(CM-0-2-3-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
30,CM-0-2-4-1,入院日期时间,字符串,是,"例:""1970-01-01 12:00""",,,,,
31,CM-0-2-4-2,出院日期时间,字符串,是,"例:""1970-01-01 12:00""",出院日期时间应大于入院日期时间;,住院时间应大于24小时;,住院时间应应小于90天,,
32,CM-0-2-6-1,手术开始（切皮）日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,手术开始日期时间应大于入院日期时间,,,
33,CM-0-2-6-2,手术结束（缝皮结束）日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,手术结束日期时间应大于手术开始日期时间;,手术结束日期时间应小于出院日期时间,,
34,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,
35,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,
36,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,
37,HBV-1-1-1,孕周(周),数值,否,例:10,若该字段无相应取值，则接口中不必提交该字段,,,,
38,HBV-1-1-2,乙型肝炎病毒核酸(HBV-DNA) 检测选项,数组,是,"例:[""a"",""b""]",见,HBV-1-1-2选择代码表,,,
39,HBV-1-1-3-1,乙肝病毒表面抗原 (HBsAg)检测选择,字符串,参考备注,"例:""a""","乙型肝炎病毒核酸(HBV-DNA) 检测选项(HBV-1-1-2)等于""乙肝病毒表面抗原 (HBsAg)""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-1-3-1选择代码表,
40,HBV-1-1-3-2,乙肝病毒表面抗原 (HBsAg)定性检测选择,字符串,参考备注,"例:""y""","乙肝病毒表面抗原 (HBsAg)检测选择(HBV-1-1-3-1)等于""定性检测""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-1-3-2选择代码表,
41,HBV-1-1-3-3,乙肝病毒表面抗原 (HBsAg)检测值(IU/ml),数值,参考备注,例:10,"乙肝病毒表面抗原 (HBsAg)检测选择(HBV-1-1-3-1)等于""定量检测""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
42,HBV-1-1-4-1,乙肝病毒表面抗体(HBsAb)检测选择,字符串,参考备注,"例:""a""","乙型肝炎病毒核酸(HBV-DNA) 检测选项(HBV-1-1-2)等于""乙肝病毒表面抗体(HBsAb)""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-1-4-1选择代码表,
43,HBV-1-1-4-2,乙肝病毒表面抗体(HBsAb)定性检测选择,字符串,参考备注,"例:""y""","乙肝病毒表面抗体(HBsAb)检测选择(HBV-1-1-4-1)等于""定性检测""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-1-4-2选择代码表,
44,HBV-1-1-4-3,乙肝病毒表面抗体(HBsAb)检测值(IU/ml),数值,参考备注,例:10,"乙肝病毒表面抗体(HBsAb)检测选择(HBV-1-1-4-1)等于""定量检测""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
45,HBV-1-1-5-1,乙肝病毒e 抗原(HBeAg)检测选择,字符串,参考备注,"例:""a""","乙型肝炎病毒核酸(HBV-DNA) 检测选项(HBV-1-1-2)等于""乙肝病毒e 抗原(HBeAg)""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-1-5-1选择代码表,
46,HBV-1-1-5-3,乙肝病毒e 抗原(HBeAg)检测值(IU/ml),数值,参考备注,例:10,"乙肝病毒e 抗原(HBeAg)检测选择(HBV-1-1-5-1)等于""定量检测""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
47,HBV-1-1-5-2,乙肝病毒e 抗原(HBeAg)定性检测选择,字符串,参考备注,"例:""y""","乙肝病毒e 抗原(HBeAg)检测选择(HBV-1-1-5-1)等于""定性检测""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-1-5-2选择代码表,
48,HBV-1-1-6-1,乙肝病毒e抗体(HBeAb)检测选择,字符串,参考备注,"例:""a""","乙型肝炎病毒核酸(HBV-DNA) 检测选项(HBV-1-1-2)等于""乙肝病毒e抗体(HBeAb)""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-1-6-1选择代码表,
49,HBV-1-1-6-2,乙肝病毒e抗体(HBeAb)定性检测选择,字符串,参考备注,"例:""y""","乙肝病毒e抗体(HBeAb)检测选择(HBV-1-1-6-1)等于""定性检测""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-1-6-2选择代码表,
50,HBV-1-1-6-3,乙肝病毒e抗体(HBeAb)检测值(IU/ml),数值,参考备注,例:10,"乙肝病毒e抗体(HBeAb)检测选择(HBV-1-1-6-1)等于""定量检测""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
51,HBV-1-1-7-1,乙肝病毒核心抗体(HBcAb)检测选择,字符串,参考备注,"例:""a""","乙型肝炎病毒核酸(HBV-DNA) 检测选项(HBV-1-1-2)等于""乙肝病毒核心抗体(HBcAb)""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-1-7-1选择代码表,
52,HBV-1-1-7-2,乙肝病毒核心抗体(HBcAb)定性检测选择,字符串,参考备注,"例:""y""","乙肝病毒核心抗体(HBcAb)检测选择(HBV-1-1-7-1)等于""定性检测""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-1-7-2选择代码表,
53,HBV-1-1-7-3,乙肝病毒核心抗体(HBcAb)检测值(IU/ml),数值,参考备注,例:10,"乙肝病毒核心抗体(HBcAb)检测选择(HBV-1-1-7-1)等于""定量检测""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
54,HBV-1-1-3,乙肝病毒含量检测和风险评估,字符串,否,"例:""a""",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-1-3选择代码表,,
55,HBV-1-1-4,丙氨酸氨基转移酶（ALT）水平检测值(U/L),数值,是,例:10,,,,,
56,HBV-1-1-5,肝癌的肿瘤标志物甲胎蛋白(AFP) 检测值(ng/ml),数值,否,例:10,若该字段无相应取值，则接口中不必提交该字段,,,,
57,HBV-1-1-6,上腹部超声,数组,是,"例:[""a"",""b""]",见,HBV-1-1-6选择代码表,,,
58,HBV-1-1-7,肝脏储备功能量化评估(Child-Pugh分级)结果分层,字符串,否,"例:""a""",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-1-7选择代码表,,
59,HBV-1-1-8,母婴传播风险评估,字符串,否,"例:""a""",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-1-8选择代码表,,
60,HBV-1-2-1,分娩方式的评估,字符串,是,"例:""a""",见,HBV-1-2-1选择代码表,,,
61,HBV-1-2-1-1,分娩方式其他评估,字符串,参考备注,"例:""填写文字说明""","分娩方式的评估(HBV-1-2-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,,
62,HBV-1-2-2,分娩方式的选择,字符串,是,"例:""a""",见,HBV-1-2-2选择代码表,,,
63,HBV-1-2-3,胎儿娩出日期时间,字符串,是,"例:""1970-01-01 12:00""",,,,,
64,HBV-1-3-1,是否实施新生儿Apgar评分,字符串,是,"例:""y""",见,HBV-1-3-1选择代码表,,,
65,HBV-1-3-2,"新生儿出生后1min、5min、10min,Apgar评分选择",数组,参考备注,"例:[""a"",""b""]","是否实施新生儿Apgar评分(HBV-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-3-2选择代码表,
66,HBV-1-3-2-1,出生后1min Apgar评分值,数值,参考备注,例:10,"新生儿出生后1min、5min、10min,Apgar评分选择(HBV-1-3-2)等于""出生后1min Apgar评分""(a)时必填;","新生儿出生后1min、5min、10min,Apgar评分选择(HBV-1-3-2)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,
67,HBV-1-3-2-2,出生后5min Apgar评分值,数值,参考备注,例:10,"新生儿出生后1min、5min、10min,Apgar评分选择(HBV-1-3-2)等于""出生后5min Apgar评分""(b)时必填;","新生儿出生后1min、5min、10min,Apgar评分选择(HBV-1-3-2)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,
68,HBV-1-3-2-3,出生后10min Apgar评分值,数值,参考备注,例:10,"新生儿出生后1min、5min、10min,Apgar评分选择(HBV-1-3-2)等于""出生后10min Apgar评分""(c)时必填;","新生儿出生后1min、5min、10min,Apgar评分选择(HBV-1-3-2)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,
69,HBV-1-4-1,分娩是否有并发症,字符串,是,"例:""y""",见,HBV-1-4-1选择代码表,,,
70,HBV-1-4-2,分娩并发症ICD.10编码选择,数组,参考备注,"例:[""a"",""b""]","分娩是否有并发症(HBV-1-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-4-2选择代码表,
71,HBV-1-4-2-1,产后出血,字符串,参考备注,"例:""a""","分娩并发症ICD.10编码选择(HBV-1-4-2)等于""产后出血""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-4-2-1选择代码表,
72,HBV-1-4-2-2,产褥期感染,字符串,参考备注,"例:""a""","分娩并发症ICD.10编码选择(HBV-1-4-2)等于""产褥期感染""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-4-2-2选择代码表,
73,HBV-1-4-2-3,其他产褥期感染,字符串,参考备注,"例:""填写文字说明""","产褥期感染(HBV-1-4-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
74,HBV-1-4-2-4,产科栓塞,字符串,参考备注,"例:""a""","分娩并发症ICD.10编码选择(HBV-1-4-2)等于""产科栓塞""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-4-2-4选择代码表,
75,HBV-1-4-2-5,静脉栓塞病,字符串,参考备注,"例:""a""","分娩并发症ICD.10编码选择(HBV-1-4-2)等于""静脉栓塞病""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-4-2-5选择代码表,
76,HBV-1-4-2-6,胎盘和胎膜滞留不伴有出血,字符串,参考备注,"例:""a""","分娩并发症ICD.10编码选择(HBV-1-4-2)等于""胎盘和胎膜滞留不伴有出血""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-4-2-6选择代码表,
77,HBV-1-4-2-7,产科手术伤口的感染,字符串,参考备注,"例:""a""","分娩并发症ICD.10编码选择(HBV-1-4-2)等于""产科手术伤口的感染""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-4-2-7选择代码表,
78,HBV-1-4-2-8,产科伤口裂开,字符串,参考备注,"例:""a""","分娩并发症ICD.10编码选择(HBV-1-4-2)等于""产科伤口裂开""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-4-2-8选择代码表,
79,HBV-1-4-2-9,其他并发症,字符串,参考备注,"例:""a""","分娩并发症ICD.10编码选择(HBV-1-4-2)等于""其他并发症""(h)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-4-2-9选择代码表,
80,HBV-1-4-2-10,其他并发症,字符串,参考备注,"例:""填写文字说明""","其他并发症(HBV-1-4-2-9)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
81,HBV-1-5-1,新生儿是否产伤,字符串,是,"例:""y""",见,HBV-1-5-1选择代码表,,,
82,HBV-1-5-2,产程和分娩期间并发症所列的名称及ICD.10编码,数组,参考备注,"例:[""a"",""b""]","新生儿是否产伤(HBV-1-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-5-2选择代码表,
83,HBV-1-5-2-1,P10产伤引起的颅内撕裂和出血,字符串,参考备注,"例:""a""","产程和分娩期间并发症所列的名称及ICD.10编码(HBV-1-5-2)等于""P10产伤引起的颅内撕裂和出血""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-5-2-1选择代码表,
84,HBV-1-5-2-2,P11产伤致新生儿脑伤,字符串,参考备注,"例:""a""","产程和分娩期间并发症所列的名称及ICD.10编码(HBV-1-5-2)等于""P11产伤致新生儿脑伤""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-5-2-2选择代码表,
85,HBV-1-5-2-3,P12头皮产伤,字符串,参考备注,"例:""a""","产程和分娩期间并发症所列的名称及ICD.10编码(HBV-1-5-2)等于""P12头皮产伤""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-5-2-3选择代码表,
86,HBV-1-5-2-4,P13颅骨产伤,字符串,参考备注,"例:""a""","产程和分娩期间并发症所列的名称及ICD.10编码(HBV-1-5-2)等于""P13颅骨产伤""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-5-2-4选择代码表,
87,HBV-1-5-2-5,P14神经产伤,字符串,参考备注,"例:""a""","产程和分娩期间并发症所列的名称及ICD.10编码(HBV-1-5-2)等于""P14神经产伤""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-5-2-5选择代码表,
88,HBV-1-5-2-6,P15其他产伤,字符串,参考备注,"例:""a""","产程和分娩期间并发症所列的名称及ICD.10编码(HBV-1-5-2)等于""P15其他产伤""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-5-2-6选择代码表,
89,HBV-1-5-2-7,P20子宫内低氧症,字符串,参考备注,"例:""a""","产程和分娩期间并发症所列的名称及ICD.10编码(HBV-1-5-2)等于""P20子宫内低氧症""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-5-2-7选择代码表,
90,HBV-1-5-2-8,P21出生窒息,字符串,参考备注,"例:""a""","产程和分娩期间并发症所列的名称及ICD.10编码(HBV-1-5-2)等于""P21出生窒息""(h)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-5-2-8选择代码表,
91,HBV-1-5-3,是否新生儿先天性畸形、变形和染色体异常,字符串,是,"例:""y""",见,HBV-1-5-3选择代码表,,,
92,HBV-1-5-4,新生儿:先天性畸形、变形和染色体异常的名称及ICD.10编码,数组,参考备注,"例:[""a"",""b""]","是否新生儿先天性畸形、变形和染色体异常(HBV-1-5-3)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-1-5-4选择代码表,
93,HBV-2-1-1,是否实施感染母亲使用抗病毒治疗,字符串,是,"例:""y""",见,HBV-2-1-1选择代码表,,,
94,HBV-2-1-2,"高病毒载量 HBV感染母亲,母婴传播阻断选择意见",字符串,参考备注,"例:""a""","是否实施感染母亲使用抗病毒治疗(HBV-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-2-1-2选择代码表,
95,HBV-2-1-2-1,"高病毒载量 HBV感染母亲,母婴传播阻断其他意见",字符串,参考备注,"例:""填写文字说明""","高病毒载量 HBV感染母亲,母婴传播阻断选择意见(HBV-2-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
96,HBV-2-2-1,感染母亲使用抗病毒药物,字符串,参考备注,"例:""a""","是否实施感染母亲使用抗病毒治疗(HBV-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-2-2-1选择代码表,
97,HBV-2-1-3-1,感染母亲使用其他抗病毒药物,字符串,参考备注,"例:""填写文字说明""","感染母亲使用抗病毒药物(HBV-2-2-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
98,HBV-2-3-1,入院前是否已经使用抗病毒药物,字符串,参考备注,"例:""y""","是否实施感染母亲使用抗病毒治疗(HBV-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-2-3-1选择代码表,
99,HBV-2-3-2,抗病毒治疗起始日期,字符串,参考备注,"例:""1970-01-01""","入院前是否已经使用抗病毒药物(HBV-2-3-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
100,HBV-3-1-1,是否预防母婴传播的干预措施,字符串,是,"例:""y""",见,HBV-3-1-1选择代码表,,,
101,HBV-3-1-2,新生儿干预措施,数组,参考备注,"例:[""a"",""b""]","是否预防母婴传播的干预措施(HBV-3-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-3-1-2选择代码表,
102,HBV-3-1-2-1,新生儿干预其他措施,字符串,参考备注,"例:""填写文字说明""","新生儿干预措施(HBV-3-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
103,HBV-4-1-1,是否有婴儿联合免疫预防接种,字符串,是,"例:""y""",见,HBV-4-1-1选择代码表,,,
104,HBV-4-1-2,预防接种日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否有婴儿联合免疫预防接种(HBV-4-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
105,HBV-4-2-1,"预防接种""乙肝免疫""的制剂",字符串,参考备注,"例:""a""","是否有婴儿联合免疫预防接种(HBV-4-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-4-2-1选择代码表,
106,HBV-4-2-1-1,其他乙肝免疫制剂,字符串,参考备注,"例:""填写文字说明""","预防接种""乙肝免疫""的制剂(HBV-4-2-1)等于""其他乙肝免疫制剂""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
107,HBV-4-3-1,是否在住院病历中有乙肝免疫球蛋白电子监管码（每支球蛋白的生产企业、批号、剂量、有效期）的记录,字符串,参考备注,"例:""UTD""","是否有婴儿联合免疫预防接种(HBV-4-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,HBV-4-3-1选择代码表,
108,HBV-4-3-2,"是否有推送至""县、市""免疫规划信息系统",字符串,参考备注,"例:""UTD""","是否有婴儿联合免疫预防接种(HBV-4-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,HBV-4-3-2选择代码表,
109,HBV-5-1-1,是否预防母婴传播的干预措施,字符串,是,"例:""y""",见,HBV-5-1-1选择代码表,,,
110,HBV-5-1-2,母乳喂养禁忌症,字符串,参考备注,"例:""a""","是否预防母婴传播的干预措施(HBV-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBV-5-1-2选择代码表,
111,HBV-5-1-2-1,不适宜母乳喂养的其他疾病,字符串,参考备注,"例:""填写文字说明""","母乳喂养禁忌症(HBV-5-1-2)等于""医师认定有不适宜母乳喂养的其他疾病""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
112,HBV-5-1-3,是否提供母乳喂养,字符串,参考备注,"例:""UTD""","母乳喂养禁忌症(HBV-5-1-2)等于""无母乳喂养禁忌症""(a)时必填;","母乳喂养禁忌症(HBV-5-1-2)等于""无法确定或无记录""(UTD)时必填;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,HBV-5-1-3选择代码表
113,HBV-6-1-1,HBV 感染女性产后复查,数组,是,"例:[""a"",""b""]",见,HBV-6-1-1选择代码表,,,
114,HBV-6-1-1-1,感染女性产后复查告知的其他事项,字符串,参考备注,"例:""填写文字说明""","HBV 感染女性产后复查(HBV-6-1-1)等于""医师认为需要告知的其他事项""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,,
115,HBV-6-1-2,HBV感染孕妇所生新生儿的随访,数组,是,"例:[""a"",""b""]",见,HBV-6-1-2选择代码表,,,
116,HBV-6-1-2-1,感染孕妇所生新生儿随访告知的其他事项,字符串,参考备注,"例:""填写文字说明""","HBV感染孕妇所生新生儿的随访(HBV-6-1-2)等于""医师认为需要告知的其他事项""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,,
117,CM-7-2-1,交与患者“出院小结”的副本告知患者出院时风险因素,数组,是,"例:[""a"",""b""]",见,CM-7-2-1选择代码表,,,
118,CM-7-2-2,出院带药,数组,是,"例:[""a"",""b""]",见,CM-7-2-2选择代码表,,,
119,CM-7-2-3,告知何为发生紧急意外情况或者疾病复发,数组,是,"例:[""a"",""b""]",见,CM-7-2-3选择代码表,,,
120,CM-7-2-4,告知发生紧急意外情况或者疾病复发如何救治及前途经,数组,是,"例:[""a"",""b""]",见,CM-7-2-4选择代码表,,,
121,CM-7-2-5,出院时教育与随访,数组,是,"例:[""a"",""b""]",见,CM-7-2-5选择代码表,,,
122,CM-4-3,离院方式选择,字符串,是,"例:""a""",见,CM-4-3选择代码表,,,
123,CM-4-5,非医嘱离院可能涉及因素,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""非医嘱离院""(d)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-5选择代码表,
124,CM-4-4-1,其他非医嘱离院因素填写,字符串,参考备注,"例:""填写文字说明""","非医嘱离院可能涉及因素(CM-4-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
125,CM-4-6,死亡可能涉及因素,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-6选择代码表,
126,CM-3-2,使用含抗菌剂（三氯生）缝线,字符串,否,"例:""a""","该字段无需用户填写,由系统自动生成;",见,CM-3-2选择代码表,,
127,CM-3-2-1,其他含抗菌剂缝线填写,字符串,参考备注,"例:""填写文字说明""","使用含抗菌剂（三氯生）缝线(CM-3-2)等于""其他含抗菌剂（三氯生）缝线""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
128,CM-3-3,手术切口类别的选择,字符串,是,"例:""a""",见,CM-3-3选择代码表,,,
129,CM-3-4,手术切口愈合情况的选择,字符串,是,"例:""a""",见,CM-3-4选择代码表,,,
130,CM-5-1,患者是否对服务的体验与评价,字符串,是,"例:""y""",见,CM-5-1选择代码表,,,
131,CM-5-2-1,整体医院评级,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-1选择代码表,
