序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,
23,CM-0-2-4-1,入院日期时间,字符串,是,"例:""1970-01-01 12:00""",,,,
24,CM-0-2-4-2,出院日期时间,字符串,是,"例:""1970-01-01 12:00""",出院日期时间应大于入院日期时间;,住院时间应大于24小时;,住院时间应应小于90天,
25,CM-0-2-6-1,手术开始（切皮）日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,手术开始日期时间应大于入院日期时间,,
26,CM-0-2-6-2,手术结束（缝皮结束）日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,手术结束日期时间应大于手术开始日期时间;,手术结束日期时间应小于出院日期时间,
27,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,
28,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,
29,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,
30,AF-1-1-1-3,房颤分类,字符串,是,"例:""a""",见,AF-1-1-1-3选择代码表,,
31,AF-1-1-0,实施相关检查,数组,是,"例:[""a"",""b""]",见,AF-1-1-0选择代码表,,
32,AF-1-1-0-1,其他实施相关检查,字符串,参考备注,"例:""填写文字说明""","实施相关检查(AF-1-1-0)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
33,AF-1-1-2,症状严重程度（EHRA评分）评估,字符串,是,"例:""a""",见,AF-1-1-2选择代码表,,
34,AF-1-1-3,是否为血流动力学不稳定性房颤,字符串,是,"例:""y""",见,AF-1-1-3选择代码表,,
35,AF-1-1-4,血流动力学不稳定的临床表现,数组,参考备注,"例:[""a"",""b""]","是否为血流动力学不稳定性房颤(AF-1-1-3)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-1-1-4选择代码表
36,AF-1-2-1,房颤患者脑卒中风险评估工具,字符串,是,"例:""a""",见,AF-1-2-1选择代码表,,
37,AF-1-2-2,使用CHADS₂评分工具的房颤患者脑卒中风险评估分值,数值,参考备注,例:10,"房颤患者脑卒中风险评估工具(AF-1-2-1)等于""CHADS₂评分""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
38,AF-1-2-3,CHADS₂评分风险评估分层,字符串,否,"例:""a""","房颤患者脑卒中风险评估工具(AF-1-2-1)等于""CHADS₂评分""(a)时必填;",见,AF-1-2-3选择代码表,
39,AF-1-2-4,使用CHA₂DS₂-VASc评分工具的房颤患者脑卒中风险评估分值,数值,参考备注,例:10,"房颤患者脑卒中风险评估工具(AF-1-2-1)等于""CHA₂DS₂-VASc评分""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
40,AF-1-2-5,房颤患者脑卒中风险评估分层,字符串,否,"例:""a""","房颤患者脑卒中风险评估工具(AF-1-2-1)等于""CHA₂DS₂-VASc评分""(b)时必填;",见,AF-1-2-5选择代码表,
41,AF-1-3-1,是否首次房颤患者 出血风险评估(HAS-BLED 评分),字符串,是,"例:""y""",见,AF-1-3-1选择代码表,,
42,AF-1-3-2,首次房颤患者 出血风险评估分值,数值,参考备注,例:10,"是否首次房颤患者 出血风险评估(HAS-BLED 评分)(AF-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
43,AF-1-3-4,HAS-BLED评分≥3者视为高危患者,字符串,参考备注,"例:""y""","是否首次房颤患者 出血风险评估(HAS-BLED 评分)(AF-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-1-3-4选择代码表
44,AF-1-6-1,是否实施超声心动图评估,字符串,是,"例:""y""",见,AF-1-6-1选择代码表,,
45,AF-1-6-2,检查方法,数组,参考备注,"例:[""a"",""b""]","是否实施超声心动图评估(AF-1-6-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-1-6-2选择代码表
46,AF-1-6-2-1,其他检查方法,字符串,参考备注,"例:""填写文字说明""","检查方法(AF-1-6-2)等于""其他方法""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
47,AF-1-6-3,首次超声心动图评估结果,数组,参考备注,"例:[""a"",""b""]","是否实施超声心动图评估(AF-1-6-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-1-6-3选择代码表
48,AF-1-6-3-1,左室射血分数(%),数值,参考备注,例:10,"首次超声心动图评估结果(AF-1-6-3)等于""左室射血分数""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
49,AF-1-6-3-2,左室舒张末内径(mm),数值,参考备注,例:10,"首次超声心动图评估结果(AF-1-6-3)等于""左室舒张末内径""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
50,AF-1-6-3-3,左房内径(mm),数值,参考备注,例:10,"首次超声心动图评估结果(AF-1-6-3)等于""左房内径""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
51,AF-1-6-4,是否有左心房/左心耳血栓,字符串,参考备注,"例:""y""","是否实施超声心动图评估(AF-1-6-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-1-6-4选择代码表
52,AF-1-6-5,是否有心包积液,字符串,参考备注,"例:""y""","是否实施超声心动图评估(AF-1-6-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-1-6-5选择代码表
53,AF-1-6-6,心包积液分级,字符串,参考备注,"例:""a""","是否有心包积液(AF-1-6-5)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-1-6-6选择代码表
54,AF-1-6-7,是否实施冠脉CTA造影评估,字符串,参考备注,"例:""y""","是否实施超声心动图评估(AF-1-6-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-1-6-7选择代码表
55,AF-1-6-8,冠状动脉病变,字符串,参考备注,"例:""a""","是否实施冠脉CTA造影评估(AF-1-6-7)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-1-6-8选择代码表
56,AF-1-6-9,是否实施X线胸片检查评估,字符串,参考备注,"例:""y""","是否实施冠脉CTA造影评估(AF-1-6-7)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-1-6-9选择代码表
57,AF-1-6-10,X线胸片检查所见,字符串,参考备注,"例:""a""","是否实施X线胸片检查评估(AF-1-6-9)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-1-6-10选择代码表
58,AF-1-6-10-1,X线胸片检查其他所见,字符串,参考备注,"例:""填写文字说明""","X线胸片检查所见(AF-1-6-10)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
59,AF-1-5-1,首次实验室检查结果,数组,参考备注,"例:[""a"",""b""]","是否实施X线胸片检查评估(AF-1-6-9)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-1-5-1选择代码表
60,AF-1-5-1-1,血肌酐值(mg/dL),数值,参考备注,例:10,"首次实验室检查结果(AF-1-5-1)等于""血肌酐值""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,血肌酐值填写值应大于等于0,
61,AF-1-5-1-2,总胆固醇(mg/dL),数值,参考备注,例:10,"首次实验室检查结果(AF-1-5-1)等于""总胆固醇 ""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,总胆固醇填写值应大于等于0,
62,AF-1-5-1-3,低密度脂蛋白(mg/dL),数值,参考备注,例:10,"首次实验室检查结果(AF-1-5-1)等于""低密度脂蛋白 ""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,低密度脂蛋白填写值应大于等于0,
63,AF-1-5-1-4,血糖(mg/dL),数值,参考备注,例:10,"首次实验室检查结果(AF-1-5-1)等于""血糖 ""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,血糖填写值应大于等于0,
64,AF-1-5-1-5,血红蛋白(g/L),数值,参考备注,例:10,"首次实验室检查结果(AF-1-5-1)等于""血红蛋白""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,血红蛋白填写值应大于等于0,
65,AF-1-5-1-6,CK-MB(U/L),数值,参考备注,例:10,"首次实验室检查结果(AF-1-5-1)等于""CK-MB""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,CK-MB填写值应大于等于0,
66,AF-1-5-1-7,cTnI(ug/L),数值,参考备注,例:10,"首次实验室检查结果(AF-1-5-1)等于""cTnI""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,cTnI填写值应大于等于0,
67,AF-1-5-1-8,B型钠尿肽（BNP）检测值(pg/L),数值,参考备注,例:10,"首次实验室检查结果(AF-1-5-1)等于""B型钠尿肽（BNP）检测""(h)时必填;",若该字段无相应取值，则接口中不必提交该字段,B型钠尿肽（BNP）检测值填写值应大于等于0,
68,AF-1-5-1-9,N端B型钠尿肽前体（NT-ProBNP）检测值(ng/L),数值,参考备注,例:10,"首次实验室检查结果(AF-1-5-1)等于""N端B型钠尿肽前体（NT-ProBNP）检测""(i)时必填;",若该字段无相应取值，则接口中不必提交该字段,N端B型钠尿肽前体（NT-ProBNP）检测值填写值应大于等于0,
69,AF-1-5-1-10,TSH检测值(mlU/L),数值,参考备注,例:10,"首次实验室检查结果(AF-1-5-1)等于""TSH检测""(j)时必填;",若该字段无相应取值，则接口中不必提交该字段,TSH检测值填写值应大于等于0,
70,AF-1-5-1-11,T3检测值(ng/mL),数值,参考备注,例:10,"首次实验室检查结果(AF-1-5-1)等于""T3检测""(k)时必填;",若该字段无相应取值，则接口中不必提交该字段,T3检测值填写值应大于等于0,
71,AF-1-5-1-12,T4检测值(ng/mL),数值,参考备注,例:10,"首次实验室检查结果(AF-1-5-1)等于""T4检测""(l)时必填;",若该字段无相应取值，则接口中不必提交该字段,T4检测值填写值应大于等于0,
72,AF-2-1-1,是否为CHA₂DS₂-VASc评分≥2的男性或≥3的女性房颤患者,字符串,是,"例:""y""",见,AF-2-1-1选择代码表,,
73,AF-2-2-1,肌酐清除率(ml／min),字符串,是,"例:""a""",见,AF-2-2-1选择代码表,,
74,AF-2-3-1,是否接受抗凝治疗,字符串,是,"例:""y""",见,AF-2-3-1选择代码表,,
75,AF-2-3-2-3,抗凝药选择,数组,参考备注,"例:[""a"",""b""]","是否接受抗凝治疗(AF-2-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-2-3-2-3选择代码表
76,AF-2-3-2-1,其他非维生素K拮抗剂口服抗凝药物,字符串,参考备注,"例:""填写文字说明""","抗凝药选择(AF-2-3-2-3)等于""其他非维生素K拮抗剂口服抗凝药物（NOAC）""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,
77,AF-2-4-1,华法林治疗后是否测定INR值,字符串,参考备注,"例:""UTD""","是否接受抗凝治疗(AF-2-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,AF-2-4-1选择代码表
78,AF-2-4-2,INR值,数值,参考备注,例:10,"华法林治疗后是否测定INR值(AF-2-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
79,AF-3-1-1,是否接受抗心律失常药物治疗,字符串,是,"例:""y""",见,AF-3-1-1选择代码表,,
80,AF-3-1-2,抗心律失常药物,数组,参考备注,"例:[""a"",""b""]","是否接受抗心律失常药物治疗(AF-3-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-3-1-2选择代码表
81,AF-3-1-2-1,Ⅰa类药物选择,数组,参考备注,"例:[""a"",""b""]","抗心律失常药物(AF-3-1-2)等于""Ⅰa类""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-3-1-2-1选择代码表
82,AF-3-1-2-2,Ⅰb类药物选择,数组,参考备注,"例:[""a"",""b""]","抗心律失常药物(AF-3-1-2)等于""Ⅰb类""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-3-1-2-2选择代码表
83,AF-3-1-2-3,Ⅰc类药物选择,数组,参考备注,"例:[""a"",""b""]","抗心律失常药物(AF-3-1-2)等于""Ⅰc类""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-3-1-2-3选择代码表
84,AF-3-1-2-4,Ⅱ类药物选择,数组,参考备注,"例:[""a"",""b""]","抗心律失常药物(AF-3-1-2)等于""Ⅱ类""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-3-1-2-4选择代码表
85,AF-3-1-2-5,Ⅲ类药物选择,数组,参考备注,"例:[""a"",""b""]","抗心律失常药物(AF-3-1-2)等于""Ⅲ类""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-3-1-2-5选择代码表
86,AF-3-1-2-6,Ⅳ类药物选择,数组,参考备注,"例:[""a"",""b""]","抗心律失常药物(AF-3-1-2)等于""Ⅳ类""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-3-1-2-6选择代码表
87,AF-3-1-3,其他常用使用抗心律失常药物,字符串,参考备注,"例:""填写文字说明""","抗心律失常药物(AF-3-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
88,AF-4-1-1-1,是否有ACEI/ARB用药长期医嘱,字符串,是,"例:""y""",见,AF-4-1-1-1选择代码表,,
89,AF-4-1-1-2,长期医嘱药物的选择(ACEI/ARB),字符串,参考备注,"例:""a""","是否有ACEI/ARB用药长期医嘱(AF-4-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-4-1-1-2选择代码表
90,AF-4-1-1-3,ACEI抑制剂药物的选择,字符串,参考备注,"例:""a""","长期医嘱药物的选择(ACEI/ARB)(AF-4-1-1-2)等于""ACEI抑制剂药物的选择""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-4-1-1-3选择代码表
91,AF-4-1-1-3-1,其他ACEI 药物名称,字符串,参考备注,"例:""填写文字说明""","ACEI抑制剂药物的选择(AF-4-1-1-3)等于""其他ACEI 药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,
92,AF-4-1-1-4,使用ARB类药物的选择,字符串,参考备注,"例:""a""","长期医嘱药物的选择(ACEI/ARB)(AF-4-1-1-2)等于""使用ARB类药物的选择""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-4-1-1-4选择代码表
93,AF-4-1-1-4-1,其他ARB 药物名称,字符串,参考备注,"例:""填写文字说明""","使用ARB类药物的选择(AF-4-1-1-4)等于""其他ARB 药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,
94,AF-4-1-2-1,是否有β受体阻滞剂用药长期医嘱,字符串,是,"例:""y""",见,AF-4-1-2-1选择代码表,,
95,AF-4-1-2-2,使用首剂β-受体阻滞剂药物的选择,字符串,参考备注,"例:""a""","是否有β受体阻滞剂用药长期医嘱(AF-4-1-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-4-1-2-2选择代码表
96,AF-4-1-2-2-1,其他β-受体阻滞剂药物名称,字符串,参考备注,"例:""填写文字说明""","使用首剂β-受体阻滞剂药物的选择(AF-4-1-2-2)等于""其他β-受体阻滞剂药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,
97,AF-4-1-3-1,是否有固酮拮抗剂药物用药长期医嘱,字符串,是,"例:""y""",见,AF-4-1-3-1选择代码表,,
98,AF-4-1-3-2,使用醛固酮受体拮抗剂的选择,字符串,参考备注,"例:""a""","是否有固酮拮抗剂药物用药长期医嘱(AF-4-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-4-1-3-2选择代码表
99,AF-4-1-3-2-1,其他醛固酮受体拮抗剂类药物名称,字符串,参考备注,"例:""填写文字说明""","使用醛固酮受体拮抗剂的选择(AF-4-1-3-2)等于""其他醛固酮受体拮抗剂类药物）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,
100,AF-4-2-1-1,出院带药医嘱中有继续使用ACEI或ARB药物记录医嘱,字符串,是,"例:""y""",见,AF-4-2-1-1选择代码表,,
101,AF-4-2-1-2,出院带药医嘱药物的选择(ACEI/ARB),字符串,参考备注,"例:""a""","出院带药医嘱中有继续使用ACEI或ARB药物记录医嘱(AF-4-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-4-2-1-2选择代码表
102,AF-4-2-1-3,ACEI抑制剂药物的选择,字符串,参考备注,"例:""a""","出院带药医嘱药物的选择(ACEI/ARB)(AF-4-2-1-2)等于""ACEI抑制剂药物的选择""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-4-2-1-3选择代码表
103,AF-4-2-1-3-1,其他ACEI 药物名称,字符串,参考备注,"例:""填写文字说明""","ACEI抑制剂药物的选择(AF-4-2-1-3)等于""其他ACEI 药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,
104,AF-4-2-1-4,使用ARB类药物的选择,字符串,参考备注,"例:""a""","出院带药医嘱药物的选择(ACEI/ARB)(AF-4-2-1-2)等于""使用ARB类药物的选择""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-4-2-1-4选择代码表
105,AF-4-2-1-4-1,其他ARB 药物名称,字符串,参考备注,"例:""填写文字说明""","使用ARB类药物的选择(AF-4-2-1-4)等于""其他ARB 药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,
106,AF-4-2-2-1,出院带药医嘱中有继续使用β受体阻滞剂药物医嘱,字符串,是,"例:""y""",见,AF-4-2-2-1选择代码表,,
107,AF-4-2-2-2,使用首剂β-受体阻滞剂药物的选择,字符串,参考备注,"例:""a""","出院带药医嘱中有继续使用β受体阻滞剂药物医嘱(AF-4-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-4-2-2-2选择代码表
108,AF-4-2-2-2-1,其他β-受体阻滞剂药物名称,字符串,参考备注,"例:""填写文字说明""","使用首剂β-受体阻滞剂药物的选择(AF-4-2-2-2)等于""其他β-受体阻滞剂药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,
109,AF-4-2-3-1,出院带药医嘱中有继续使用醛固酮拮抗剂药物医嘱,字符串,是,"例:""y""",见,AF-4-2-3-1选择代码表,,
110,AF-4-2-3-2,使用醛固酮受体拮抗剂的选择,字符串,参考备注,"例:""a""","出院带药医嘱中有继续使用醛固酮拮抗剂药物医嘱(AF-4-2-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-4-2-3-2选择代码表
111,AF-4-2-3-2-1,其他醛固酮受体拮抗剂类药物名称,字符串,参考备注,"例:""填写文字说明""","使用醛固酮受体拮抗剂的选择(AF-4-2-3-2)等于""其他醛固酮受体拮抗剂类药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,
112,AF-5-1-1,是否进行房颤导管消融治疗,字符串,是,"例:""UTD""",默认初始化值:UTD见,AF-5-1-1选择代码表,,
113,AF-5-1-2,适应证,字符串,参考备注,"例:""a""","是否进行房颤导管消融治疗(AF-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-5-1-2选择代码表
114,AF-5-1-4-2,消融治疗入路,字符串,参考备注,"例:""y""","是否进行房颤导管消融治疗(AF-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-5-1-4-2选择代码表
115,AF-5-1-3-2,消融治疗能源,字符串,参考备注,"例:""a""","是否进行房颤导管消融治疗(AF-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-5-1-3-2选择代码表
116,AF-5-1-3-3,其他消融治疗方法,字符串,参考备注,"例:""填写文字说明""","消融治疗能源(AF-5-1-3-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
117,AF-5-1-3,房颤导管消融常用术式和终点,数组,参考备注,"例:[""a"",""b""]","是否进行房颤导管消融治疗(AF-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-5-1-3选择代码表
118,AF-5-1-3-4,其他消融术,字符串,参考备注,"例:""填写文字说明""","房颤导管消融常用术式和终点(AF-5-1-3)等于""其他消融术""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
119,AF-5-1-4-0,是否有治疗并发症,字符串,参考备注,"例:""y""","是否进行房颤导管消融治疗(AF-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-5-1-4-0选择代码表
120,AF-5-1-4,治疗并发症,数组,参考备注,"例:[""a"",""b""]","是否有治疗并发症(AF-5-1-4-0)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-5-1-4选择代码表
121,AF-5-1-4-1,其他治疗并发症,字符串,参考备注,"例:""填写文字说明""","治疗并发症(AF-5-1-4)等于""其他治疗并发症""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,
122,AF-5-1-5,影响程度的选择,字符串,参考备注,"例:""a""","是否有治疗并发症(AF-5-1-4-0)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-5-1-5选择代码表
123,AF-5-2-1,是否进行左心耳封堵治疗,字符串,是,"例:""UTD""",默认初始化值:UTD见,AF-5-2-1选择代码表,,
124,AF-5-2-2,应用LAAC预防NVAF血栓事件的适合性评估情况,字符串,参考备注,"例:""a""","是否进行左心耳封堵治疗(AF-5-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-5-2-2选择代码表
125,AF-5-2-2-1,其他应用LAAC预防NVAF血栓事件的适合性评估情,字符串,参考备注,"例:""填写文字说明""","应用LAAC预防NVAF血栓事件的适合性评估情况(AF-5-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,
126,AF-5-3-1,是否LAAC术中使用TEE等方法监测,字符串,参考备注,"例:""y""","是否进行左心耳封堵治疗(AF-5-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-5-3-1选择代码表
127,AF-5-2-9,LAAC采用TEE等方法实施术中监测,数组,参考备注,"例:[""a"",""b""]","是否LAAC术中使用TEE等方法监测(AF-5-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-5-2-9选择代码表
128,AF-5-2-9-1,其他方法实施术中监测,字符串,参考备注,"例:""填写文字说明""","LAAC采用TEE等方法实施术中监测(AF-5-2-9)等于""其他方法""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
129,AF-5-2-4,TEE在LAAC术中监测,字符串,参考备注,"例:""a""","是否LAAC术中使用TEE等方法监测(AF-5-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-5-2-4选择代码表
130,AF-5-2-4-0,是否有治疗并发症,字符串,参考备注,"例:""y""","是否进行左心耳封堵治疗(AF-5-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-5-2-4-0选择代码表
131,AF-5-2-3,治疗并发症,数组,参考备注,"例:[""a"",""b""]","是否有治疗并发症(AF-5-2-4-0)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-5-2-3选择代码表
132,AF-5-2-3-1,其他治疗并发症,字符串,参考备注,"例:""填写文字说明""","治疗并发症(AF-5-2-3)等于""其他治疗并发症""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,
133,AF-5-2-5,影响程度的选择,字符串,参考备注,"例:""a""","是否有治疗并发症(AF-5-2-4-0)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,AF-5-2-5选择代码表
134,AF-5-2-10,是否围术期抗凝,字符串,参考备注,"例:""a""","是否有治疗并发症(AF-5-2-4-0)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,AF-5-2-10选择代码表
135,AF-5-2-10-1,围术期抗凝其他方法,字符串,参考备注,"例:""填写文字说明""","是否围术期抗凝(AF-5-2-10)等于""其他方法""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
