序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,,,,,,
66,VTE-2-2-8-6,N端B型钠尿肽前体（NT-ProBNP）检测值,数值,参考备注,例:10,"心脏生物学标志物检测项目(VTE-2-2-8)等于""N端B型钠尿肽前体（NT-ProBNP）""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,N端B型钠尿肽前体（NT-ProBNP）检测值填写范围应大于等于0,,,,,,,,
67,VTE-2-2-9,是否实施凝血功能检测,字符串,参考备注,"例:""y""","实施D⁃二聚体检测评估(VTE-2-2-1)等于""实施""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-2-2-9选择代码表,,,,,,,
68,VTE-2-2-10,凝血功能检测项目,数组,参考备注,"例:[""a"",""b""]","是否实施凝血功能检测(VTE-2-2-9)等于""实施""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-2-2-10选择代码表,,,,,,,
69,VTE-2-2-10-1,血浆凝血酶原时间（PT）检测值,数值,参考备注,例:10,"凝血功能检测项目(VTE-2-2-10)等于""血浆凝血酶原时间（PT）""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,血浆凝血酶原时间（PT）检测值填写范围应大于等于0,,,,,,,,
70,VTE-2-2-10-2,纤维蛋白原（FIB）检测值,数值,参考备注,例:10,"凝血功能检测项目(VTE-2-2-10)等于""纤维蛋白原（FIB）""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,纤维蛋白原（FIB）检测值填写范围应大于等于0,,,,,,,,
71,VTE-2-2-10-3,活化部分凝血活酶时间（APTT）检测值,数值,参考备注,例:10,"凝血功能检测项目(VTE-2-2-10)等于""活化部分凝血活酶时间（APTT）""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,活化部分凝血活酶时间（APTT）检测值填写范围应大于等于0,,,,,,,,
72,VTE-2-2-10-4,血浆凝血酶时间（TT）检测值,数值,参考备注,例:10,"凝血功能检测项目(VTE-2-2-10)等于""血浆凝血酶时间（TT）""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,血浆凝血酶时间（TT）检测值填写范围应大于等于0,,,,,,,,
73,VTE-2-3-1,是否行CT肺动脉造影（CTPA）检查评估,字符串,是,"例:""y""",见,VTE-2-3-1选择代码表,,,,,,,,,
74,VTE-2-3-2,实施行CT肺动脉造影（CTPA）检查日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否行CT肺动脉造影（CTPA）检查评估(VTE-2-3-1)等于""实施""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,实施行CT肺动脉造影（CTPA）检查日期时间应小于出院日期时间,,,,,,,,
75,VTE-2-3-3,CT肺动脉造影（CTPA）检查阳性发现,字符串,参考备注,"例:""y""","是否行CT肺动脉造影（CTPA）检查评估(VTE-2-3-1)等于""实施""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-2-3-3选择代码表,,,,,,,
76,VTE-3-1-1,有无履行VTE预防相关的患者/家属知情同意,字符串,是,"例:""y""",见,VTE-3-1-1选择代码表,,,,,,,,,
77,VTE-3-1-2,VTE预防相关的患者/家属知情同意,数组,参考备注,"例:[""a"",""b""]","有无履行VTE预防相关的患者/家属知情同意(VTE-3-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-1-2选择代码表,,,,,,,
78,VTE-3-2-1,有无实施出血风险和其他可能影响预防的因素评估,字符串,是,"例:""y""",见,VTE-3-2-1选择代码表,,,,,,,,,
79,VTE-3-2-2,实施出血风险和其他可能影响预防的因素评估,数组,参考备注,"例:[""a"",""b""]","有无实施出血风险和其他可能影响预防的因素评估(VTE-3-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-2-2选择代码表,,,,,,,
80,VTE-3-2-2-1,患者因素选择,数组,参考备注,"例:[""a"",""b""]","实施出血风险和其他可能影响预防的因素评估(VTE-3-2-2)等于""患者因素""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-2-2-1选择代码表,,,,,,,
81,VTE-3-2-2-2,基础疾病,数组,参考备注,"例:[""a"",""b""]","实施出血风险和其他可能影响预防的因素评估(VTE-3-2-2)等于""基础疾病""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-2-2-2选择代码表,,,,,,,
82,VTE-3-2-2-3,合并用药,数组,参考备注,"例:[""a""]","实施出血风险和其他可能影响预防的因素评估(VTE-3-2-2)等于""合并用药""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-2-2-3选择代码表,,,,,,,
83,VTE-3-2-2-4,侵入性操作,数组,参考备注,"例:[""a"",""b""]","实施出血风险和其他可能影响预防的因素评估(VTE-3-2-2)等于""侵入性操作""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-2-2-4选择代码表,,,,,,,
84,VTE-3-2-2-5,其他实施出血风险和其他可能影响预防的因素评估,字符串,参考备注,"例:""填写文字说明""","实施出血风险和其他可能影响预防的因素评估(VTE-3-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,,,
85,VTE-3-2-3-1,是否有物理性预防禁忌证,字符串,参考备注,"例:""y""","有无实施出血风险和其他可能影响预防的因素评估(VTE-3-2-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-2-3-1选择代码表,,,,,,,
86,VTE-3-2-3-2,物理性预防措施应用禁忌证,数组,参考备注,"例:[""a"",""b""]","是否有物理性预防禁忌证(VTE-3-2-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-2-3-2选择代码表,,,,,,,
87,VTE-3-3-0,是否需要三级预防深静脉栓塞,字符串,是,"例:""y""",见,VTE-3-3-0选择代码表,,,,,,,,,
88,VTE-3-3-1,三级预防深静脉栓塞措施选择,数组,参考备注,"例:[""a"",""b""]","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""是""(y)时必填;","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-3-1选择代码表,,,,,,
89,VTE-3-3-2,基本预防措施的选择,数组,参考备注,"例:[""a"",""b""]","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","三级预防深静脉栓塞措施选择(VTE-3-3-1)等于""基本预防""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-3-2选择代码表,,,,,,
90,VTE-3-3-2-1,其他基本预防措施,字符串,参考备注,"例:""填写文字说明""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","基本预防措施的选择(VTE-3-3-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,,
91,VTE-3-3-3,医嘱执行起始日期,字符串,参考备注,"例:""1970-01-01 12:00""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","三级预防深静脉栓塞措施选择(VTE-3-3-1)等于""基本预防""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,医嘱执行起始日期应小于出院日期时间,,,,,,,
92,VTE-3-3-4,机械预防措施的选择,数组,参考备注,"例:[""a"",""b""]","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","三级预防深静脉栓塞措施选择(VTE-3-3-1)等于""机械预防""(b)时必填;","三级预防深静脉栓塞措施选择(VTE-3-3-1)等于""药物预防+机械预防""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-3-4选择代码表,,,,,
93,VTE-3-3-4-1,其他机械预防措施,字符串,参考备注,"例:""填写文字说明""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","机械预防措施的选择(VTE-3-3-4)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,,
94,VTE-3-3-5,医嘱执行日期,字符串,参考备注,"例:""1970-01-01 12:00""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","三级预防深静脉栓塞措施选择(VTE-3-3-1)等于""机械预防""(b)时必填;","三级预防深静脉栓塞措施选择(VTE-3-3-1)等于""药物预防+机械预防""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,医嘱执行起始日期应小于出院日期时间,,,,,,
95,VTE-3-3-6,预防性地药物的选择,数组,参考备注,"例:[""a"",""b""]","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","三级预防深静脉栓塞措施选择(VTE-3-3-1)等于""药物预防""(c)时必填;","三级预防深静脉栓塞措施选择(VTE-3-3-1)等于""药物预防+机械预防""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-3-6选择代码表,,,,,
96,VTE-3-3-6-1,其他预防性地药物,字符串,参考备注,"例:""填写文字说明""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","预防性地药物的选择(VTE-3-3-6)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,,
97,VTE-3-2-7,医嘱执行日期,字符串,参考备注,"例:""1970-01-01 12:00""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","三级预防深静脉栓塞措施选择(VTE-3-3-1)等于""药物预防""(c)时必填;","三级预防深静脉栓塞措施选择(VTE-3-3-1)等于""药物预防+机械预防""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,医嘱执行起始日期应小于出院日期时间,,,,,,
98,VTE-3-3-8,出院后继续使用抗凝药,字符串,参考备注,"例:""a""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","三级预防深静脉栓塞措施选择(VTE-3-3-1)等于""药物预防""(c)时可填写;","三级预防深静脉栓塞措施选择(VTE-3-3-1)等于""药物预防+机械预防""(d)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-3-8选择代码表,,,,,
99,VTE-3-3-8-1,其他出院后继续使用抗凝药,字符串,参考备注,"例:""填写文字说明""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","出院后继续使用抗凝药(VTE-3-3-8)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,,
100,VTE-3-4-1,预防依从性评估,字符串,参考备注,"例:""a""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""是""(y)时必填;","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-4-1选择代码表,,,,,,
101,VTE-3-4-2,预防安全性主要监测项目,数组,参考备注,"例:[""a"",""b""]","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""是""(y)时必填;","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-4-2选择代码表,,,,,,
102,VTE-3-4-2-1,其他预防安全性主要监测项目,字符串,参考备注,"例:""填写文字说明""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","预防安全性主要监测项目(VTE-3-4-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,,,,,
103,VTE-3-4-3,是否进行预防效果评估,字符串,参考备注,"例:""y""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""是""(y)时必填;","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-4-3选择代码表,,,,,,
104,VTE-3-4-4,预防效果评估及相关不良事件,数组,参考备注,"例:[""a"",""b""]","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""是""(y)时必填;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-3-4-4选择代码表,,,,,
105,VTE-3-4-4-1,与预防相关的不良事件,字符串,参考备注,"例:""填写文字说明""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,,,,
106,VTE-3-4-4-2,与预防不相关的不良事件,字符串,参考备注,"例:""填写文字说明""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,,,,
107,VTE-3-4-4-3,其他预防效果评估及相关不良事件,字符串,参考备注,"例:""填写文字说明""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,,,,
