序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,
22,CM-0-2-2-2,发病日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","发病日期时间是否无法确定或无记录(CM-0-2-2-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
23,CM-0-2-4-1,入院日期时间,字符串,是,"例:""1970-01-01 12:00""",,,,,
24,CM-0-2-4-2,出院日期时间,字符串,是,"例:""1970-01-01 12:00""",出院日期时间应大于入院日期时间;,住院时间应大于24小时;,住院时间应应小于90天,,
25,CM-0-2-5-1,入住ICU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,,,,
26,CM-0-2-5-2,离开ICU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,离开ICU日期时间应大于入住ICU日期时间,,,
27,CM-0-2-6-1,手术开始（切皮）日期时间,字符串,是,"例:""1970-01-01 12:00""",手术开始日期时间应大于入院日期时间,,,,
28,CM-0-2-6-2,手术结束（缝皮结束）日期时间,字符串,是,"例:""1970-01-01 12:00""",手术结束日期时间应大于手术开始日期时间;,手术结束日期时间应小于出院日期时间,,,
29,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,
30,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,
31,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,
32,PA-1-1-1,主要临床表现,数组,是,"例:[""a"",""b""]",见,PA-1-1-1选择代码表,,,
33,PA-1-2-1,首次磁共振扫描,字符串,是,"例:""a""",见,PA-1-2-1选择代码表,,,
34,PA-1-2-2-1,获得首次磁共振检查报告的日期时间是否确定,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,PA-1-2-2-1选择代码表,,
35,PA-1-2-2,获得首次磁共振检查报告的日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","获得首次磁共振检查报告的日期时间是否确定(PA-1-2-2-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
36,PA-1-2-3,首次磁共振扫描模式,字符串,是,"例:""a""",见,PA-1-2-3选择代码表,,,
37,PA-1-2-4,肿瘤大小,字符串,是,"例:""a""",见,PA-1-2-4选择代码表,,,
38,PA-2-1-1,是否进行术前双侧视力与视野评估,字符串,是,"例:""y""",见,PA-2-1-1选择代码表,,,
39,PA-2-1-2,左眼视力数值,数值,参考备注,例:10,"是否进行术前双侧视力与视野评估(PA-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
40,PA-2-1-3,右眼视力数值,数值,参考备注,例:10,"是否进行术前双侧视力与视野评估(PA-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
41,PA-2-2-1,是否进行术前内分泌检查（垂体激素）评估,字符串,是,"例:""y""",见,PA-2-2-1选择代码表,,,
42,PA-2-2-1-1,血清催乳素PRL(ng/ml),数值,参考备注,例:10,"是否进行术前内分泌检查（垂体激素）评估(PA-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
43,PA-2-2-1-2,黄体生成素LH(mIU/mL),数值,参考备注,例:10,"是否进行术前内分泌检查（垂体激素）评估(PA-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
44,PA-2-2-1-3,促卵泡成熟激素FSH(mIU/mL),数值,参考备注,例:10,"是否进行术前内分泌检查（垂体激素）评估(PA-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
45,PA-2-2-1-4,雌二醇E2(pg/ml),数值,参考备注,例:10,"是否进行术前内分泌检查（垂体激素）评估(PA-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
46,PA-2-2-1-5,孕酮P4(ng/ml),数值,参考备注,例:10,"是否进行术前内分泌检查（垂体激素）评估(PA-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
47,PA-2-2-1-6,生长激素HGH(ng/ml),数值,参考备注,例:10,"是否进行术前内分泌检查（垂体激素）评估(PA-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
48,PA-2-2-1-7,皮质醇COR(ng/ml),数值,参考备注,例:10,"是否进行术前内分泌检查（垂体激素）评估(PA-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
49,PA-2-2-1-8,睾酮T(ng/ml),数值,参考备注,例:10,"是否进行术前内分泌检查（垂体激素）评估(PA-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
50,PA-2-3-1,是否进行术前内分泌检查（甲状腺激素）评估,字符串,是,"例:""y""",见,PA-2-3-1选择代码表,,,
51,PA-2-3-1-1,促甲状腺激素（或超敏促甲状腺激素）TSH(uIU/ml),数值,参考备注,例:10,"是否进行术前内分泌检查（甲状腺激素）评估(PA-2-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
52,PA-2-3-1-2,三碘甲状腺原氨酸T3(nmol/L),数值,参考备注,例:10,"是否进行术前内分泌检查（甲状腺激素）评估(PA-2-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
53,PA-2-3-1-3,游离T3 FT3(pmol/L),数值,参考备注,例:10,"是否进行术前内分泌检查（甲状腺激素）评估(PA-2-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
54,PA-2-3-1-4,甲状腺素T4(nmol/L),数值,参考备注,例:10,"是否进行术前内分泌检查（甲状腺激素）评估(PA-2-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
55,PA-2-3-1-5,游离T4 FT4(pmol/L),数值,参考备注,例:10,"是否进行术前内分泌检查（甲状腺激素）评估(PA-2-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
56,PA-2-4-1,是否进行术前内分泌检查（IGF-1）评估,字符串,是,"例:""y""",见,PA-2-4-1选择代码表,,,
57,PA-2-4-2,胰岛素生长因子IGF-1(ng/ml),数值,参考备注,例:10,"是否进行术前内分泌检查（IGF-1）评估(PA-2-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
58,PA-2-4-3,术前评估肾上腺功能不全或显著的垂体功能低减的患者是否需给予激素替代治疗,字符串,是,"例:""y""",见,PA-2-4-3选择代码表,,,
59,PA-2-4-4,生长激素腺瘤是否评估心肺等功能,字符串,是,"例:""UTD""",默认初始化值:UTD见,PA-2-4-4选择代码表,,,
60,PA-2-5-1,是否进行术前多学科（MDT）诊疗讨论,字符串,是,"例:""y""",见,PA-2-5-1选择代码表,,,
61,PA-2-5-2,讨论日期时间,字符串,参考备注,"例:""1970-01-01""","是否进行术前多学科（MDT）诊疗讨论(PA-2-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
62,PA-2-5-3,术前多学科（MDT）诊疗讨论主要内容,数组,参考备注,"例:[""a"",""b""]","是否进行术前多学科（MDT）诊疗讨论(PA-2-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PA-2-5-3选择代码表,
63,PA-2-5-3-1,其他术前多学科（MDT）诊疗讨论主要内容,字符串,参考备注,"例:""填写文字说明""","术前多学科（MDT）诊疗讨论主要内容(PA-2-5-3)等于""科主任认为其他需要记录的内容方面""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
64,PA-2-5-4,参加术前多学科（MDT）诊疗讨论的科室,数组,参考备注,"例:[""a"",""b""]","是否进行术前多学科（MDT）诊疗讨论(PA-2-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PA-2-5-4选择代码表,
65,PA-2-5-4-1,其他参加术前多学科（MDT）诊疗讨论的科室,字符串,参考备注,"例:""填写文字说明""","参加术前多学科（MDT）诊疗讨论的科室(PA-2-5-4)等于""其他专业""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
66,PA-3-1-1,手术治疗适应证的选择因素,字符串,是,"例:""a""",见,PA-3-1-1选择代码表,,,
67,PA-3-2-1,是否有手术治疗禁忌证,字符串,是,"例:""y""",见,PA-3-2-1选择代码表,,,
68,PA-3-2-2,经鼻蝶人路手术治疗禁忌征的选择,数组,参考备注,"例:[""a"",""b""]","是否有手术治疗禁忌证(PA-3-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PA-3-2-2选择代码表,
69,PA-3-2-3,开颅垂体 腺瘤切除手术治疗禁忌征的选择,数组,参考备注,"例:[""a"",""b""]","是否有手术治疗禁忌证(PA-3-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PA-3-2-3选择代码表,
70,PA-4-1-1,是否有可能并发术中出血评估及安全处置预案,字符串,是,"例:""y""",见,PA-4-1-1选择代码表,,,
71,PA-4-1-2,是否有可能并发术中脑脊液漏评估及安全处置预案,字符串,是,"例:""y""",见,PA-4-1-2选择代码表,,,
72,PA-4-1-3,是否有可能并发额叶挫伤评估及安全处置预案,字符串,是,"例:""y""",见,PA-4-1-3选择代码表,,,
73,PA-4-1-4,是否有可能并发视神经损伤评估及安全处置预案,字符串,是,"例:""y""",见,PA-4-1-4选择代码表,,,
74,PA-4-1-5,是否有可能并发颈内动脉损伤评估及安全处置预案,字符串,是,"例:""y""",见,PA-4-1-5选择代码表,,,
75,CM-1-1-1,是否使用预防性抗菌药物,字符串,是,"例:""y""",见,CM-1-1-1选择代码表,,,
76,CM-1-2-1-2,预防性抗菌药物选择,数组,参考备注,"例:[""a"",""b""]","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-1-2选择代码表,
77,CM-1-2-2-2,选择碳青霉烯类及替加环素等特殊使用级抗菌药物,数组,参考备注,"例:[""a"",""b""]","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等特殊使用级抗菌药物""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-2-2选择代码表,
78,CM-1-2-2-1,其他特殊使用级抗菌药物名称,字符串,参考备注,"例:""填写文字说明""","选择碳青霉烯类及替加环素等特殊使用级抗菌药物 (CM-1-2-2-2)等于""其他特殊使用级抗菌药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,
79,CM-1-3-1-2,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素,数组,参考备注,"例:[""a"",""b""]","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等特殊使用级抗菌药物""(g)时必填;","预防性抗菌药物选择(CM-1-2-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-3-1-2选择代码表
80,CM-1-3-1-1,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素填写,字符串,参考备注,"例:""填写文字说明""","选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素(CM-1-3-1-2)等于""其他因素""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,
81,CM-1-4-1,使用首剂抗菌药物起始时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
82,CM-1-5-1,手术时间是否≥3小时,字符串,参考备注,"例:""y""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-1选择代码表,
83,CM-1-5-2,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","手术时间是否≥3小时(CM-1-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-2选择代码表,
84,CM-1-5-3,术中出血量是否≥1500ml,字符串,参考备注,"例:""y""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-3选择代码表,
85,CM-1-5-4,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","术中出血量是否≥1500ml(CM-1-5-3)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-4选择代码表,
86,CM-1-6-1,术后抗菌药物停止使用时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,术后抗菌药物停止使用时间应大于等于术前使用首剂抗菌药物起始时间;,术后抗菌药物停止使用时间应小于出院日期时间,
87,CM-1-6-2,使用抗菌药物时间使用时间分层,字符串,否,"例:""a""","该字段无需用户填写,由系统自动生成;",见,CM-1-6-2选择代码表,,
88,CM-1-6-3-2,术后72小时之后继续使用的原因,数组,参考备注,"例:[""a"",""b""]","使用抗菌药物时间使用时间分层(CM-1-6-2)等于""术后72小时之后继续使用""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-6-3-2选择代码表,
89,CM-2-1,是否有手术后并发症,字符串,是,"例:""y""",见,CM-2-1选择代码表,,,
90,CM-2-2,手术后并发症类别及ICD-10四位亚目的选择,字符串,参考备注,"例:""a""","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-2选择代码表,
91,CM-2-3-1-1,其他手术后并发症类别及ICD-10四位亚目和名称填写,字符串,参考备注,"例:""填写文字说明""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""其他（注明ICD-10编码及名称）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
92,CM-2-3-1,介入操作与手术其他并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术并发症(O04.5，T81.1，T81.2，T81.3，T81.7，T81.8)""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-1选择代码表,
93,CM-2-3-2,手术患者手术后肺栓塞,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后肺栓塞(I26.9，O04.2，O07.2，O88.2)""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-2选择代码表,
94,CM-2-3-3,手术患者手术后深静脉血栓,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后深静脉血栓(I80.2，I82.8，O22.3，O87.1)""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-3选择代码表,
95,CM-2-3-4,手术患者手术后败血症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后败血症(T81.4)""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-4选择代码表,
96,CM-2-3-5,手术患者手术后出血或血肿,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后出血或血肿(O04.1，O04.6，O04.8，O07.1，O07.6，T81.0)""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-5选择代码表,
97,CM-2-3-6,手术患者手术伤口裂开,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术伤口裂开(T81.3)""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-6选择代码表,
98,CM-2-3-7,手术患者猝死,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者猝死（手术后24小时内死亡）(R96.0，R96.1)""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-7选择代码表,
99,CM-2-3-8,手术患者手术后呼吸道并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后呼吸道并发症(J95.0至J95.9，J96.0，J96.9)""(h)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-8选择代码表,
100,CM-2-3-9,手术患者手术后生理/代谢紊乱,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后生理/代谢紊乱(E86.x0，E87.0至E87.8，E88.8，E88.9，E89.0至E89.9)""(i)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-9选择代码表,
101,CM-2-3-10,与手术/操作相关感染,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""与手术/操作相关感染(O04.0，O07.0，T81.4)""(j)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-10选择代码表,
102,CM-2-3-11,手术过程中异物遗留,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术过程中异物遗留(T81.5)""(k)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-11选择代码表,
103,CM-2-3-12,麻醉并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""麻醉并发症(T88.2，T88.3，T88.4，T88.5)""(l)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-12选择代码表,
104,CM-2-3-13,输注、输血反应,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""输注、输血反应(T80.0至T80.9)""(m)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-13选择代码表,
105,CM-2-3-14,住院患者发生压疮,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""住院患者发生压疮(L89.0至L89.9)""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-14选择代码表,
106,CM-2-3-15,急性肾功能衰竭（手术后）,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""术后急性肾功能损害（N17.9）""(o)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-15选择代码表,
107,CM-2-5,PA术后特指并发症,数组,参考备注,"例:[""a"",""b""]","是否有手术后并发症(CM-2-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-5选择代码表,
108,CM-2-4,影响程度的选择,字符串,参考备注,"例:""a""","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-4选择代码表,
109,PA-6-4-1,是否有手术后再手术,字符串,参考备注,"例:""y""","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PA-6-4-1选择代码表,
110,PA-6-4-2,手术后再手术名称,字符串,参考备注,"例:""填写文字说明""","是否有手术后再手术(PA-6-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
111,PA-6-4-3,再手术日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否有手术后再手术(PA-6-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
112,PA-7-1-1,是否有病理报告记录单,字符串,是,"例:""y""",见,PA-7-1-1选择代码表,,,
113,PA-7-1-2,病理报告记录单中基本内容,数组,参考备注,"例:[""a"",""b""]","是否有病理报告记录单(PA-7-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PA-7-1-2选择代码表,
114,PA-7-1-3,垂体腺瘤免疫组化情况,数组,参考备注,"例:[""a"",""b""]","病理报告记录单中基本内容(PA-7-1-2)等于""免疫组织化学（必选：GH，PRL，TSH，LH，FSH，ACTH，PIT-1，SF-1，T-PIT，Ki-67 可选：CK8/18，Syn，ER）""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PA-7-1-3选择代码表,
115,PA-7-2-1,垂体瘤Ki-67阳性细胞比例是否确定,数组,参考备注,"例:[""UTD""]","是否有病理报告记录单(PA-7-1-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,PA-7-2-1选择代码表,
116,PA-7-2-2,垂体瘤Ki-67阳性细胞比例(%),数值,参考备注,例:10,"是否有病理报告记录单(PA-7-1-1)等于""是""(y)时必填;","垂体瘤Ki-67阳性细胞比例是否确定(PA-7-2-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,
117,PA-8-1-1,手术中出血量(ml),数值,是,例:10,,,,,
118,PA-8-1-2,手术中输血量(ml),数值,是,例:10,,,,,
119,PA-8-1-3,手术后出血量(ml),数值,是,例:10,,,,,
120,PA-8-1-4,手术后输血量(ml),数值,是,例:10,,,,,
121,PA-8-2-1,全血(ml),数值,是,例:10,,,,,
122,PA-8-2-2,成份血(ml),数值,是,例:10,,,,,
123,PA-8-2-3,血浆(ml),数值,是,例:10,,,,,
124,PA-9-1-1,是否进行术后视力视野的复查及评估,字符串,是,"例:""y""",见,PA-9-1-1选择代码表,,,
125,PA-9-1-2,复查及评估结果是否确定,数组,参考备注,"例:[""UTD""]","是否进行术后视力视野的复查及评估(PA-9-1-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,PA-9-1-2选择代码表,
126,PA-9-1-2-1,术后左眼视力数值,数值,参考备注,例:10,"是否进行术后视力视野的复查及评估(PA-9-1-1)等于""是""(y)时必填;","复查及评估结果是否确定(PA-9-1-2)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,术后左眼视力数值填写值范围应大于等于0,
127,PA-9-1-2-2,术后右眼视力数值,数值,参考备注,例:10,"是否进行术后视力视野的复查及评估(PA-9-1-1)等于""是""(y)时必填;","复查及评估结果是否确定(PA-9-1-2)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,术后右眼视力数值填写值范围应大于等于0,
128,PA-9-2-1,"术后2-3天,是否复查内分泌激素",字符串,是,"例:""y""",见,PA-9-2-1选择代码表,,,
129,PA-9-2-1-1,血清催乳素PRL(ng/ml),数值,参考备注,例:10,"术后2-3天,是否复查内分泌激素(PA-9-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,血清催乳素填写值范围应大于等于0,,
130,PA-9-2-1-2,黄体生成素LH(mIU/mL),数值,参考备注,例:10,"术后2-3天,是否复查内分泌激素(PA-9-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,黄体生成素LH填写值范围应大于等于0,,
131,PA-9-2-1-3,促卵泡成熟激素FSH(mIU/mL),数值,参考备注,例:10,"术后2-3天,是否复查内分泌激素(PA-9-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,促卵泡成熟激素FSH填写值范围应大于等于0,,
132,PA-9-2-1-4,雌二醇E2(pg/ml),数值,参考备注,例:10,"术后2-3天,是否复查内分泌激素(PA-9-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,雌二醇E2填写值范围应大于等于0,,
133,PA-9-2-1-5,孕酮P4(ng/ml),数值,参考备注,例:10,"术后2-3天,是否复查内分泌激素(PA-9-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,孕酮P4填写值范围应大于等于0,,
134,PA-9-2-1-6,生长激素HGH(ng/ml),数值,参考备注,例:10,"术后2-3天,是否复查内分泌激素(PA-9-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,生长激素HGH填写值范围应大于等于0,,
135,PA-9-2-1-7,皮质醇COR(ng/ml),数值,参考备注,例:10,"术后2-3天,是否复查内分泌激素(PA-9-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,皮质醇COR填写值范围应大于等于0,,
136,PA-9-2-1-8,睾酮T(ng/ml),数值,参考备注,例:10,"术后2-3天,是否复查内分泌激素(PA-9-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,睾酮T填写值范围应大于等于0,,
