序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,
25,CM-0-2-6-2,手术结束（缝皮结束）日期时间,字符串,是,"例:""1970-01-01 12:00""",手术结束日期时间应大于手术开始日期时间;,手术结束日期时间应小于出院日期时间,,,
26,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,
27,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,
28,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,
29,PACG-1-1-1,患者年龄,字符串,是,"例:""a""",见,PACG-1-1-1选择代码表,,,
30,PACG-1-1-2,临床表现,数组,是,"例:[""a"",""b""]",见,PACG-1-1-2选择代码表,,,
31,PACG-1-1-3,体征,数组,是,"例:[""a"",""b""]",见,PACG-1-1-3选择代码表,,,
32,PACG-1-2-1,是否进行术前生活视力检查,字符串,是,"例:""y""",见,PACG-1-2-1选择代码表,,,
33,PACG-1-2-2,术前左眼生活视力检查结果,字符串,参考备注,"例:""a""","是否进行术前生活视力检查(PACG-1-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-1-2-2选择代码表,
34,PACG-1-2-7,术前右眼生活视力检查结果,字符串,参考备注,"例:""a""","是否进行术前生活视力检查(PACG-1-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-1-2-7选择代码表,
35,PACG-1-2-3,是否进行术前矫正视力检查,字符串,是,"例:""y""",见,PACG-1-2-3选择代码表,,,
36,PACG-1-2-4,术前左眼矫正视力检查结果,字符串,参考备注,"例:""a""","是否进行术前矫正视力检查(PACG-1-2-3)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-1-2-4选择代码表,
37,PACG-1-2-8,术前右眼矫正视力检查结果,字符串,参考备注,"例:""a""","是否进行术前矫正视力检查(PACG-1-2-3)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-1-2-8选择代码表,
38,PACG-1-2-5,是否术前气动非接触眼压测量,字符串,是,"例:""y""",见,PACG-1-2-5选择代码表,,,
39,PACG-1-2-6,术前左眼眼压测量结果(mmHg),数值,参考备注,例:10,"是否术前气动非接触眼压测量(PACG-1-2-5)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
40,PACG-1-2-9,术前右眼眼压测量结果(mmHg),数值,参考备注,例:10,"是否术前气动非接触眼压测量(PACG-1-2-5)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
41,PACG-1-3-1,手术前是否进行前房角镜检查,字符串,是,"例:""y""",见,PACG-1-3-1选择代码表,,,
42,PACG-1-3-2,房角镜检查报告中应描述的内容,数组,参考备注,"例:[""a"",""b""]","手术前是否进行前房角镜检查(PACG-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-1-3-2选择代码表,
43,PACG-1-3-2-1,房角镜检查报告中其他阳性发现,字符串,参考备注,"例:""填写文字说明""","房角镜检查报告中应描述的内容(PACG-1-3-2)等于""其他阳性发现""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
44,PACG-1-3-3,房角镜下是否有下列所见,数组,参考备注,"例:[""a"",""b""]","手术前是否进行前房角镜检查(PACG-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-1-3-3选择代码表,
45,PACG-1-3-3-1,房角镜下其他阳性发现,字符串,参考备注,"例:""填写文字说明""","房角镜下是否有下列所见(PACG-1-3-3)等于""其他阳性发现""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
46,PACG-1-3-4,房角镜检查印象,数组,参考备注,"例:[""a"",""b""]","手术前是否进行前房角镜检查(PACG-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-1-3-4选择代码表,
47,PACG-1-3-4-1,其他房角镜检查印象,字符串,参考备注,"例:""填写文字说明""","房角镜检查印象(PACG-1-3-4)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
48,PACG-1-4-1,手术前是否进行UBM镜检查,字符串,是,"例:""y""",见,PACG-1-4-1选择代码表,,,
49,PACG-1-4-2,UBM报告中应描述的内容,数组,参考备注,"例:[""a"",""b""]","手术前是否进行UBM镜检查(PACG-1-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-1-4-2选择代码表,
50,PACG-1-4-2-1,UBM报告中其他阳性发现,字符串,参考备注,"例:""填写文字说明""","UBM报告中应描述的内容(PACG-1-4-2)等于""其他阳性发现""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
51,PACG-1-4-3,中央前房深度(mm),数值,参考备注,例:10,"手术前是否进行UBM镜检查(PACG-1-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
52,PACG-1-4-5,UBM报告中是否有下列所见,数组,参考备注,"例:[""a"",""b""]","手术前是否进行UBM镜检查(PACG-1-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-1-4-5选择代码表,
53,PACG-1-4-5-1,UBM报告中其他阳性发现,字符串,参考备注,"例:""填写文字说明""","UBM报告中是否有下列所见(PACG-1-4-5)等于""其他阳性发现""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
54,PACG-1-4-6,UBM检查印象,数组,参考备注,"例:[""a"",""b""]","手术前是否进行UBM镜检查(PACG-1-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-1-4-6选择代码表,
55,PACG-1-4-6-1,UBM检查印象中其他阳性发现,字符串,参考备注,"例:""填写文字说明""","UBM检查印象(PACG-1-4-6)等于""其他阳性发现""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
56,PACG-1-5-1,手术前是否进行免散瞳眼底照相检查,字符串,是,"例:""y""",见,PACG-1-5-1选择代码表,,,
57,PACG-1-5-2,眼底照相结果如何,数组,参考备注,"例:[""a"",""b""]","手术前是否进行免散瞳眼底照相检查(PACG-1-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-1-5-2选择代码表,
58,PACG-1-5-2-1,眼底照相结果其他阳性发现,字符串,参考备注,"例:""填写文字说明""","眼底照相结果如何(PACG-1-5-2)等于""其他阳性发现""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
59,PACG-1-6-1,手术前是否进行视神经OCT测量,字符串,是,"例:""y""",见,PACG-1-6-1选择代码表,,,
60,PACG-1-6-2,OCT测量结果如何,数组,参考备注,"例:[""a"",""b""]","手术前是否进行视神经OCT测量(PACG-1-6-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-1-6-2选择代码表,
61,PACG-1-6-2-1,OCT测量结果其他阳性发现,字符串,参考备注,"例:""填写文字说明""","OCT测量结果如何(PACG-1-6-2)等于""其他阳性发现""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
62,PACG-1-7-1,手术前是否进行视野检查,字符串,是,"例:""y""",见,PACG-1-7-1选择代码表,,,
63,PACG-1-7-2,视野检查结果如何,字符串,参考备注,"例:""a""","手术前是否进行视野检查(PACG-1-7-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-1-7-2选择代码表,
64,PACG-1-7-2-1,视野检查结果其他阳性发现,字符串,参考备注,"例:""填写文字说明""","视野检查结果如何(PACG-1-7-2)等于""其他阳性发现""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
65,PACG-1-8-1,手术前是否进行眼轴长度测量,字符串,是,"例:""y""",见,PACG-1-8-1选择代码表,,,
66,PACG-1-8-2,眼轴测量结果(mm),数值,参考备注,例:10,"手术前是否进行眼轴长度测量(PACG-1-8-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
67,PACG-1-9-1,分类结果,字符串,是,"例:""a""",见,PACG-1-9-1选择代码表,,,
68,PACG-2-1-1,既往是否曾行预防性激光治疗（LPI或/和ALPI),字符串,是,"例:""UTD""",默认初始化值:UTD见,PACG-2-1-1选择代码表,,,
69,PACG-2-1-2,既往是否曾接受过抗青光眼手术治疗,字符串,是,"例:""UTD""",默认初始化值:UTD见,PACG-2-1-2选择代码表,,,
70,PACG-2-1-3,既往是否曾接受过抗青光眼手术以外的其他手术治疗,字符串,是,"例:""UTD""",默认初始化值:UTD见,PACG-2-1-3选择代码表,,,
71,PACG-2-2-1,本次抗青光眼手术适应证的选择,数组,是,"例:[""a"",""b""]",见,PACG-2-2-1选择代码表,,,
72,PACG-2-2-1-1,其他抗青光眼手术适应证,字符串,参考备注,"例:""填写文字说明""","本次抗青光眼手术适应证的选择(PACG-2-2-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
73,PACG-2-2-2,手术治疗方式选择,数组,是,"例:[""a"",""b""]",见,PACG-2-2-2选择代码表,,,
74,PACG-2-2-2-1,其他手术治疗方式,字符串,参考备注,"例:""填写文字说明""","手术治疗方式选择(PACG-2-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
75,CM-1-1-1,是否使用预防性抗菌药物,字符串,是,"例:""y""",见,CM-1-1-1选择代码表,,,
76,PACG-3-1-2,预防性抗菌药物给药途径选择,数组,参考备注,"例:[""a"",""b""]","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-3-1-2选择代码表,
77,CM-1-2-1-2,预防性抗菌药物选择,数组,参考备注,"例:[""a"",""b""]","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-1-2选择代码表,
78,CM-1-2-2-2,选择碳青霉烯类及替加环素等特殊使用级抗菌药物,数组,参考备注,"例:[""a"",""b""]","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等特殊使用级抗菌药物""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-2-2选择代码表,
79,CM-1-2-2-1,其他特殊使用级抗菌药物名称,字符串,参考备注,"例:""填写文字说明""","选择碳青霉烯类及替加环素等特殊使用级抗菌药物 (CM-1-2-2-2)等于""其他特殊使用级抗菌药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,
80,CM-1-3-1-2,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素,数组,参考备注,"例:[""a"",""b""]","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等特殊使用级抗菌药物""(g)时必填;","预防性抗菌药物选择(CM-1-2-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-3-1-2选择代码表
81,CM-1-3-1-1,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素填写,字符串,参考备注,"例:""填写文字说明""","选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素(CM-1-3-1-2)等于""其他因素""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,
82,CM-1-4-1,使用首剂抗菌药物起始时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,术前使用首剂抗菌药物起始时间应大于入院日期时间,,
83,CM-1-5-1,手术时间是否≥3小时,字符串,参考备注,"例:""y""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-1选择代码表,
84,CM-1-5-2,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","手术时间是否≥3小时(CM-1-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-2选择代码表,
85,CM-1-5-3,术中出血量是否≥1500ml,字符串,参考备注,"例:""y""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-3选择代码表,
86,CM-1-5-4,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","术中出血量是否≥1500ml(CM-1-5-3)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-4选择代码表,
87,CM-1-6-1,术后抗菌药物停止使用时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,术后抗菌药物停止使用时间应大于等于术前使用首剂抗菌药物起始时间;,术后抗菌药物停止使用时间应小于出院日期时间,
88,CM-1-6-2,使用抗菌药物时间使用时间分层,字符串,否,"例:""a""","该字段无需用户填写,由系统自动生成;",见,CM-1-6-2选择代码表,,
89,CM-1-6-3-2,术后72小时之后继续使用的原因,数组,参考备注,"例:[""a"",""b""]","使用抗菌药物时间使用时间分层(CM-1-6-2)等于""术后72小时之后继续使用""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-6-3-2选择代码表,
90,PACG-4-1-1,是否存在术中并发症,字符串,是,"例:""y""",见,PACG-4-1-1选择代码表,,,
91,PACG-4-1-2,PACG术中并发症,数组,参考备注,"例:[""a"",""b""]","是否存在术中并发症(PACG-4-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-4-1-2选择代码表,
92,PACG-4-1-2-1,其他PACG术中并发症,字符串,参考备注,"例:""填写文字说明""","PACG术中并发症(PACG-4-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
93,PACG-4-2-1,术中并发症的处理,字符串,参考备注,"例:""a""","是否存在术中并发症(PACG-4-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-4-2-1选择代码表,
94,PACG-5-1-1,是否术后气动非接触眼压测量,字符串,是,"例:""y""",见,PACG-5-1-1选择代码表,,,
95,PACG-5-1-2,术后左眼眼压测量结果(mmHg),数值,参考备注,例:10,"是否术后气动非接触眼压测量(PACG-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
96,PACG-5-1-3,术后左眼眼压与术前比较,字符串,参考备注,"例:""a""","是否术后气动非接触眼压测量(PACG-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-5-1-3选择代码表,
97,PACG-5-1-4,术后右眼眼压测量结果(mmHg),数值,参考备注,例:10,"是否术后气动非接触眼压测量(PACG-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
98,PACG-5-1-5,术后右眼眼压与术前比较,字符串,参考备注,"例:""a""","是否术后气动非接触眼压测量(PACG-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-5-1-5选择代码表,
99,PACG-6-1-1,是否术后生活视力检查,字符串,是,"例:""y""",见,PACG-6-1-1选择代码表,,,
100,PACG-6-1-2,术后左眼生活视力检查结果,字符串,参考备注,"例:""a""","是否术后生活视力检查(PACG-6-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-6-1-2选择代码表,
101,PACG-6-1-3,术后左眼生活视力与术前比较,字符串,参考备注,"例:""a""","是否术后生活视力检查(PACG-6-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-6-1-3选择代码表,
102,PACG-6-1-4,术后右眼生活视力检查结果,字符串,参考备注,"例:""a""","是否术后生活视力检查(PACG-6-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-6-1-4选择代码表,
103,PACG-6-1-5,术后右眼生活视力与术前比较,字符串,参考备注,"例:""a""","是否术后生活视力检查(PACG-6-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-6-1-5选择代码表,
104,PACG-6-2-1,是否术后矫正视力检查,字符串,是,"例:""y""",见,PACG-6-2-1选择代码表,,,
105,PACG-6-2-2,术后左眼矫正视力检查结果,字符串,参考备注,"例:""a""","是否术后矫正视力检查(PACG-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-6-2-2选择代码表,
106,PACG-6-2-3,术后左眼矫正视力与术前比较,字符串,参考备注,"例:""a""","是否术后矫正视力检查(PACG-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-6-2-3选择代码表,
107,PACG-6-2-4,术后右眼矫正视力检查结果,字符串,参考备注,"例:""a""","是否术后矫正视力检查(PACG-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-6-2-4选择代码表,
108,PACG-6-2-5,术后右眼矫正视力与术前比较,字符串,参考备注,"例:""a""","是否术后矫正视力检查(PACG-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-6-2-5选择代码表,
109,PACG-7-1-1,是否存在术后并发症,字符串,是,"例:""y""",见,PACG-7-1-1选择代码表,,,
110,PACG-7-1-2,眼科手术后特指并发症,数组,参考备注,"例:[""a"",""b""]","是否存在术后并发症(PACG-7-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-7-1-2选择代码表,
111,PACG-7-1-2-1,其他眼科手术后特指并发症,字符串,参考备注,"例:""填写文字说明""","眼科手术后特指并发症(PACG-7-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
112,PACG-7-2-1,术后并发症的处理,字符串,参考备注,"例:""a""","是否存在术后并发症(PACG-7-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-7-2-1选择代码表,
113,PACG-7-3-1,影响程度的选择,字符串,参考备注,"例:""a""","是否存在术后并发症(PACG-7-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,PACG-7-3-1选择代码表,
114,PACG-8-1-1,是否进行术前健康教育，且有记录可追踪,字符串,是,"例:""y""",见,PACG-8-1-1选择代码表,,,
115,CM-7-1-1,PACG术前健康教育项目的选择,数组,参考备注,"例:[""a"",""b""]","是否进行术前健康教育，且有记录可追踪(PACG-8-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-7-1-1选择代码表,
116,PACG-8-1-2,是否进行术后健康教育，且有记录可追踪,字符串,是,"例:""y""",见,PACG-8-1-2选择代码表,,,
117,CM-7-1-2,PACG术后康复教育项目的选择,数组,参考备注,"例:[""a"",""b""]","是否进行术后健康教育，且有记录可追踪(PACG-8-1-2)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-7-1-2选择代码表,
118,CM-7-2-1,交与患者“出院小结”的副本告知患者出院时风险因素,数组,是,"例:[""a"",""b""]",见,CM-7-2-1选择代码表,,,
119,CM-7-2-2,出院带药,数组,是,"例:[""a"",""b""]",见,CM-7-2-2选择代码表,,,
120,CM-7-2-4,告知发生紧急意外情况或者疾病复发如何救治及前途经,数组,是,"例:[""a"",""b""]",见,CM-7-2-4选择代码表,,,
121,CM-7-2-5,出院时教育与随访,数组,是,"例:[""a"",""b""]",见,CM-7-2-5选择代码表,,,
122,CM-7-2-3,告知何为发生紧急意外情况或者疾病复发,数组,是,"例:[""a"",""b""]",见,CM-7-2-3选择代码表,,,
123,CM-4-3,离院方式选择,字符串,是,"例:""a""",见,CM-4-3选择代码表,,,
124,CM-4-5,非医嘱离院可能涉及因素,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""非医嘱离院""(d)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-5选择代码表,
125,CM-4-4-1,其他非医嘱离院因素填写,字符串,参考备注,"例:""填写文字说明""","非医嘱离院可能涉及因素(CM-4-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
126,CM-4-6,死亡可能涉及因素,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-6选择代码表,
127,CM-5-1,患者是否对服务的体验与评价,字符串,是,"例:""y""",见,CM-5-1选择代码表,,,
128,CM-5-2-1,整体医院评级,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-1选择代码表,
129,CM-5-2-2,患者推荐,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-2选择代码表,
130,CM-5-2-3,病房、床单元和卫生间清洁度,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-3选择代码表,
131,CM-5-2-5,病房与周边噪音,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-5选择代码表,
132,CM-5-2-6,医生沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-6选择代码表,
133,CM-5-2-7,护士沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-7选择代码表,
134,CM-5-2-8,药师沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-8选择代码表,
135,CM-5-2-9,康复计划,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-9选择代码表,
136,CM-5-2-10,出院时的知情告知,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-10选择代码表,
137,CM-5-2-11,膳食评价,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-11选择代码表,
138,CM-6-1,住院总费用,数值,是,例:10,住院总费用要大于0;,住院总费用要小于1000000;,住院总费用应大于等于各项费用之和,,
139,CM-6-2,住院总费用其中自付金额,数值,是,例:10,自付金额要,自付金额应≤住院总费用,,,
140,CM-6-3,一般医疗服务费,数值,是,例:10,一般医疗服务费要,,,,
141,CM-6-4,一般治疗操作费,数值,是,例:10,一般治疗操作费要,,,,
142,CM-6-5,护理费,数值,是,例:10,护理费要,,,,
143,CM-6-6,综合医疗服务类其他费用,数值,是,例:10,综合医疗服务类其他费用要≥0,,,,
144,CM-6-7,病理诊断费,数值,是,例:10,病理诊断费要≥0,,,,
145,CM-6-8,实验室诊断费,数值,是,例:10,实验室诊断费要≥0,,,,
146,CM-6-9,影像学诊断费,数值,是,例:10,影像学诊断费要≥0,,,,
147,CM-6-10,临床诊断项目费,数值,是,例:10,临床诊断项目费要≥0,,,,
148,CM-6-11,非手术治疗项目费,数值,是,例:10,非手术治疗项目费要≥0,,,,
149,CM-6-12,其中：临床物理治疗费,数值,是,例:10,临床物理治疗费要≥0,,,,
150,CM-6-13,手术治疗费,数值,是,例:10,手术治疗费要≥0,,,,
151,CM-6-14,其中：麻醉费,数值,是,例:10,麻醉费要≥0,,,,
152,CM-6-15,其中：手术费,数值,是,例:10,手术费要≥0,,,,
153,CM-6-16,康复费,数值,是,例:10,康复费要≥0,,,,
