序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,
22,CM-0-2-3-2,到达本院急诊或者门诊日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","到达本院急诊或者门诊日期时间是否无法确定或无记录(CM-0-2-3-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,
23,CM-0-2-4-1,入院日期时间,字符串,是,"例:""1970-01-01 12:00""",,,,,,
24,CM-0-2-4-2,出院日期时间,字符串,是,"例:""1970-01-01 12:00""",出院日期时间应大于入院日期时间;,住院时间应大于24小时;,住院时间应小于90天,,,
25,CM-0-2-5-1,入住ICU/RCU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,,,,,
26,CM-0-2-5-2,离开ICU/RCU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,离开ICU日期时间应大于入住ICU日期时间,,,,
27,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,,
28,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,,
29,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,,
30,Cap-1-1-0,是否有重症肺炎的高危因素,字符串,是,"例:""y""",见,Cap-1-1-0选择代码表,,,,
31,Cap-1-1-1,重症肺炎的高危因素,数组,参考备注,"例:[""a"",""c""]","是否有重症肺炎的高危因素(Cap-1-1-0)等于""是""(y)时必填;","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-1-1-1选择代码表,
32,Cap-1-1-1-1,其他高危因素,字符串,参考备注,"例:""填写文字说明""","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","重症肺炎的高危因素(Cap-1-1-1)等于""其他高危因素""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,,
33,Cap-1-1-2,符合重症肺炎,数组,参考备注,"例:[""a"",""b""]","是否有重症肺炎的高危因素(Cap-1-1-0)等于""是""(y)时必填;","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-1-1-2选择代码表,
34,Cap-1-1-3,"符合以下情况之一,需住院",字符串,参考备注,"例:""a""","是否有重症肺炎的高危因素(Cap-1-1-0)等于""是""(y)时必填;","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-1-1-3选择代码表,
35,Cap-1-2-1,是否为重症住院及住ICU/RCU患儿,字符串,参考备注,"例:""y""","是否有重症肺炎的高危因素(Cap-1-1-0)等于""是""(y)时必填;","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-1-2-1选择代码表,
36,Cap-1-2-2,重度肺炎表现,字符串,参考备注,"例:""a""","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","是否为重症住院及住ICU/RCU患儿(Cap-1-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-1-2-2选择代码表,
37,Cap-1-2-3,符合重症住院及住ICU/RCU标准,字符串,否,"例:""a""","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","是否为重症住院及住ICU/RCU患儿(Cap-1-2-1)等于""是""(y)时可填写;",见,Cap-1-2-3选择代码表,,
38,Cap-1-3-1,是否接种肺炎链球菌疫苗和（或）流感疫苗的,字符串,参考备注,"例:""y""","是否有重症肺炎的高危因素(Cap-1-1-0)等于""是""(y)时必填;","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-1-3-1选择代码表,
39,Cap-2-1,实施首次氧合评估（首次）,字符串,是,"例:""y""",见,Cap-2-1选择代码表,,,,
40,Cap-2-2,实施首次氧合评估时段,字符串,参考备注,"例:""a""","实施首次氧合评估（首次）(Cap-2-1)等于""是""(y)时必填;","实施首次氧合评估（首次）(Cap-2-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-2-2选择代码表,
41,Cap-2-3,实施首次氧合评估时是否吸氧（FiO₂）,字符串,参考备注,"例:""y""","实施首次氧合评估（首次）(Cap-2-1)等于""是""(y)时必填;","实施首次氧合评估（首次）(Cap-2-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-2-3选择代码表,
42,Cap-2-4,动脉血气分析/指氧仪检查,字符串,参考备注,"例:""a""","实施首次氧合评估（首次）(Cap-2-1)等于""是""(y)时必填;","实施首次氧合评估（首次）(Cap-2-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-2-4选择代码表,
43,Cap-2-4-3,动脉血气分析值(mmHg),数值,参考备注,例:10,"实施首次氧合评估（首次）(Cap-2-1)等于""否""(n)时无需填写;","动脉血气分析/指氧仪检查(Cap-2-4)等于""动脉血气分析（PaO₂）""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,动脉血气分析值填写范围(0~150);,动脉血气分析值填写范围(0~150),
44,Cap-2-4-5,动脉血气分析值是否在正常范围,字符串,参考备注,"例:""y""","实施首次氧合评估（首次）(Cap-2-1)等于""否""(n)时无需填写;","动脉血气分析/指氧仪检查(Cap-2-4)等于""动脉血气分析（PaO₂）""(a)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-2-4-5选择代码表,
45,Cap-2-4-4,指氧仪检查值(%),数值,参考备注,例:10,"实施首次氧合评估（首次）(Cap-2-1)等于""否""(n)时无需填写;","动脉血气分析/指氧仪检查(Cap-2-4)等于""指氧仪检查（SatO₂）""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,指氧仪检查值填写范围(0~100);,指氧仪检查值填写范围(0~100),
46,Cap-2-4-6,指氧仪检查值是否在正常范围,字符串,参考备注,"例:""y""","实施首次氧合评估（首次）(Cap-2-1)等于""否""(n)时无需填写;","动脉血气分析/指氧仪检查(Cap-2-4)等于""指氧仪检查（SatO₂）""(b)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-2-4-6选择代码表,
47,Cap-3-1-1,是否为重症并收入ICU/RCU的患儿,字符串,否,"例:""y""",当是否符合重症(Cap-1-2)值等于y时该字段等于y;,当(Cap-1-2)值等于n时该字段等于n 关联赋值,见,Cap-3-1-1选择代码表,,
48,Cap-3-2-1,是否入院之前已经经接受抗菌药物治疗,字符串,参考备注,"例:""y""",当是否符合重症(Cap-1-2)值等于y时必填;,若该字段无相应取值，则接口中不必提交该字段,若该字段无相应取值，则接口中不必提交该字段,见,Cap-3-2-1选择代码表,
49,Cap-3-2-2,实施首次采集标本时段,字符串,参考备注,"例:""a""","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","是否为重症并收入ICU/RCU的患儿(Cap-3-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-3-2-2选择代码表,
50,Cap-3-2-3,实施首次采集什么标本,数组,参考备注,"例:[""a"",""b""]","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","是否为重症并收入ICU/RCU的患儿(Cap-3-1-1)等于""是""(y)时必填;","实施首次采集标本时段(Cap-3-2-2)等于""入住ICU/RCU患儿72小时之内未采集标本""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-3-2-3选择代码表
51,Cap-3-2-4,采集标本日期时间,字符串,参考备注,"例:""1970-01-01 12:00:00""","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","是否为重症并收入ICU/RCU的患儿(Cap-3-1-1)等于""是""(y)时必填;","实施首次采集标本时段(Cap-3-2-2)等于""入住ICU/RCU患儿72小时之内未采集标本""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,采集标本日期时间应小于出院日期时间,
52,Cap-3-3-1,细菌学检查项目的选择,数组,参考备注,"例:[""a"",""b""]","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","是否为重症并收入ICU/RCU的患儿(Cap-3-1-1)等于""是""(y)时必填;","实施首次采集标本时段(Cap-3-2-2)等于""入住ICU/RCU患儿72小时之内未采集标本""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-3-3-1选择代码表
53,Cap-3-3-1-1,其他细菌学检查项目,字符串,参考备注,"例:""填写文字说明""","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","实施首次采集标本时段(Cap-3-2-2)等于""入住ICU/RCU患儿72小时之内未采集标本""(c)时无需填写;","细菌学检查项目的选择(Cap-3-3-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,
54,Cap-3-3-2,病毒学检查项目的选择,数组,参考备注,"例:[""a"",""b""]","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","是否为重症并收入ICU/RCU的患儿(Cap-3-1-1)等于""是""(y)时必填;","实施首次采集标本时段(Cap-3-2-2)等于""入住ICU/RCU患儿72小时之内未采集标本""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-3-3-2选择代码表
55,Cap-3-3-2-1,其他病毒学检查项目,字符串,参考备注,"例:""填写文字说明""","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","实施首次采集标本时段(Cap-3-2-2)等于""入住ICU/RCU患儿72小时之内未采集标本""(c)时无需填写;","病毒学检查项目的选择 (Cap-3-3-2)等于""其他""(oth)时可填写;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,
56,Cap-3-3-3,肺炎支原体检查项目的选择,数组,参考备注,"例:[""a"",""b""]","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","是否为重症并收入ICU/RCU的患儿(Cap-3-1-1)等于""是""(y)时必填;","实施首次采集标本时段(Cap-3-2-2)等于""入住ICU/RCU患儿72小时之内未采集标本""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-3-3-3选择代码表
57,Cap-3-3-3-1,其他肺炎支原体检查项目,字符串,参考备注,"例:""填写文字说明""","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","实施首次采集标本时段(Cap-3-2-2)等于""入住ICU/RCU患儿72小时之内未采集标本""(c)时无需填写;","肺炎支原体检查项目的选择(Cap-3-3-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,
58,Cap-3-4-4,是否进行实验室检查,字符串,参考备注,"例:""y""","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","是否为重症并收入ICU/RCU的患儿(Cap-3-1-1)等于""是""(y)时必填;","实施首次采集标本时段(Cap-3-2-2)等于""入住ICU/RCU患儿72小时之内未采集标本""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-3-4-4选择代码表
59,Cap-3-4-2,临床实验室检查项目的选择,数组,参考备注,"例:[""d"",""b""]","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","实施首次采集标本时段(Cap-3-2-2)等于""入住ICU/RCU患儿72小时之内未采集标本""(c)时无需填写;","是否进行实验室检查(Cap-3-4-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-3-4-2选择代码表
60,Cap-3-4-2-1,其他临床实验室检查项目,字符串,参考备注,"例:""填写文字说明""","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","实施首次采集标本时段(Cap-3-2-2)等于""入住ICU/RCU患儿72小时之内未采集标本""(c)时无需填写;","临床实验室检查项目的选择 (Cap-3-4-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,
61,Cap-3-5-1,病原学检测结果,数组,参考备注,"例:[""a"",""b""]","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","实施首次采集标本时段(Cap-3-2-2)等于""入住ICU/RCU患儿72小时之内未采集标本""(c)时无需填写;","是否进行实验室检查(Cap-3-4-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-3-5-1选择代码表
62,Cap-3-5-1-1,其他病原学检测结果,字符串,参考备注,"例:""填写文字说明""","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","实施首次采集标本时段(Cap-3-2-2)等于""入住ICU/RCU患儿72小时之内未采集标本""(c)时无需填写;","病原学检测结果(Cap-3-5-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
63,Cap-3-5-2,获得病原学诊断报告结果的日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否有重症肺炎的高危因素(Cap-1-1-0)等于""否""(n)时无需填写;","实施首次采集标本时段(Cap-3-2-2)等于""入住ICU/RCU患儿72小时之内未采集标本""(c)时无需填写;","是否进行实验室检查(Cap-3-4-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
64,Cap-4-0,患儿有无接受抗菌药物治疗,字符串,是,"例:""y""",模块[抗菌药物使用时机（≤4小时）];,"当患儿有无接受抗菌药物治疗(Cap-4-0)等于y时,下级联动选项为必填项。","若该字段等于n时,下级联动选项值以及5、6、7三个模块内容字段值接口中不必提交。",即模块[起始抗菌药物选择]、模块[初始治疗72小时后无效者，重复病原学检查]、模块[抗菌药物疗程]可跳过,见,Cap-4-0选择代码表
65,Cap-4-1-4,使用首剂抗菌药物治疗途径,字符串,参考备注,"例:""a""","患儿有无接受抗菌药物治疗(Cap-4-0)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-4-1-4选择代码表,,
66,Cap-4-1-2,患儿入院后接受首剂抗菌药物治疗（注射剂输入/注射）时间,字符串,参考备注,"例:""1970-01-01 12:00""","患儿有无接受抗菌药物治疗(Cap-4-0)等于""是""(y)时必填;","使用首剂抗菌药物治疗途径(Cap-4-1-4)等于""口服""(d)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
67,Cap-4-1-3,接受入院后首剂抗菌药物使用时机 DTN,字符串,参考备注,"例:""a""","患儿有无接受抗菌药物治疗(Cap-4-0)等于""是""(y)时必填;","使用首剂抗菌药物治疗途径(Cap-4-1-4)等于""口服""(d)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-4-1-3选择代码表,
68,Cap-4-1-5,抗菌药物注射剂输入/注射治疗终止日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","患儿有无接受抗菌药物治疗(Cap-4-0)等于""是""(y)时必填;","使用首剂抗菌药物治疗途径(Cap-4-1-4)等于""口服""(d)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,抗菌药物注射治疗终止日期与时间应大于等于患儿入院后接受首剂抗菌药物治疗时间;,抗菌药物注射治疗终止日期与时间应小于出院日期时间,
69,Cap-4-2-1,是否抗菌药物注射剂改口服,字符串,参考备注,"例:""UTD""","患儿有无接受抗菌药物治疗(Cap-4-0)等于""是""(y)时必填;","使用首剂抗菌药物治疗途径(Cap-4-1-4)等于""口服""(d)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,Cap-4-2-1选择代码表,
70,Cap-4-2-2,抗菌药物注射剂改口服日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","使用首剂抗菌药物治疗途径(Cap-4-1-4)等于""口服""(d)时无需填写;","是否抗菌药物注射剂改口服(Cap-4-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,抗菌药物注射剂改口服日期与时间应小于出院日期时间,,
71,Cap-5-1-1,拟诊需抗感染治疗肺炎缘由,字符串,参考备注,"例:""a""","患儿有无接受抗菌药物治疗(Cap-4-0)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-5-1-1选择代码表,,
72,Cap-5-1-1-1,其他类型肺炎,字符串,参考备注,"例:""填写文字说明""","拟诊需抗感染治疗肺炎缘由(Cap-5-1-1)等于""其他类型肺炎""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
73,Cap-5-1-2,是否需进行抗感染治疗,字符串,参考备注,"例:""y""","患儿有无接受抗菌药物治疗(Cap-4-0)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-5-1-2选择代码表,,
74,Cap-5-2-1,抗感染治疗药物选择,数组,参考备注,"例:[""a"",""b""]","患儿有无接受抗菌药物治疗(Cap-4-0)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-5-2-1选择代码表,,
75,Cap-5-2-2,青霉素类抗感染药物,字符串,参考备注,"例:""a""","抗感染治疗药物选择(Cap-5-2-1)等于""青霉素类抗感染药物""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-5-2-2选择代码表,,
76,Cap-5-2-2-1,其它青霉素抗菌药,字符串,参考备注,"例:""填写文字说明""","青霉素类抗感染药物(Cap-5-2-2)等于""其他青霉素类抗菌药""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
77,Cap-5-2-3,头孢菌素类抗感染药物,字符串,参考备注,"例:""a""","抗感染治疗药物选择(Cap-5-2-1)等于""头孢菌素类抗感染药物""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-5-2-3选择代码表,,
78,Cap-5-2-3-1,其它头孢菌素抗菌药,字符串,参考备注,"例:""填写文字说明""","头孢菌素类抗感染药物(Cap-5-2-3)等于""其他头孢菌素类抗菌药""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
79,Cap-5-2-4,大环内酯类抗感染药物,字符串,参考备注,"例:""a""","抗感染治疗药物选择(Cap-5-2-1)等于""大环内酯类抗感染药物""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-5-2-4选择代码表,,
80,Cap-5-2-4-1,其它大环内酯抗菌药,字符串,参考备注,"例:""填写文字说明""","大环内酯类抗感染药物(Cap-5-2-4)等于""其他大环内酯类抗菌药""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
81,Cap-5-2-6,神经氨酸抑制剂,字符串,参考备注,"例:""a""","抗感染治疗药物选择(Cap-5-2-1)等于""神经氨酸抑制剂""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-5-2-6选择代码表,,
82,Cap-5-2-6-1,神经氨酸抑制剂,字符串,参考备注,"例:""填写文字说明""","神经氨酸抑制剂(Cap-5-2-6)等于""其它神经氨酸抑制剂""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
83,Cap-5-2-5,其他类抗感染药物,字符串,参考备注,"例:""a""","抗感染治疗药物选择(Cap-5-2-1)等于""其他类抗感染药物""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-5-2-5选择代码表,,
84,Cap-5-2-5-1,其他类抗菌药,字符串,参考备注,"例:""填写文字说明""","其他类抗感染药物(Cap-5-2-5)等于""其他抗菌药""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
85,Cap-6-1-1,初始治疗72小时后是否进行评价,字符串,参考备注,"例:""y""","患儿有无接受抗菌药物治疗(Cap-4-0)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-6-1-1选择代码表,,
86,Cap-6-1-2,评价结论,字符串,参考备注,"例:""a""","初始治疗72小时后是否进行评价(Cap-6-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-6-1-2选择代码表,,
87,Cap-6-1-3,初始治疗72小时后评价有效者下一步治疗方案,字符串,参考备注,"例:""a""","评价结论(Cap-6-1-2)等于""有效继续治疗""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-6-1-3选择代码表,,
88,Cap-6-1-4,是否进行重复病原学检查,字符串,参考备注,"例:""y""","评价结论(Cap-6-1-2)等于""治疗无效者""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-6-1-4选择代码表,,
89,Cap-6-1-5,初始治疗72小时后无效常见原因,字符串,参考备注,"例:""a""","是否进行重复病原学检查(Cap-6-1-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-6-1-5选择代码表,,
90,Cap-6-1-5-1,其它原因,字符串,参考备注,"例:""填写文字说明""","初始治疗72小时后无效常见原因(Cap-6-1-5)等于""其他原因""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
91,Cap-6-1-6,病原学检查项目选择,字符串,参考备注,"例:""a""","是否进行重复病原学检查(Cap-6-1-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-6-1-6选择代码表,,
92,Cap-6-1-6-1,其它检查,字符串,参考备注,"例:""填写文字说明""","病原学检查项目选择(Cap-6-1-6)等于""其他检查""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
93,Cap-6-1-7,重复病原学诊断结果选择,字符串,参考备注,"例:""a""","是否进行重复病原学检查(Cap-6-1-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-6-1-7选择代码表,,
94,Cap-6-1-7-1,其它重复病原学诊断结果,字符串,参考备注,"例:""填写文字说明""","重复病原学诊断结果选择(Cap-6-1-7)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
95,Cap-6-1-8,获得病原学诊断报告结果的日期时间,字符串,参考备注,"例:""1970-01-01 12:00:00""","是否进行重复病原学检查(Cap-6-1-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,获得病原学诊断报告结果的日期时间应小于出院日期时间,,,
96,Cap-6-2-1,病原针对性治疗情况,字符串,参考备注,"例:""a""","是否进行重复病原学检查(Cap-6-1-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-6-2-1选择代码表,,
97,Cap-6-2-2,抗感染治疗药物选择,数组,参考备注,"例:[""a"",""b""]","是否进行重复病原学检查(Cap-6-1-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-6-2-2选择代码表,,
98,Cap-6-2-3,青霉素类抗感染药物,字符串,参考备注,"例:""a""","抗感染治疗药物选择(Cap-6-2-2)等于""青霉素类抗感染药物""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-6-2-3选择代码表,,
99,Cap-6-2-3-1,其它青霉素抗菌药,字符串,参考备注,"例:""填写文字说明""","青霉素类抗感染药物(Cap-6-2-3)等于""其他青霉素类抗菌药""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
100,Cap-6-2-4,头孢菌素类抗感染药物,字符串,参考备注,"例:""a""","抗感染治疗药物选择(Cap-6-2-2)等于""头孢菌素类抗感染药物""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-6-2-4选择代码表,,
101,Cap-6-2-4-1,其它头孢菌素抗菌药,字符串,参考备注,"例:""填写文字说明""","头孢菌素类抗感染药物(Cap-6-2-4)等于""其他头孢菌素类抗菌药""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
102,Cap-6-2-5,大环内酯类抗感染药物,字符串,参考备注,"例:""a""","抗感染治疗药物选择(Cap-6-2-2)等于""大环内酯类抗感染药物""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-6-2-5选择代码表,,
103,Cap-6-2-5-1,其它大环内酯抗菌药,字符串,参考备注,"例:""填写文字说明""","大环内酯类抗感染药物(Cap-6-2-5)等于""其他大环内酯类抗菌药""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
104,Cap-6-2-6,其他类抗感染药物,字符串,参考备注,"例:""a""","抗感染治疗药物选择(Cap-6-2-2)等于""其他类抗感染药物""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-6-2-6选择代码表,,
