序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,,
22,CM-0-2-2-2,发病日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","发病日期时间是否无法确定或无记录(CM-0-2-2-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,
23,CM-0-2-3-1,到达本院急诊或者门诊日期时间是否无法确定或无记录,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,CM-0-2-3-1选择代码表,,,,
24,CM-0-2-3-2,到达本院急诊或者门诊日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","到达本院急诊或者门诊日期时间是否无法确定或无记录(CM-0-2-3-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,
25,CM-0-2-4-1,入院日期时间,字符串,是,"例:""1970-01-01 12:00""",,,,,,,
26,age,年龄,数值,否,例:10,"该字段无需用户填写,由系统自动生成;","日期差值计算公式:入院日期时间(CM-0-2-4-1)-出生日期(CM-0-2-1-1),单位:年数",,,,,
27,CM-0-2-4-2,出院日期时间,字符串,是,"例:""1970-01-01 12:00""",出院日期时间应大于入院日期时间;,住院时间应大于24小时;,住院时间应应小于90天,,,,
28,CM-0-2-5-1,入住ICU/卒中中心日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,,,,,,
29,CM-0-2-5-2,离开ICU/卒中中心日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,离开ICU日期时间应大于入住ICU日期时间,,,,,
30,CM-0-2-6-1,手术开始（切皮）日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,手术开始日期时间应大于入院日期时间,,,,,
31,CM-0-2-6-2,手术结束（缝皮结束）日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,手术结束日期时间应大于手术开始日期时间;,手术结束日期时间应小于出院日期时间,,,,
32,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,,,
33,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,,,
34,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,,,
35,ICH-1-1-1,本院急诊医师接诊日期时间,字符串,是,"例:""1970-01-01 12:00""",本院急诊医师接诊日期时间应大于到达本院急诊日期时间;,本院急诊医师接诊日期时间应小于出院日期时间,,,,,
36,ICH-1-1-2-1,身高(单位:厘米(cm)),数值,是,例:10,,,,,,,
37,ICH-1-1-2-2,体重(单位:公斤(kg)),数值,是,例:10,,,,,,,
38,ICH-1-1-2-3,呼吸(单位:次/分),数值,是,例:10,,,,,,,
39,ICH-1-1-2-4,脉搏(单位:次/分),数值,是,例:10,,,,,,,
40,ICH-1-1-2-5,收缩压(单位:mmHg),数值,是,例:10,,,,,,,
41,ICH-1-1-2-6,舒张压(单位:mmHg),数值,是,例:10,,,,,,,
42,ICH-1-2-1,是否实施格拉斯哥昏迷评估,字符串,是,"例:""y""",见,ICH-1-2-1选择代码表,,,,,
43,ICH-1-2-2,评估日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否实施格拉斯哥昏迷评估(ICH-1-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,评估日期时间应大于到达本院急诊时间;,评估日期时间应小于出院日期时间,,,
44,ICH-1-2-3,"实施""格拉斯哥昏迷""评估分值",数值,参考备注,例:10,"是否实施格拉斯哥昏迷评估(ICH-1-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,"实施""格拉斯哥昏迷""评估分值应大于等于0",,,,
45,ICH-1-2-4,是否实施神经功能缺损NIHSS评估,字符串,是,"例:""y""",见,ICH-1-2-4选择代码表,,,,,
46,ICH-1-2-5,评估日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否实施神经功能缺损NIHSS评估(ICH-1-2-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,评估日期时间应大于到达本院急诊时间;,评估日期时间应小于出院日期时间,,,
47,ICH-1-2-6,实施神经功能缺损NIHSS评估分值,数值,参考备注,例:10,"是否实施神经功能缺损NIHSS评估(ICH-1-2-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,实施神经功能缺损NIHSS评估分值应大于等于0,,,,
48,ICH-1-3-1,急诊是否实施首次头部影像学检查,字符串,是,"例:""y""",见,ICH-1-3-1选择代码表,,,,,
49,ICH-1-3-2,急诊首次头部影像学检查项目,字符串,参考备注,"例:""a""","急诊是否实施首次头部影像学检查(ICH-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-1-3-2选择代码表,,,
50,ICH-1-3-3,影像学检查确定血肿部位,数组,参考备注,"例:[""a"",""b""]","急诊是否实施首次头部影像学检查(ICH-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-1-3-3选择代码表,,,
51,ICH-1-3-3-1,基底节区出血,数组,参考备注,"例:[""a"",""b""]","影像学检查确定血肿部位(ICH-1-3-3)等于""基底节区出血""(a)时必填;","影像学检查确定血肿部位(ICH-1-3-3)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-1-3-3-1选择代码表,,
52,ICH-1-3-3-3,脑叶出血,数组,参考备注,"例:[""a"",""b""]","影像学检查确定血肿部位(ICH-1-3-3)等于""脑叶出血""(c)时必填;","影像学检查确定血肿部位(ICH-1-3-3)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-1-3-3-3选择代码表,,
53,ICH-1-3-3-4,脑干出血,数组,参考备注,"例:[""a"",""b""]","影像学检查确定血肿部位(ICH-1-3-3)等于""脑干出血""(d)时必填;","影像学检查确定血肿部位(ICH-1-3-3)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-1-3-3-4选择代码表,,
54,ICH-1-3-4,血肿量(ml),数值,参考备注,例:10,"急诊是否实施首次头部影像学检查(ICH-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,血肿量应大于等于0,,,,
55,ICH-1-3-5,是否血肿破入脑室,字符串,参考备注,"例:""y""","急诊是否实施首次头部影像学检查(ICH-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-1-3-5选择代码表,,,
56,ICH-1-3-6,是否血肿源自幕下,字符串,参考备注,"例:""y""","急诊是否实施首次头部影像学检查(ICH-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-1-3-6选择代码表,,,
57,ICH-1-3-7,报告日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","急诊是否实施首次头部影像学检查(ICH-1-3-1)等于""是""(y)时必填;","急诊首次头部影像学检查项目(ICH-1-3-2)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,报告日期时间应大于到达本院急诊时间;,报告日期时间应小于出院日期时间,,
58,ICH-1-4-1,是否急诊入住”卒中中心”,字符串,是,"例:""y""",见,ICH-1-4-1选择代码表,,,,,
59,ICH-1-4-2,入住”卒中中心”日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否急诊入住”卒中中心”(ICH-1-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,入住”卒中中心”日期时间应大于到达本院急诊时间;,入住卒中中心日期时间应小于出院日期时间,,,
60,ICH-2-1-1,是否为高血压(收缩压大于180mmHg)患者,字符串,是,"例:""y""",见,ICH-2-1-1选择代码表,,,,,
61,ICH-2-1-2,是否24小时内有血压监测与用药长期医嘱,字符串,参考备注,"例:""y""","是否为高血压(收缩压大于180mmHg)患者(ICH-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-2-1-2选择代码表,,,
62,ICH-2-1-3,选择降压药物,数组,参考备注,"例:[""a"",""b""]","是否24小时内有血压监测与用药长期医嘱(ICH-2-1-2)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-2-1-3选择代码表,,,
63,ICH-2-1-3-1,其他降压药物,字符串,参考备注,"例:""填写文字说明""","选择降压药物(ICH-2-1-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,,,,
64,ICH-2-1-4,是否为高血压(收缩压大于200mmHg)患者,字符串,参考备注,"例:""y""","是否24小时内有血压监测与用药长期医嘱(ICH-2-1-2)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-2-1-4选择代码表,,,
65,ICH-2-1-5,是否有使用静脉降压药医嘱,字符串,参考备注,"例:""y""","是否为高血压(收缩压大于200mmHg)患者(ICH-2-1-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-2-1-5选择代码表,,,
66,ICH-3-1-1,入院后病情判定,字符串,是,"例:""a""",见,ICH-3-1-1选择代码表,,,,,
67,ICH-3-2-1,是否需要做预防DVT治疗,字符串,参考备注,"例:""y""","入院后病情判定(ICH-3-1-1)等于""入院第二天末，患者不能下地行走""(d)时必填;","入院后病情判定(ICH-3-1-1)等于""下肢肌力小于等于3级""(e)时必填;","入院后病情判定(ICH-3-1-1)等于""昏迷患者""(f)时必填;","入院后病情判定(ICH-3-1-1)等于""由平车推送入院""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-3-2-1选择代码表
68,ICH-3-2-2,禁忌证选择,数组,参考备注,"例:[""a"",""b""]","是否需要做预防DVT治疗(ICH-3-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-3-2-2选择代码表,,,
69,ICH-3-2-3,预防DVT治疗医嘱执行日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否需要做预防DVT治疗(ICH-3-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,预防DVT治疗医嘱下达日期与时间应大于入院日期时间;,预防DVT治疗医嘱执行日期与时间应小于出院日期时间,,,
70,ICH-3-3-1,药物预防选择,数组,参考备注,"例:[""a"",""b""]","是否需要做预防DVT治疗(ICH-3-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-3-3-1选择代码表,,,
71,ICH-3-3-1-1,其它预防药物,字符串,参考备注,"例:""填写文字说明""","药物预防选择(ICH-3-3-1)等于""其他药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
72,ICH-3-3-2,物理预防选择,数组,参考备注,"例:[""a"",""b""]","是否需要做预防DVT治疗(ICH-3-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-3-3-2选择代码表,,,
73,ICH-3-3-2-1,其他物理预防,字符串,参考备注,"例:""填写文字说明""","物理预防选择(ICH-3-3-2)等于""其他物理预防措施""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
74,ICH-3-3-3,基本预防,数组,参考备注,"例:[""g"",""h""]","是否需要做预防DVT治疗(ICH-3-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-3-3-3选择代码表,,,
75,ICH-3-3-3-1,其他基本预防措施,字符串,参考备注,"例:""填写文字说明""","基本预防(ICH-3-3-3)等于""其他基本预防措施""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
76,ICH-4-1-1,入院时是否可以正常进食与饮水,字符串,是,"例:""y""",见,ICH-4-1-1选择代码表,,,,,
77,ICH-4-2-1,入院24小时内是否进行吞咽评估,字符串,参考备注,"例:""y""","入院时是否可以正常进食与饮水(ICH-4-1-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-4-2-1选择代码表,,,
78,ICH-4-3-2,未进行吞咽困难评价原因,字符串,参考备注,"例:""a""","入院24小时内是否进行吞咽评估(ICH-4-2-1)等于""是""(y)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-4-3-2选择代码表,,,
79,ICH-4-3-2-1,其他未进行吞咽困难评价原因,字符串,参考备注,"例:""填写文字说明""","入院24小时内是否进行吞咽评估(ICH-4-2-1)等于""是""(y)时无需填写;","未进行吞咽困难评价原因(ICH-4-3-2)等于""其他（请注明）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,,,
80,ICH-4-2-2,评估日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","入院24小时内是否进行吞咽评估(ICH-4-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,评估日期时间应大于入院日期时间;,评估日期时间应小于出院日期时间,,,
81,ICH-4-3-1,评价方法选择,字符串,参考备注,"例:""a""","入院24小时内是否进行吞咽评估(ICH-4-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-4-3-1选择代码表,,,
82,ICH-4-3-1-1,其他评价方法,字符串,参考备注,"例:""填写文字说明""","评价方法选择(ICH-4-3-1)等于""其他（请注明）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,,,,
83,ICH-5-1-1,住院48小时内是否接受影像学检测复查,字符串,是,"例:""y""",见,ICH-5-1-1选择代码表,,,,,
84,ICH-5-1-2,接受影像学检测复查项目选择,字符串,参考备注,"例:""a""","住院48小时内是否接受影像学检测复查(ICH-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-5-1-2选择代码表,,,
85,ICH-5-1-2-1,其他接受影像学检测复查项目名称,字符串,参考备注,"例:""填写文字说明""","接受影像学检测复查项目选择(ICH-5-1-2)等于""其他（注明名称）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,,,,
86,ICH-5-1-3,复查检测日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","住院48小时内是否接受影像学检测复查(ICH-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,复查检测日期时间应小于出院日期时间,,,,
87,ICH-5-1-4,是否血肿扩大,字符串,参考备注,"例:""y""","住院48小时内是否接受影像学检测复查(ICH-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-5-1-4选择代码表,,,
88,ICH-5-1-5,是否血管畸形,字符串,参考备注,"例:""y""","住院48小时内是否接受影像学检测复查(ICH-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-5-1-5选择代码表,,,
89,ICH-5-1-6,是否动脉瘤,字符串,参考备注,"例:""y""","住院48小时内是否接受影像学检测复查(ICH-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-5-1-6选择代码表,,,
90,ICH-5-1-7,是否淀粉样病变,字符串,参考备注,"例:""y""","住院48小时内是否接受影像学检测复查(ICH-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-5-1-7选择代码表,,,
91,ICH-5-1-8,是否再出血风险,字符串,参考备注,"例:""y""","住院48小时内是否接受影像学检测复查(ICH-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-5-1-8选择代码表,,,
92,ICH-6-1-1,是否首次ICH评分,字符串,是,"例:""UTD""",默认初始化值:UTD见,ICH-6-1-1选择代码表,,,,,
93,ICH-6-1-2,评估日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否首次ICH评分(ICH-6-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,首次ICH评估日期时间应大于到达本院急诊时间;,评估日期时间应小于出院日期时间,,,
94,ICH-6-1-3-1,GCS评分,字符串,否,"例:""a""","该字段无需用户填写,由系统自动生成;",默认初始化值:c见,ICH-6-1-3-1选择代码表,,,,
95,ICH-6-1-3-2,血肿量,字符串,否,"例:""y""","该字段无需用户填写,由系统自动生成;",默认初始化值:n见,ICH-6-1-3-2选择代码表,,,,
96,ICH-6-1-3-3,是否血肿破入脑室,字符串,否,"例:""y""","该字段无需用户填写,由系统自动生成;",默认初始化值:n见,ICH-6-1-3-3选择代码表,,,,
97,ICH-6-1-3-4,是否血肿源自幕下,字符串,否,"例:""y""","该字段无需用户填写,由系统自动生成;",默认初始化值:n见,ICH-6-1-3-4选择代码表,,,,
98,ICH-6-1-3-5,年龄,字符串,否,"例:""y""","该字段无需用户填写,由系统自动生成;",见,ICH-6-1-3-5选择代码表,,,,
99,ICH-6-1-4,首次ICH评估分值,数值,否,例:10,"是否首次ICH评分(ICH-6-1-1)等于""是""(y)时可填写;","数字计算公式:评分值1(ICH-6-1-3-1-r)+评分值2(ICH-6-1-3-2-r)评分值3(ICH-6-1-3-3-r)评分值4(ICH-6-1-3-4-r)评分值5(ICH-6-1-3-5-r),单位:整数",,,,,
100,ICH-6-1-6,首次ICH 评估分值与30d死亡率(%),字符串,参考备注,"例:""a""","是否首次ICH评分(ICH-6-1-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-6-1-6选择代码表,,,
101,ICH-6-2-6,是否有手术适应证,字符串,参考备注,"例:""UTD""","是否首次ICH评分(ICH-6-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,ICH-6-2-6选择代码表,,,
102,ICH-6-1-5,手术适应证选择,数组,参考备注,"例:[""a"",""b""]","是否有手术适应证(ICH-6-2-6)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-6-1-5选择代码表,,,
103,ICH-6-1-5-1,其他手术适应证,字符串,参考备注,"例:""填写文字说明""","手术适应证选择(ICH-6-1-5)等于""其他（注明手术适应症名称）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
104,ICH-6-2-3,神经外科干预措施,字符串,参考备注,"例:""a""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,ICH-6-2-3选择代码表,,,
105,ICH-6-2-3-1,其他神经外科干预措施,字符串,参考备注,"例:""填写文字说明""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;","神经外科干预措施(ICH-6-2-3)等于""其他(注明ICD-9-CM-3编码及外科干预措施名称)""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,,,
106,CM-2-1,是否有手术后并发症,字符串,参考备注,"例:""UTD""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,CM-2-1选择代码表,,,
107,CM-2-2,手术后并发症类别及ICD-10四位亚目的选择,数组,参考备注,"例:[""a"",""b""]","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-2选择代码表,,
108,CM-2-3-1-1,其他手术后并发症类别及ICD-10四位亚目和名称填写,字符串,参考备注,"例:""填写文字说明""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
109,CM-2-3-1,介入操作与手术其他并发症,字符串,参考备注,"例:""a""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术并发症(O04.5，T81.1，T81.2，T81.3，T81.7，T81.8)""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-1选择代码表,,
110,CM-2-3-2,手术患者手术后肺栓塞例数,字符串,参考备注,"例:""a""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后肺栓塞例数(I26.9，O04.2，O07.2，O88.2)""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-2选择代码表,,
111,CM-2-3-3,手术患者手术后深静脉血栓例数,字符串,参考备注,"例:""a""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后深静脉血栓例数(I80.2，I82.8，O22.3，O87.1)""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-3选择代码表,,
112,CM-2-3-4,手术患者手术后败血症例数,字符串,参考备注,"例:""a""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后败血症例数(T81.4)""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-4选择代码表,,
113,CM-2-3-5,手术患者手术后出血或血肿例数,字符串,参考备注,"例:""a""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后出血或血肿例数(O04.1，O04.6，O04.8，O07.1，O07.6，T81.0)""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-5选择代码表,,
114,CM-2-3-6,手术患者手术伤口裂开,字符串,参考备注,"例:""a""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术伤口裂开(T81.3)""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-6选择代码表,,
115,CM-2-3-7,手术患者猝死,字符串,参考备注,"例:""a""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者猝死（手术后24小时内死亡）(R96.0，R96.1)""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-7选择代码表,,
116,CM-2-3-8,手术患者手术后呼吸道并发症,字符串,参考备注,"例:""a""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后呼吸道并发症(J95.0至J95.9，J96.0，J96.9)""(h)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-8选择代码表,,
117,CM-2-3-9,手术患者手术后生理/代谢紊乱,字符串,参考备注,"例:""a""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后生理/代谢紊乱(E86.x0，E87.0至E87.8，E88.8，E88.9，E89.0至E89.9)""(i)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-9选择代码表,,
118,CM-2-3-10,与手术/操作相关感染,字符串,参考备注,"例:""a""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""与手术/操作相关感染(O04.0，O07.0，T81.4)""(j)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-10选择代码表,,
119,CM-2-3-11,手术过程中异物遗留,字符串,参考备注,"例:""a""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术过程中异物遗留(T81.5)""(k)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-11选择代码表,,
120,CM-2-3-12,麻醉并发症,字符串,参考备注,"例:""a""","手术适应证选择(ICH-6-1-5)等于""无法确定或无记录""(UTD)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""麻醉并发症(T88.2，T88.3，T88.4，T88.5)""(l)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-12选择代码表,,
