序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,
25,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,
26,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,
27,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,
28,CAC-1-1-1,入院后是否实施首次病情严重程度评估,字符串,是,"例:""y""",见,CAC-1-1-1选择代码表,,
29,CAC-1-1-2,哮喘患者病情严重程度分级,字符串,参考备注,"例:""a""","入院后是否实施首次病情严重程度评估(CAC-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-1-1-2选择代码表
30,CAC-1-2-1,"哮喘急性发作时,是否有病情严重程度的分级评估",字符串,是,"例:""y""",见,CAC-1-2-1选择代码表,,
31,CAC-1-2-2,哮喘急性发作时病情严重程度的分级评估结果,字符串,参考备注,"例:""a""","哮喘急性发作时,是否有病情严重程度的分级评估(CAC-1-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-1-2-2选择代码表
32,CAC-1-3-1,是否对具有急性发作风险的高危患者评估,字符串,是,"例:""y""",见,CAC-1-3-1选择代码表,,
33,CAC-1-3-2,具有急性发作风险的高危患者评估,数组,参考备注,"例:[""a"",""b""]","是否对具有急性发作风险的高危患者评估(CAC-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-1-3-2选择代码表
34,CAC-2-1-1,是否入住ICU/RICU,字符串,是,"例:""y""",见,CAC-2-1-1选择代码表,,
35,CAC-2-2-1,收住ICU/RICU符合指征,字符串,参考备注,"例:""a""","是否入住ICU/RICU (CAC-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-2-2-1选择代码表
36,CAC-2-2-2,入住ICU/RICU时机,字符串,参考备注,"例:""a""","是否入住ICU/RICU (CAC-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-2-2-2选择代码表
37,CAC-3-1-1,是否给予氧疗,字符串,是,"例:""y""",见,CAC-3-1-1选择代码表,,
38,CAC-3-2-1,氧疗方法,数组,参考备注,"例:[""a"",""b""]","是否给予氧疗(CAC-3-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-3-2-1选择代码表
39,CAC-3-3-1,氧疗30min后是否评估氧合状态,字符串,参考备注,"例:""y""","是否给予氧疗(CAC-3-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-3-3-1选择代码表
40,CAC-3-3-2,氧合状态评估方法,字符串,参考备注,"例:""a""","氧疗30min后是否评估氧合状态(CAC-3-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-3-3-2选择代码表
41,CAC-3-3-2-1,外周氧饱和度值(%),数值,参考备注,例:10,"氧合状态评估方法(CAC-3-3-2)等于""外周血氧饱和度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,外周氧饱和度值填写值应大于等于0,
42,CAC-3-3-2-2,动脉氧分压(mmHg),数值,参考备注,例:10,"氧合状态评估方法(CAC-3-3-2)等于""血气分析""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,动脉氧分压填写值应大于等于0,
43,CAC-4-1-1,是否吸入支气管舒张剂,字符串,是,"例:""y""",见,CAC-4-1-1选择代码表,,
44,CAC-4-1-2,吸入支气管舒张剂种类,数组,参考备注,"例:[""a"",""b""]","是否吸入支气管舒张剂(CAC-4-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-4-1-2选择代码表
45,CAC-4-1-2-1,其它支气管舒张剂,字符串,参考备注,"例:""填写文字说明""","吸入支气管舒张剂种类(CAC-4-1-2)等于""其他药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
46,CAC-4-2-1,是否吸入糖皮质激素,字符串,是,"例:""y""",见,CAC-4-2-1选择代码表,,
47,CAC-4-2-2,吸入糖皮质激素种类,数组,参考备注,"例:[""a"",""b""]","是否吸入糖皮质激素(CAC-4-2-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-4-2-2选择代码表
48,CAC-4-2-2-1,其他吸入糖皮质激素,字符串,参考备注,"例:""填写文字说明""","吸入糖皮质激素种类(CAC-4-2-2)等于""其他药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
49,CAC-5-1-1,是否使用全身糖皮质激素,字符串,是,"例:""y""",见,CAC-5-1-1选择代码表,,
50,CAC-5-1-2,糖皮质激素选择,字符串,参考备注,"例:""a""","是否使用全身糖皮质激素(CAC-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-5-1-2选择代码表
51,CAC-5-1-2-1,其他糖皮质激素治疗途径,字符串,参考备注,"例:""填写文字说明""","糖皮质激素选择(CAC-5-1-2)等于""其他药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
52,CAC-5-2-1,全身糖皮质激素使用医嘱起始日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用全身糖皮质激素(CAC-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,全身糖皮质激素使用医嘱起始日期时间应大于入院日期时间,
53,CAC-5-2-2,全身糖皮质激素使用医嘱终止日期,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用全身糖皮质激素(CAC-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,全身糖皮质激素使用医嘱终止日期应大于等于全身糖皮质激素使用医嘱起始日期时间;,全身糖皮质激素使用医嘱终止日期应小于等于出院日期
54,CAC-5-2-3,全身糖皮质激素使用天数,数值,否,例:10,"是否使用全身糖皮质激素(CAC-5-1-1)等于""是""(y)时必填;","日期差值计算公式:全身糖皮质激素使用医嘱终止日期(CAC-5-2-2)-全身糖皮质激素使用医嘱起始日期时间(CAC-5-2-1),单位:天数",,
55,CAC-6-1-1,患者病情稳定出院前是否开始应用控制性药物,字符串,是,"例:""y""",见,CAC-6-1-1选择代码表,,
56,CAC-6-2-1,控制药物使用情况,数组,参考备注,"例:[""a"",""b""]","患者病情稳定出院前是否开始应用控制性药物(CAC-6-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-6-2-1选择代码表
57,CAC-6-2-1-1,其他控制药物使用情况,字符串,参考备注,"例:""填写文字说明""","控制药物使用情况(CAC-6-2-1)等于""其他药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
58,CAC-7-1-1,是否使用茶碱,字符串,是,"例:""y""",见,CAC-7-1-1选择代码表,,
59,CAC-7-1-2,茶碱制剂种类,字符串,参考备注,"例:""a""","是否使用茶碱 (CAC-7-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-7-1-2选择代码表
60,CAC-7-1-2-1,其他茶碱制剂,字符串,参考备注,"例:""填写文字说明""","茶碱制剂种类(CAC-7-1-2)等于""其他药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
61,CAC-7-1-3,用药途径,字符串,参考备注,"例:""a""","是否使用茶碱 (CAC-7-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-7-1-3选择代码表
62,CAC-7-1-4,是否监测茶碱血药浓度,字符串,参考备注,"例:""y""","是否使用茶碱 (CAC-7-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-7-1-4选择代码表
63,CAC-7-1-5,茶碱血药浓度(μg/ml),数值,参考备注,例:10,"是否监测茶碱血药浓度(CAC-7-1-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,茶碱血药浓度填写值应大于等于0,
64,CAC-8-1-1,是否入院后实施首次实验室检查评估,字符串,是,"例:""y""",见,CAC-8-1-1选择代码表,,
65,CAC-8-1-2,实验室检查评估,数组,参考备注,"例:[""a"",""b""]","是否入院后实施首次实验室检查评估(CAC-8-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-8-1-2选择代码表
66,CAC-8-1-2-1,其他实验室检查评估,字符串,参考备注,"例:""填写文字说明""","实验室检查评估(CAC-8-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,
67,CAC-8-1-3,是否入院后实施首次胸部影像学检查,字符串,是,"例:""y""",见,CAC-8-1-3选择代码表,,
68,CAC-8-1-4,胸部影像学检查评估,字符串,参考备注,"例:""a""","是否入院后实施首次胸部影像学检查(CAC-8-1-3)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-8-1-4选择代码表
69,CAC-8-1-4-1,其他胸部影像学检查评估,字符串,参考备注,"例:""填写文字说明""","胸部影像学检查评估(CAC-8-1-4)等于""其他""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
70,CAC-8-2-1,是否入院24小时内是否应用抗菌药物,字符串,是,"例:""y""",见,CAC-8-2-1选择代码表,,
71,CAC-8-2-2,患者接受首剂抗菌药物治疗（注射剂输入/注射）时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否入院24小时内是否应用抗菌药物(CAC-8-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,患者接受首剂抗菌药物治疗时间应小于出院日期时间,
72,CAC-8-2-3,接受首剂抗菌药物使用时机,字符串,参考备注,"例:""a""","是否入院24小时内是否应用抗菌药物(CAC-8-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-8-2-3选择代码表
73,CAC-8-3-1,入院后是否进行首次病原学检测,字符串,是,"例:""UTD""",默认初始化值:UTD见,CAC-8-3-1选择代码表,,
74,CAC-8-3-4,病原学诊断结果选择,字符串,参考备注,"例:""a""","入院后是否进行首次病原学检测(CAC-8-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-8-3-4选择代码表
75,CAC-8-3-3,依据病原学诊断结果，选择目标抗感染药物,字符串,参考备注,"例:""y""","入院后是否进行首次病原学检测(CAC-8-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-8-3-3选择代码表
76,CAC-8-3-2,使用抗感染药物种类,数组,参考备注,"例:[""a"",""b""]","依据病原学诊断结果，选择目标抗感染药物(CAC-8-3-3)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-8-3-2选择代码表
77,CAC-8-3-2-1,青霉素类抗感染药物,字符串,参考备注,"例:""a""","使用抗感染药物种类(CAC-8-3-2)等于""青霉素类抗感染药物""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-8-3-2-1选择代码表
78,CAC-8-3-2-1-1,其它青霉素类抗感染药物名称,字符串,参考备注,"例:""填写文字说明""","青霉素类抗感染药物(CAC-8-3-2-1)等于""其他青霉素类抗菌药（请用10个字说明药物的“通用名”）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
79,CAC-8-3-2-2,头孢菌素类抗感染药物,字符串,参考备注,"例:""a""","使用抗感染药物种类(CAC-8-3-2)等于""头孢菌素类抗感染药物""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-8-3-2-2选择代码表
80,CAC-8-3-2-2-1,其它头孢菌素类抗感染药物名称,字符串,参考备注,"例:""填写文字说明""","头孢菌素类抗感染药物(CAC-8-3-2-2)等于""其他头孢菌素类抗菌药（请用10个字说明药物的“通用名”）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
81,CAC-8-3-2-3,大环内酯类抗感染药物,字符串,参考备注,"例:""a""","使用抗感染药物种类(CAC-8-3-2)等于""大环内酯类抗感染药物""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-8-3-2-3选择代码表
82,CAC-8-3-2-3-1,其它大环内酯类抗感染药物名称,字符串,参考备注,"例:""填写文字说明""","大环内酯类抗感染药物(CAC-8-3-2-3)等于""其他大环内酯类抗菌药（请用10个字说明药物的“通用名”）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
83,CAC-8-3-2-4,喹诺酮类抗感染药物,字符串,参考备注,"例:""a""","使用抗感染药物种类(CAC-8-3-2)等于""喹诺酮类抗感染药物""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-8-3-2-4选择代码表
84,CAC-8-3-2-4-1,其它喹诺酮类抗感染药物名称,字符串,参考备注,"例:""填写文字说明""","喹诺酮类抗感染药物(CAC-8-3-2-4)等于""其他-喹诺酮类抗菌药（请用10个字说明药物的“通用名”）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
85,CAC-8-3-2-5,其他类抗感染药物,字符串,参考备注,"例:""a""","使用抗感染药物种类(CAC-8-3-2)等于""其他类抗感染药物""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-8-3-2-5选择代码表
86,CAC-8-3-2-5-1,其他类其它抗感染药物名称,字符串,参考备注,"例:""填写文字说明""","其他类抗感染药物(CAC-8-3-2-5)等于""其他抗菌药（请用10个字说明药物的“通用名”）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
87,CAC-8-3-2-6,抗真菌药物,字符串,参考备注,"例:""a""","使用抗感染药物种类(CAC-8-3-2)等于""抗真菌药物""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-8-3-2-6选择代码表
88,CAC-8-3-2-6-1,其它抗真菌药物名称,字符串,参考备注,"例:""填写文字说明""","抗真菌药物(CAC-8-3-2-6)等于""其他抗真菌药（请用10个字说明药物的“通用名”）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
89,CAC-9-1-1,是否实施机械通气,字符串,是,"例:""y""",见,CAC-9-1-1选择代码表,,
90,CAC-9-1-2,机械通气应用指征,字符串,参考备注,"例:""a""","是否实施机械通气(CAC-9-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-9-1-2选择代码表
91,CAC-9-1-2-1,其他机械通气应用指征,字符串,参考备注,"例:""填写文字说明""","机械通气应用指征(CAC-9-1-2)等于""其他""(oth)时可填写;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,
92,CAC-9-1-3,患者机械通气起始日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否实施机械通气(CAC-9-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
93,CAC-9-1-4,患者机械通气终止日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否实施机械通气(CAC-9-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,患者机械通气终止日期时间应大于等于患者机械通气起始日期时间;,患者机械通气终止日期时间应小于出院日期时间
94,CAC-9-1-5,机械通气疗程（小时）,数值,否,例:10,"是否实施机械通气(CAC-9-1-1)等于""是""(y)时必填;","日期差值计算公式:患者机械通气终止日期时间(CAC-9-1-4)-患者机械通气起始日期时间(CAC-9-1-3),单位:小时",,
95,CAC-10-1-1,是否有肺动脉高压和右心功能不全,字符串,是,"例:""y""",见,CAC-10-1-1选择代码表,,
96,CAC-10-1-2,首次处置血管扩张剂（无禁忌症）的选择,数组,参考备注,"例:[""a"",""b""]","是否有肺动脉高压和右心功能不全(CAC-10-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-10-1-2选择代码表
97,CAC-10-1-2-1,其他首次处置血管扩张剂,字符串,参考备注,"例:""填写文字说明""","首次处置血管扩张剂（无禁忌症）的选择(CAC-10-1-2)等于""其他药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
98,CAC-10-2-1,是否有气胸,字符串,是,"例:""y""",见,CAC-10-2-1选择代码表,,
99,CAC-10-2-2,首位处置项目的选择,数组,参考备注,"例:[""a"",""b""]","是否有气胸(CAC-10-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-10-2-2选择代码表
100,CAC-10-2-2-1,其他首位处置项目,字符串,参考备注,"例:""填写文字说明""","首位处置项目的选择(CAC-10-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
101,CAC-10-3-1,是否有胃食管反流病,字符串,是,"例:""y""",见,CAC-10-3-1选择代码表,,
102,CAC-10-3-2,首位处置项目的选择,数组,参考备注,"例:[""a"",""b""]","是否有胃食管反流病(CAC-10-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-10-3-2选择代码表
103,CAC-10-3-2-1,其它首位处置项目,字符串,参考备注,"例:""填写文字说明""","首位处置项目的选择(CAC-10-3-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
104,CAC-11-1-1,住院期间是否为患者提供健康教育,字符串,是,"例:""y""",见,CAC-11-1-1选择代码表,,
105,CM-7-2-1,交与患者“出院小结”的副本告知患者出院时风险因素,数组,参考备注,"例:[""a"",""b""]","住院期间是否为患者提供健康教育(CAC-11-1-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-7-2-1选择代码表
106,CM-7-2-2,出院带药,数组,参考备注,"例:[""a"",""b""]","住院期间是否为患者提供健康教育(CAC-11-1-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-7-2-2选择代码表
107,CM-7-2-4,告知发生紧急意外情况或者疾病复发如何救治及前途经,数组,参考备注,"例:[""a"",""b""]","住院期间是否为患者提供健康教育(CAC-11-1-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-7-2-4选择代码表
108,CAC-11-2-4,告知患者进入慢性持续期和临床缓解期，需要进一步控制治疗,数组,参考备注,"例:[""a"",""b""]","住院期间是否为患者提供健康教育(CAC-11-1-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-11-2-4选择代码表
109,CAC-11-2-5,告知患者哮喘教育管理途径,数组,参考备注,"例:[""a"",""b""]","住院期间是否为患者提供健康教育(CAC-11-1-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CAC-11-2-5选择代码表
110,CM-4-3,离院方式选择,字符串,是,"例:""a""",见,CM-4-3选择代码表,,
111,CM-4-5,非医嘱离院可能涉及因素,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""非医嘱离院""(d)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-5选择代码表
112,CM-4-4-1,其他非医嘱离院因素填写,字符串,参考备注,"例:""填写文字说明""","非医嘱离院可能涉及因素(CM-4-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
113,CM-4-6,死亡可能涉及因素,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-6选择代码表
114,CM-5-1,患者是否对服务的体验与评价,字符串,是,"例:""y""",见,CM-5-1选择代码表,,
115,CM-5-2-1,整体医院评级,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-1选择代码表
116,CM-5-2-2,患者推荐,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-2选择代码表
117,CM-5-2-3,病房、床单元和卫生间清洁度,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-3选择代码表
118,CM-5-2-5,病房与周边噪音,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-5选择代码表
119,CM-5-2-6,医生沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-6选择代码表
120,CM-5-2-7,护士沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-7选择代码表
121,CM-5-2-8,药师沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-8选择代码表
122,CM-5-2-9,康复计划,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-9选择代码表
123,CM-5-2-10,出院时的知情告知,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-10选择代码表
124,CM-5-2-11,膳食评价,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-11选择代码表
125,CM-6-1,住院总费用,数值,是,例:10,住院总费用要大于0;,住院总费用要小于1000000;,住院总费用应大于等于各项费用之和,
126,CM-6-2,住院总费用其中自付金额,数值,是,例:10,自付金额要,自付金额应≤住院总费用,,
127,CM-6-3,一般医疗服务费,数值,是,例:10,一般医疗服务费要,,,
128,CM-6-4,一般治疗操作费,数值,是,例:10,一般治疗操作费要,,,
129,CM-6-5,护理费,数值,是,例:10,护理费要,,,
130,CM-6-6,综合医疗服务类其他费用,数值,是,例:10,综合医疗服务类其他费用要≥0,,,
131,CM-6-7,病理诊断费,数值,是,例:10,病理诊断费要≥0,,,
132,CM-6-8,实验室诊断费,数值,是,例:10,实验室诊断费要≥0,,,
133,CM-6-9,影像学诊断费,数值,是,例:10,影像学诊断费要≥0,,,
134,CM-6-10,临床诊断项目费,数值,是,例:10,临床诊断项目费要≥0,,,
135,CM-6-11,非手术治疗项目费,数值,是,例:10,非手术治疗项目费要≥0,,,
136,CM-6-12,其中：临床物理治疗费,数值,是,例:10,临床物理治疗费要≥0,,,
137,CM-6-13,手术治疗费,数值,是,例:10,手术治疗费要≥0,,,
138,CM-6-14,其中：麻醉费,数值,是,例:10,麻醉费要≥0,,,
139,CM-6-15,其中：手术费,数值,是,例:10,手术费要≥0,,,
140,CM-6-16,康复费,数值,是,例:10,康复费要≥0,,,
141,CM-6-17,中医治疗费,数值,是,例:10,中医治疗费要≥0,,,
142,CM-6-18,西药费,数值,是,例:10,西药费要≥0,,,
143,CM-6-19,其中：抗菌药物费,数值,是,例:10,抗菌药物费要≥0,,,
144,CM-6-20,中成药费,数值,是,例:10,中成药费要≥0,,,
145,CM-6-21,中草药费,数值,是,例:10,中草药费要≥0,,,
146,CM-6-22,血费,数值,是,例:10,血费要≥0,,,
147,CM-6-23,白蛋白类制品费,数值,是,例:10,白蛋白类制品费要≥0,,,
148,CM-6-24,球蛋白类制品费,数值,是,例:10,球蛋白类制品费要≥0,,,
149,CM-6-25,凝血因子类制品费,数值,是,例:10,凝血因子类制品费要≥0,,,
150,CM-6-26,细胞因子类制品费,数值,是,例:10,细胞因子类制品费要≥0,,,
151,CM-6-27,检查用一次性医用材料费,数值,是,例:10,检查用一次性医用材料费要≥0,,,
152,CM-6-28,治疗用一次性医用材料费,数值,是,例:10,治疗用一次性医用材料费要≥0,,,
153,CM-6-29,手术用一次性医用材料费,数值,是,例:10,手术用一次性医用材料费要≥0,,,
,CM-6-30,其他费,数值,是,例:10,其他费要≥0,,,
