序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,
25,CM-0-2-5-1,入住CCU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,,,,
26,CM-0-2-5-2,离开CCU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,离开ICU日期时间应大于入住ICU日期时间,,,
27,CM-0-2-6-1,手术开始（切皮）日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,手术开始日期时间应大于入院日期时间,,,
28,CM-0-2-6-2,手术结束（缝皮结束）日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,手术结束日期时间应大于手术开始日期时间;,手术结束日期时间应小于出院日期时间,,
29,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,
30,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,
31,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,
32,HF-1-1-1,是否实施首次X线胸片检查,字符串,是,"例:""y""",见,HF-1-1-1选择代码表,,,
33,HF-1-1-2,首次X线胸片检查报告日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否实施首次X线胸片检查(HF-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,首次X线胸片检查报告日期时间应大于到达本院急诊或者门诊日期时间,,
34,HF-1-1-3,首次X线胸片检查报告是否有肺淤血或肺水肿,字符串,参考备注,"例:""y""","是否实施首次X线胸片检查(HF-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-1-1-3选择代码表,
35,HF-1-2-1,是否实施首次超声心动图(CDFA)检查,字符串,是,"例:""y""",见,HF-1-2-1选择代码表,,,
36,HF-1-2-2,报告日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否实施首次超声心动图(CDFA)检查(HF-1-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,首次超声心动图检查报告日期时间应大于到达本院急诊或者门诊日期时间,,
37,HF-1-2-3-4,左室舒张末内径（LVEDD）(mm),数值,参考备注,例:10,"是否实施首次超声心动图(CDFA)检查(HF-1-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
38,HF-1-2-3-1,左室射血分（LVEF）测量值(%),数值,参考备注,例:10,"是否实施首次超声心动图(CDFA)检查(HF-1-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
39,HF-1-2-3-2,左室射血分数评估结论,字符串,否,"例:""a""","是否实施首次超声心动图(CDFA)检查(HF-1-2-1)等于""是""(y)时可填写;",见,HF-1-2-3-2选择代码表,,
40,HF-1-2-3-3,是否有左心室室壁瘤,字符串,参考备注,"例:""y""","是否实施首次超声心动图(CDFA)检查(HF-1-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-1-2-3-3选择代码表,
41,HF-1-3-1,实施首次评估患者的危险程度,字符串,是,"例:""a""",见,HF-1-3-1选择代码表,,,
42,HF-1-3-3,Killip分级评估结果的选择,字符串,参考备注,"例:""a""","实施首次评估患者的危险程度(HF-1-3-1)等于""Killip分级""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-1-3-3选择代码表,
43,HF-1-3-2,NYHA分级结果的选择,字符串,参考备注,"例:""a""","实施首次评估患者的危险程度(HF-1-3-1)等于""NYHA分级""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-1-3-2选择代码表,
44,HF-1-3-5,是否为非瓣膜性房颤/房扑患者,字符串,是,"例:""y""",见,HF-1-3-5选择代码表,,,
45,HF-1-3-6-1,是否实施房颤患者风险评估,字符串,参考备注,"例:""y""","是否为非瓣膜性房颤/房扑患者(HF-1-3-5)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-1-3-6-1选择代码表,
46,HF-1-3-6-2,房颤患者脑险评估分值,数值,参考备注,例:10,"是否实施房颤患者风险评估(HF-1-3-6-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
47,HF-1-3-6-3,CHA2DS2-VASc评分大于2分,字符串,否,"例:""y""","是否实施房颤患者风险评估(HF-1-3-6-1)等于""是""(y)时可填写;",见,HF-1-3-6-3选择代码表,,
48,HF-1-4-1,急诊或入院后是否首次心电图（ECG）检查,字符串,是,"例:""y""",见,HF-1-4-1选择代码表,,,
49,HF-1-4-2,报告日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","急诊或入院后是否首次心电图（ECG）检查(HF-1-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,急诊或入院后是否首次心电图报告日期时间应应大于到达本院急诊或门诊时间,,
50,HF-1-4-3,QRS宽度(ms),数值,参考备注,例:10,"急诊或入院后是否首次心电图（ECG）检查(HF-1-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
51,HF-1-4-4,心电图（ECG）检查结果选择,数组,参考备注,"例:[""a"",""b""]","急诊或入院后是否首次心电图（ECG）检查(HF-1-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-1-4-4选择代码表,
52,HF-1-4-4-1,其他心电图检查结果,字符串,参考备注,"例:""填写文字说明""","心电图（ECG）检查结果选择(HF-1-4-4)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,,
53,HF-1-5-1-1,是否实施首次检测,字符串,是,"例:""y""",见,HF-1-5-1-1选择代码表,,,
54,HF-1-5-1-2,首次检测结果报告日期,字符串,参考备注,"例:""1970-01-01 12:00""","是否实施首次检测(HF-1-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,首次检测结果报告日期应大于到达本院急诊时间,,
55,HF-1-5-3,首次检测选择,数组,参考备注,"例:[""a"",""b""]","是否实施首次检测(HF-1-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-1-5-3选择代码表,
56,HF-1-5-2-1,肌钙蛋白T（TnT）检测值(ng/mL),数值,参考备注,例:10,"首次检测选择(HF-1-5-3)等于""肌钙蛋白T（TnT）""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
57,HF-1-5-2-2,肌钙蛋白I（TnI）检测值(ng/mL),数值,参考备注,例:10,"首次检测选择(HF-1-5-3)等于""肌钙蛋白I（TnI）""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
58,HF-1-5-2-3,肌酸激酶同工酶（CK-MB）检测值(ng/mL),数值,参考备注,例:10,"首次检测选择(HF-1-5-3)等于""肌酸激酶同工酶（CK-MB）""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
59,HF-1-5-2-4,心肌肌红蛋白（Myo）检测值(ng/mL),数值,参考备注,例:10,"首次检测选择(HF-1-5-3)等于""心肌肌红蛋白（Myo）""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
60,HF-1-5-2-5,B型钠尿肽（BNP）检测值(ng/mL),数值,参考备注,例:10,"首次检测选择(HF-1-5-3)等于""B型钠尿肽（BNP）""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
61,HF-1-5-2-6,N端B型钠尿肽前体（NT-ProBNP）检测值(ng/L),数值,参考备注,例:10,"首次检测选择(HF-1-5-3)等于""N端B型钠尿肽前体（NT-ProBNP）""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
62,HF-2-1-A,是否有利尿剂的禁忌证,字符串,是,"例:""y""",见,HF-2-1-A选择代码表,,,
63,HF-2-1,使用利尿剂的禁忌证选择,数组,参考备注,"例:[""a"",""b""]","是否有利尿剂的禁忌证(HF-2-1-A)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-2-1选择代码表,
64,HF-2-1-1,其他使用利尿剂的禁忌证,字符串,参考备注,"例:""填写文字说明""","使用利尿剂的禁忌证选择(HF-2-1)等于""医师记录显示有不给予使用利尿剂+钾剂的其他原因""(oth)时可填写;",若该字段无相应取值，则接口中不必提交该字段,,,
65,HF-2-2,首剂用药日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否有利尿剂的禁忌证(HF-2-1-A)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,首次用利尿剂日期时间应大于入院日期时间;,首次用利尿剂日期时间应小于出院日期时间,
66,HF-2-3,常用利尿剂药物,字符串,参考备注,"例:""a""","是否有利尿剂的禁忌证(HF-2-1-A)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-2-3选择代码表,
67,HF-2-3-1,其他利尿剂药物填写,字符串,参考备注,"例:""填写文字说明""","常用利尿剂药物(HF-2-3)等于""其他利尿剂""(oth)时可填写;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于50,,
68,HF-2-5,入院至使用首剂利尿剂时间大于24小时,字符串,参考备注,"例:""y""","是否有利尿剂的禁忌证(HF-2-1-A)等于""否""(n)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,HF-2-5选择代码表,
69,HF-2-4,延迟治疗原因的选择,数组,参考备注,"例:[""a"",""b""]","入院至使用首剂利尿剂时间大于24小时(HF-2-5)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-2-4选择代码表,
70,HF-2-4-1,其他延迟治疗原因,字符串,参考备注,"例:""填写文字说明""","延迟治疗原因的选择(HF-2-4)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
71,HF-3-1,左心室收缩功能障碍,字符串,否,"例:""a""",若该字段无相应取值，则接口中不必提交该字段,见,HF-3-1选择代码表,,
72,HF-3-2-A,是否有ACEI抑制剂类药物禁忌证,字符串,是,"例:""y""",见,HF-3-2-A选择代码表,,,
73,HF-3-2-1,ACEI抑制剂类药物禁忌证与须慎用的情况,数组,参考备注,"例:[""a"",""b""]","是否有ACEI抑制剂类药物禁忌证(HF-3-2-A)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-3-2-1选择代码表,
74,HF-3-4-A,ACE抑制剂药物,字符串,参考备注,"例:""f""","是否有ACEI抑制剂类药物禁忌证(HF-3-2-A)等于""否""(n)时必填;","ARB类药物(HF-3-4-B)等于""请选择""(def)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-3-4-A选择代码表
75,HF-3-4-A-1,其他ACEI药物,字符串,参考备注,"例:""填写文字说明""","ACE抑制剂药物(HF-3-4-A)等于""其他ACEI药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
76,HF-3-4-B,ARB类药物,字符串,参考备注,"例:""f""","是否有ACEI抑制剂类药物禁忌证(HF-3-2-A)等于""否""(n)时必填;","ACE抑制剂药物(HF-3-4-A)等于""请选择""(def)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-3-4-B选择代码表
77,HF-3-4-B-1,其他ARB类药物填写,字符串,参考备注,"例:""填写文字说明""","ARB类药物(HF-3-4-B)等于""其他ARB药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于50,,
78,HF-3-2-B,是否有ARNI类药物禁忌证,字符串,参考备注,"例:""y""","是否有ACEI抑制剂类药物禁忌证(HF-3-2-A)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-3-2-B选择代码表,
79,HF-3-2-2,ARNI类药物禁忌证与须慎用的情况,数组,参考备注,"例:[""a"",""b""]","是否有ARNI类药物禁忌证(HF-3-2-B)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-3-2-2选择代码表,
80,HF-3-4-C,使用血管紧张素受体脑啡肽酶抑制剂（ARNI）类药物的选择,字符串,参考备注,"例:""a""","是否有ARNI类药物禁忌证(HF-3-2-B)等于""是""(y)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,HF-3-4-C选择代码表,
81,HF-3-4-C-1,其他使用血管紧张素受体脑啡肽酶抑制剂（ARNI）类药物,字符串,参考备注,"例:""填写文字说明""","是否有ARNI类药物禁忌证(HF-3-2-B)等于""是""(y)时无需填写;","使用血管紧张素受体脑啡肽酶抑制剂（ARNI）类药物的选择(HF-3-4-C)等于""其他ARNI药物（列出药物通用名）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
82,HF-3-3-1,首剂用药日期是否未确定,数组,参考备注,"例:[""UTD""]",使用ACEI抑制剂或者ARB类药物禁忌症(HF-3-2-A)等于n时选填若该字段无相应取值，则接口中不必提交该字段,见,HF-3-3-1选择代码表,,
83,HF-3-3,首剂用药日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否有ARNI类药物禁忌证(HF-3-2-B)等于""是""(y)时无需填写;","首剂用药日期是否未确定(HF-3-3-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,首剂用药日期时间应大于入院日期时间;,首剂用药日期时间应小于出院日期时间
84,HF-3-6,入院至使用首剂ACEI/ARB类药物时间大于24小时,字符串,参考备注,"例:""y""","是否有ARNI类药物禁忌证(HF-3-2-B)等于""是""(y)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,HF-3-6选择代码表,
85,HF-3-5,延迟治疗原因,数组,参考备注,"例:[""a"",""b""]","是否有ARNI类药物禁忌证(HF-3-2-B)等于""是""(y)时无需填写;","入院至使用首剂ACEI/ARB类药物时间大于24小时(HF-3-6)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-3-5选择代码表
86,HF-3-5-1,其他延迟治疗原因,字符串,参考备注,"例:""填写文字说明""","是否有ARNI类药物禁忌证(HF-3-2-B)等于""是""(y)时无需填写;","延迟治疗原因(HF-3-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
87,HF-4-1-1,是否有禁忌证与须慎用的情况,字符串,是,"例:""y""",见,HF-4-1-1选择代码表,,,
88,HF-4-1-2,β-受体阻滞剂禁忌证选择,数组,参考备注,"例:[""a"",""b""]","是否有禁忌证与须慎用的情况(HF-4-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-4-1-2选择代码表,
89,HF-4-3,使用首剂β-受体阻滞剂药物,字符串,参考备注,"例:""a""","是否有禁忌证与须慎用的情况(HF-4-1-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-4-3选择代码表,
90,HF-4-3-1,其他β-受体阻滞剂药物,字符串,参考备注,"例:""填写文字说明""","使用首剂β-受体阻滞剂药物(HF-4-3)等于""其他β-受体阻滞剂药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
91,HF-4-2-1,首剂用药日期是否未确定,数组,参考备注,"例:[""UTD""]",有β-受体阻滞剂禁忌(HF-4-1-C)等于n时选填若该字段无相应取值，则接口中不必提交该字段,见,HF-4-2-1选择代码表,,
92,HF-4-2,首剂用药日期时间,字符串,参考备注,"例:""1970-01-01 12:00:00""","是否有禁忌证与须慎用的情况(HF-4-1-1)等于""否""(n)时必填;","首剂用药日期是否未确定(HF-4-2-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,首剂用药日期时间应小于出院日期时间;,首剂用药日期时间应大于入院日期时间
93,HF-4-5,入院至使用首剂β-受体阻滞剂时间大于24小时,字符串,参考备注,"例:""y""","是否有禁忌证与须慎用的情况(HF-4-1-1)等于""否""(n)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,HF-4-5选择代码表,
94,HF-4-4,延迟治疗原因,数组,参考备注,"例:[""a"",""b""]","入院至使用首剂β-受体阻滞剂时间大于24小时(HF-4-5)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-4-4选择代码表,
95,HF-4-4-1,其他延迟治疗原因,字符串,参考备注,"例:""填写文字说明""","延迟治疗原因(HF-4-4)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
96,HF-5-1-1,是否有醛固酮受体拮抗剂的禁忌证,字符串,是,"例:""y""",见,HF-5-1-1选择代码表,,,
97,HF-5-1-2,醛固酮受体拮抗剂的禁忌证,数组,参考备注,"例:[""a"",""b""]","是否有醛固酮受体拮抗剂的禁忌证(HF-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-5-1-2选择代码表,
98,HF-5-2,重度心衰使用醛固酮受体拮抗剂适用症,字符串,参考备注,"例:""a""","是否有醛固酮受体拮抗剂的禁忌证(HF-5-1-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-5-2选择代码表,
99,HF-5-2-1-1,其他重度心衰使用醛固酮受体拮抗剂适用症,字符串,参考备注,"例:""填写文字说明""","重度心衰使用醛固酮受体拮抗剂适用症(HF-5-2)等于""其他适用症""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过30个文字说明,,
100,HF-5-3-1,首剂用药日期是否未确定,数组,参考备注,"例:[""UTD""]",是否有不使用或不适用醛固酮受体拮抗剂原的原因(HF-5-1-A)等于n时选填若该字段无相应取值，则接口中不必提交该字段,见,HF-5-3-1选择代码表,,
101,HF-5-3,首剂用药日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否有醛固酮受体拮抗剂的禁忌证(HF-5-1-1)等于""否""(n)时必填;","首剂用药日期是否未确定(HF-5-3-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,首剂用药日期时间应大于入院日期时间;,首剂用药日期时间应小于出院日期时间
102,HF-5-6,入院至使用首剂醛固酮受体拮抗剂时间大于24小时,字符串,参考备注,"例:""y""","是否有醛固酮受体拮抗剂的禁忌证(HF-5-1-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-5-6选择代码表,
103,HF-5-4,使用醛固酮受体拮抗剂,字符串,参考备注,"例:""a""","入院至使用首剂醛固酮受体拮抗剂时间大于24小时(HF-5-6)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-5-4选择代码表,
104,HF-5-4-1,其他醛固酮受体拮抗剂类药物,字符串,参考备注,"例:""填写文字说明""","使用醛固酮受体拮抗剂(HF-5-4)等于""其他醛固酮受体拮抗剂类药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
105,HF-5-5,延迟治疗原因,数组,参考备注,"例:[""a"",""b""]","入院至使用首剂醛固酮受体拮抗剂时间大于24小时(HF-5-6)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-5-5选择代码表,
106,HF-5-5-1,其他延迟治疗原因,字符串,参考备注,"例:""填写文字说明""","延迟治疗原因(HF-5-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
107,HF-6-1-1,是否有用药长期医嘱,字符串,是,"例:""y""",见,HF-6-1-1选择代码表,,,
108,HF-6-1-2,常用利尿剂药物的选择,字符串,参考备注,"例:""a""","是否有用药长期医嘱(HF-6-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-6-1-2选择代码表,
109,HF-6-1-2-1,其他常用利尿剂,字符串,参考备注,"例:""填写文字说明""","常用利尿剂药物的选择(HF-6-1-2)等于""其他利尿剂""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
110,HF-6-2-1,是否有ACEI或ARB药物长期医嘱,字符串,是,"例:""y""",见,HF-6-2-1选择代码表,,,
111,HF-6-2-2,使用ACEI抑制剂或者ARB或者ARNI类药物选择,字符串,参考备注,"例:""a""","是否有ACEI或ARB药物长期医嘱(HF-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-6-2-2选择代码表,
112,HF-6-2-2-A,ACE抑制剂药物,字符串,参考备注,"例:""f""","使用ACEI抑制剂或者ARB或者ARNI类药物选择(HF-6-2-2)等于""使用ACE抑制剂药物""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-6-2-2-A选择代码表,
113,HF-6-2-2-A-1,其他ACEI药物填写,字符串,参考备注,"例:""填写文字说明""","ACE抑制剂药物(HF-6-2-2-A)等于""其他ACEI药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
114,HF-6-2-2-B,ARB类药物,字符串,参考备注,"例:""f""","使用ACEI抑制剂或者ARB或者ARNI类药物选择(HF-6-2-2)等于""使用ARB类药物""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-6-2-2-B选择代码表,
115,HF-6-2-2-B-1,其他ARB药物填写,字符串,参考备注,"例:""填写文字说明""","ARB类药物(HF-6-2-2-B)等于""其他ARB药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于50,,
116,HF-6-2-2-C,使用血管紧张素受体脑啡肽酶抑制剂（ARNI）类药物的选择,字符串,参考备注,"例:""a""","使用ACEI抑制剂或者ARB或者ARNI类药物选择(HF-6-2-2)等于""使用血管紧张素受体脑啡肽酶抑制剂（ARNI）类药物""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-6-2-2-C选择代码表,
117,HF-6-2-2-C-1,其他使用血管紧张素受体脑啡肽酶抑制剂（ARNI）类药物,字符串,参考备注,"例:""填写文字说明""","使用血管紧张素受体脑啡肽酶抑制剂（ARNI）类药物的选择(HF-6-2-2-C)等于""其他ARNI药物（列出药物通用名）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
118,HF-6-3-1,是否有β受体阻滞剂药物医嘱,字符串,是,"例:""y""",见,HF-6-3-1选择代码表,,,
119,HF-6-3-2,使用首剂β-受体阻滞剂药物,字符串,参考备注,"例:""a""","是否有β受体阻滞剂药物医嘱(HF-6-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-6-3-2选择代码表,
120,HF-6-3-2-1,其他β-受体阻滞剂药物填写,字符串,参考备注,"例:""填写文字说明""","使用首剂β-受体阻滞剂药物(HF-6-3-2)等于""其他β-受体阻滞剂药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于50,,
121,HF-6-4-1,是否有醛固酮拮抗剂药物医嘱,字符串,是,"例:""y""",见,HF-6-4-1选择代码表,,,
122,HF-6-4-2,使用醛固酮受体拮抗剂,字符串,参考备注,"例:""a""","是否有醛固酮拮抗剂药物医嘱(HF-6-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-6-4-2选择代码表,
123,HF-6-4-2-1,其他醛固酮受体拮抗剂类药物填写,字符串,参考备注,"例:""填写文字说明""","使用醛固酮受体拮抗剂(HF-6-4-2)等于""其他醛固酮受体拮抗剂类药物（列出药品通用名）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于50,,
124,HF-6-5-1,是否常用抗凝药物,字符串,是,"例:""y""",见,HF-6-5-1选择代码表,,,
125,HF-6-5-2,选择抗凝药物,字符串,参考备注,"例:""a""","是否常用抗凝药物(HF-6-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HF-6-5-2选择代码表,
126,HF-6-5-2-1,其他抗凝药物,字符串,参考备注,"例:""填写文字说明""","选择抗凝药物(HF-6-5-2)等于""其他抗凝药物（列出药品通用名）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
127,HF-7-1-1,出院带药医嘱中是否有继续使用利尿剂记录医嘱,字符串,参考备注,"例:""y""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,HF-7-1-1选择代码表,
128,HF-7-1-2,常用利尿剂药物,字符串,参考备注,"例:""a""","出院带药医嘱中是否有继续使用利尿剂记录医嘱(HF-7-1-1)等于""是""(y)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,HF-7-1-2选择代码表
