序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,
24,CM-0-2-5-2,离开ICU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,离开ICU日期时间应大于入住ICU日期时间,,,,
25,CM-0-2-6-1,手术开始（切皮）日期时间,字符串,是,"例:""1970-01-01 12:00""",手术开始日期时间应大于入院日期时间,,,,,
26,CM-0-2-6-2,手术结束（缝皮结束）日期时间,字符串,是,"例:""1970-01-01 12:00""",手术结束日期时间应大于手术开始日期时间;,手术结束日期时间应小于出院日期时间,,,,
27,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,,
28,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,,
29,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,,
30,LC-1-1-1,是否治疗前完成临床TNM分期,字符串,是,"例:""y""",见,LC-1-1-1选择代码表,,,,
31,LC-1-1-2,原发肿瘤（T）分期,字符串,参考备注,"例:""a""","是否治疗前完成临床TNM分期(LC-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-1-1-2选择代码表,,
32,LC-1-1-3,区域淋巴结（N）分期,字符串,参考备注,"例:""a""","是否治疗前完成临床TNM分期(LC-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-1-1-3选择代码表,,
33,LC-1-1-4,远处转移（M）分期,字符串,参考备注,"例:""a""","是否治疗前完成临床TNM分期(LC-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-1-1-4选择代码表,,
34,LC-1-1-5,肺癌治疗前 TNM 临床分期结论,字符串,否,"例:""1""","该字段无需用户填写,由系统自动生成;",见,LC-1-1-5选择代码表,,,
35,LC-1-2-1,治疗前是否接受过2个或以上治疗科室会诊的患者,字符串,参考备注,"例:""y""","是否治疗前完成临床TNM分期(LC-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-1-2-1选择代码表,,
36,LC-2-1-1,是否治疗前病理组织形态学/细胞学诊断,字符串,是,"例:""y""",见,LC-2-1-1选择代码表,,,,
37,LC-2-1-2,采集组织或细胞学标本途经,数组,参考备注,"例:[""a"",""b""]","是否治疗前病理组织形态学/细胞学诊断(LC-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-2-1-2选择代码表,,
38,LC-2-1-2-1,其他采集组织/细胞学标本途经,字符串,参考备注,"例:""填写文字说明""","采集组织或细胞学标本途经(LC-2-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
39,LC-2-1-3,是否非小细胞肺癌患者组织细胞学或病理学无法再细分,字符串,参考备注,"例:""UTD""","是否治疗前病理组织形态学/细胞学诊断(LC-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,LC-2-1-3选择代码表,,
40,LC-3-1-1,治疗前肺癌患者是否进行胸部CT检查,字符串,是,"例:""y""",见,LC-3-1-1选择代码表,,,,
41,LC-3-1-2,肺癌的传统影像学分型(根据肺癌的发生部位),字符串,是,"例:""a""",见,LC-3-1-2选择代码表,,,,
42,LC-3-1-2-1,其他特定部位,字符串,参考备注,"例:""填写文字说明""","肺癌的传统影像学分型(根据肺癌的发生部位)(LC-3-1-2)等于""其他特定部位""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
43,LC-3-1-3,是否在CT引导下经皮肺穿刺活检,字符串,是,"例:""y""",见,LC-3-1-3选择代码表,,,,
44,LC-3-1-4,获取细胞学或组织是否送病理检查,字符串,是,"例:""y""",见,LC-3-1-4选择代码表,,,,
45,LC-4-1-1,TNM 临床分期结论,字符串,是,"例:""a""",见,LC-4-1-1选择代码表,,,,
46,LC-4-1-1-1,其他TNM 临床分期结论,字符串,参考备注,"例:""填写文字说明""","TNM 临床分期结论(LC-4-1-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
47,LC-4-2-1,是否行肺癌手术,字符串,是,"例:""y""",见,LC-4-2-1选择代码表,,,,
48,LC-4-2-2,行肺切除术情况,字符串,参考备注,"例:""a""","是否行肺癌手术(LC-4-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-4-2-2选择代码表,,
49,LC-4-2-2-1,其他行肺切除术情况,字符串,参考备注,"例:""填写文字说明""","行肺切除术情况(LC-4-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,,
50,LC-4-3-1,纵隔淋巴结清除范围选择部位,字符串,参考备注,"例:""y""","是否行肺癌手术(LC-4-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-4-3-1选择代码表,,
51,LC-4-3-2-1,左胸清除纵隔淋巴结范围,数组,参考备注,"例:[""a"",""b""]","纵隔淋巴结清除范围选择部位(LC-4-3-1)等于""左胸""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-4-3-2-1选择代码表,,
52,LC-4-3-3-1,右胸清除纵隔淋巴结范围,数组,参考备注,"例:[""a"",""b""]","纵隔淋巴结清除范围选择部位(LC-4-3-1)等于""右胸""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-4-3-3-1选择代码表,,
53,CM-1-1-1,是否使用预防性抗菌药物,字符串,是,"例:""y""",见,CM-1-1-1选择代码表,,,,
54,CM-1-2-1-2,预防性抗菌药物选择,数组,参考备注,"例:[""a"",""b""]","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-1-2选择代码表,,
55,CM-1-2-2-2,选择碳青霉烯类及替加环素等特殊使用级抗菌药物,数组,参考备注,"例:[""a"",""b""]","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等特殊使用级抗菌药物""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-2-2选择代码表,,
56,CM-1-2-2-1,其他特殊使用级抗菌药物名称,字符串,参考备注,"例:""填写文字说明""","选择碳青霉烯类及替加环素等特殊使用级抗菌药物 (CM-1-2-2-2)等于""其他特殊使用级抗菌药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,,
57,CM-1-3-1-2,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素,数组,参考备注,"例:[""a"",""b""]","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等特殊使用级抗菌药物""(g)时必填;","预防性抗菌药物选择(CM-1-2-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-3-1-2选择代码表,
58,CM-1-3-1-1,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素填写,字符串,参考备注,"例:""填写文字说明""","选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素(CM-1-3-1-2)等于""其他因素""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,,
59,CM-1-4-1,使用首剂抗菌药物起始时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,术前使用首剂抗菌药物起始时间应大于入院日期时间,,,
60,CM-1-5-1,手术时间是否≥3小时,字符串,参考备注,"例:""y""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-1选择代码表,,
61,CM-1-5-2,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","手术时间是否≥3小时(CM-1-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-2选择代码表,,
62,CM-1-5-3,术中出血量是否≥1500ml,字符串,参考备注,"例:""y""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-3选择代码表,,
63,CM-1-5-4,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","术中出血量是否≥1500ml(CM-1-5-3)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-4选择代码表,,
64,CM-1-6-1,术后抗菌药物停止使用时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,术后抗菌药物停止使用时间应大于等于术前使用首剂抗菌药物起始时间;,术后抗菌药物停止使用时间应小于出院日期时间,,
65,CM-1-6-2,使用抗菌药物时间使用时间分层,字符串,否,"例:""a""","该字段无需用户填写,由系统自动生成;",见,CM-1-6-2选择代码表,,,
66,CM-1-6-3-2,术后48小时之后继续使用的原因,数组,参考备注,"例:[""a"",""b""]","使用抗菌药物时间使用时间分层(CM-1-6-2)等于""术后48小时之后继续使用""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-6-3-2选择代码表,,
67,CM-2-1,是否有手术后并发症,字符串,是,"例:""y""",见,CM-2-1选择代码表,,,,
68,CM-2-2,手术后并发症类别及ICD-10四位亚目的选择,数组,参考备注,"例:[""a"",""b""]","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-2选择代码表,,
69,CM-2-3-1,介入操作与手术其他并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术并发症(O04.5，T81.1，T81.2，T81.3，T81.7，T81.8)""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-1选择代码表,,
70,CM-2-3-2,手术患者手术后肺栓塞,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后肺栓塞(I26.9，O04.2，O07.2，O88.2)""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-2选择代码表,,
71,CM-2-3-3,手术患者手术后深静脉血栓,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后深静脉血栓(I80.2，I82.8，O22.3，O87.1)""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-3选择代码表,,
72,CM-2-3-4,手术患者手术后败血症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后败血症(T81.4)""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-4选择代码表,,
73,CM-2-3-5,手术患者手术后出血或血肿,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后出血或血肿(O04.1，O04.6，O04.8，O07.1，O07.6，T81.0)""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-5选择代码表,,
74,CM-2-3-6,手术患者手术伤口裂开,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术伤口裂开(T81.3)""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-6选择代码表,,
75,CM-2-3-7,手术患者猝死,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者猝死（手术后24小时内死亡）(R96.0，R96.1)""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-7选择代码表,,
76,CM-2-3-8,手术患者手术后呼吸道并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后呼吸道并发症(J95.0至J95.9，J96.0，J96.9)""(h)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-8选择代码表,,
77,CM-2-3-9,手术患者手术后生理/代谢紊乱,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后生理/代谢紊乱(E86.x0，E87.0至E87.8，E88.8，E88.9，E89.0至E89.9)""(i)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-9选择代码表,,
78,CM-2-3-10,与手术/操作相关感染,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""与手术/操作相关感染(O04.0，O07.0，T81.4)""(j)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-10选择代码表,,
79,CM-2-3-11,手术过程中异物遗留,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术过程中异物遗留(T81.5)""(k)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-11选择代码表,,
80,CM-2-3-12,麻醉并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""麻醉并发症(T88.2，T88.3，T88.4，T88.5)""(l)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-12选择代码表,,
81,CM-2-3-13,输注、输血反应,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""输注、输血反应(T80.0至T80.9)""(m)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-13选择代码表,,
82,LC-6-1-2,肺癌手术特指的手术后并发症,数组,参考备注,"例:[""a"",""b""]","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-6-1-2选择代码表,,
83,CM-2-3-1-1,其他手术后并发症类别及ICD-10四位亚目和名称填写,字符串,参考备注,"例:""填写文字说明""","肺癌手术特指的手术后并发症(LC-6-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
84,CM-2-4,影响程度的选择,字符串,参考备注,"例:""a""","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-4选择代码表,,
85,LC-6-2-1,是否为0-31天内非计划二次手术,字符串,是,"例:""y""",见,LC-6-2-1选择代码表,,,,
86,LC-6-2-2-1,非计划二次手术的原因,数组,参考备注,"例:[""a"",""b""]","是否为0-31天内非计划二次手术(LC-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-6-2-2-1选择代码表,,
87,LC-6-2-3,手术起始(切皮)日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否为0-31天内非计划二次手术(LC-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
88,LC-6-2-4,手术结束(切口闭合)日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否为0-31天内非计划二次手术(LC-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
89,LC-7-1-1,术后标本是否送病理检查,字符串,是,"例:""y""",见,LC-7-1-1选择代码表,,,,
90,LC-7-1-2,是否有术后病理报告的记录,字符串,参考备注,"例:""y""","术后标本是否送病理检查(LC-7-1-1)等于""否""(n)时无需填写;","术后标本是否送病理检查(LC-7-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-7-1-2选择代码表,
91,LC-7-1-3,病理报告结论中是否有pTNM分期,字符串,参考备注,"例:""y""","术后标本是否送病理检查(LC-7-1-1)等于""否""(n)时无需填写;","术后标本是否送病理检查(LC-7-1-1)等于""是""(y)时无需填写;","是否有术后病理报告的记录(LC-7-1-2)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-7-1-3选择代码表
92,LC-7-1-4,肺癌手术后病理pTNM分期结论,字符串,参考备注,"例:""a""","术后标本是否送病理检查(LC-7-1-1)等于""否""(n)时无需填写;","术后标本是否送病理检查(LC-7-1-1)等于""是""(y)时无需填写;","是否有术后病理报告的记录(LC-7-1-2)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-7-1-4选择代码表
93,LC-7-2-1,术后区域淋巴结是否送病理检查,字符串,是,"例:""y""",见,LC-7-2-1选择代码表,,,,
94,LC-7-2-2,淋巴结总数(个),数值,参考备注,例:10,"术后区域淋巴结是否送病理检查(LC-7-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
95,LC-7-2-3,受累的淋巴结数目(个),数值,参考备注,例:10,"术后区域淋巴结是否送病理检查(LC-7-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
96,LC-8-1-1,肺癌非手术治疗前是否接受基因检测,字符串,是,"例:""UTD""",默认初始化值:UTD见,LC-8-1-1选择代码表,,,,
97,LC-8-1-2,接受基因检测人群的选择,字符串,参考备注,"例:""a""","肺癌非手术治疗前是否接受基因检测(LC-8-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-8-1-2选择代码表,,
98,LC-8-1-2-1,其他接受基因检测人群,字符串,参考备注,"例:""填写文字说明""","接受基因检测人群的选择(LC-8-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
99,LC-8-1-3,接受基因检测的标本选择,字符串,参考备注,"例:""a""","肺癌非手术治疗前是否接受基因检测(LC-8-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-8-1-3选择代码表,,
100,LC-8-1-4,检测类别的选择,数组,参考备注,"例:[""a"",""b""]","肺癌非手术治疗前是否接受基因检测(LC-8-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-8-1-4选择代码表,,
101,LC-8-1-5,检测项目的选择,字符串,参考备注,"例:""a""","肺癌非手术治疗前是否接受基因检测(LC-8-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-8-1-5选择代码表,,
102,LC-8-1-5-1,其他检测项目,字符串,参考备注,"例:""填写文字说明""","检测项目的选择(LC-8-1-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
103,LC-8-1-6,结果阳性的选择,字符串,参考备注,"例:""a""","肺癌非手术治疗前是否接受基因检测(LC-8-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-8-1-6选择代码表,,
104,LC-8-1-6-1,其他结果阳性,字符串,参考备注,"例:""填写文字说明""","结果阳性的选择(LC-8-1-6)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
105,LC-9-1-1,肺癌患者手术后行放疗,字符串,是,"例:""UTD""",默认初始化值:UTD见,LC-9-1-1选择代码表,,,,
106,LC-9-1-2,放疗指征的选择,字符串,参考备注,"例:""y""","肺癌患者手术后行放疗(LC-9-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-9-1-2选择代码表,,
107,LC-9-1-3,非小细胞肺癌放疗指征的选择,字符串,参考备注,"例:""a""","放疗指征的选择(LC-9-1-2)等于""非小细胞肺癌""(n)时必填;","放疗指征的选择(LC-9-1-2)等于""小细胞肺癌""(y)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,LC-9-1-3选择代码表,
108,LC-9-1-3-1,其他非小细胞肺癌放疗指征,字符串,参考备注,"例:""填写文字说明""","放疗指征的选择(LC-9-1-2)等于""小细胞肺癌""(y)时无需填写;","非小细胞肺癌放疗指征的选择(LC-9-1-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
109,LC-9-1-4,小细胞肺癌放疗指征的选择,字符串,参考备注,"例:""a""","放疗指征的选择(LC-9-1-2)等于""非小细胞肺癌""(n)时无需填写;","放疗指征的选择(LC-9-1-2)等于""小细胞肺癌""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-9-1-4选择代码表,
110,LC-9-1-4-1,其他小细胞肺癌放疗指征,字符串,参考备注,"例:""填写文字说明""","放疗指征的选择(LC-9-1-2)等于""非小细胞肺癌""(n)时无需填写;","小细胞肺癌放疗指征的选择(LC-9-1-4)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
111,LC-9-2-1,采用放疗技术的选择,字符串,参考备注,"例:""a""","肺癌患者手术后行放疗(LC-9-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-9-2-1选择代码表,,
112,LC-9-2-1-1,采用其他放疗技术,字符串,参考备注,"例:""填写文字说明""","采用放疗技术的选择(LC-9-2-1)等于""其他放疗""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
113,LC-9-2-2,放射治疗记录内容选择,数组,参考备注,"例:[""a"",""b""]","肺癌患者手术后行放疗(LC-9-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-9-2-2选择代码表,,
114,LC-9-2-2-1,其他放射治疗记录内容,字符串,参考备注,"例:""填写文字说明""","放射治疗记录内容选择(LC-9-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
115,LC-10-1-1,是否使用基因检测阳性结果指导用药的靶向治疗,字符串,是,"例:""UTD""",默认初始化值:UTD见,LC-10-1-1选择代码表,,,,
116,LC-10-1-2,接受基因检测并阳性的种类,字符串,参考备注,"例:""a""","是否使用基因检测阳性结果指导用药的靶向治疗(LC-10-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-10-1-2选择代码表,,
117,LC-10-1-2-1,其他接受基因检测并阳性的种类,字符串,参考备注,"例:""填写文字说明""","接受基因检测并阳性的种类(LC-10-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
118,LC-10-1-3,药物选择,字符串,参考备注,"例:""a""","是否使用基因检测阳性结果指导用药的靶向治疗(LC-10-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-10-1-3选择代码表,,
119,LC-10-1-3-1,其他药物选择,字符串,参考备注,"例:""填写文字说明""","药物选择(LC-10-1-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
120,LC-11-1-1,是否实施抗肿瘤药物治疗,字符串,是,"例:""UTD""",默认初始化值:UTD见,LC-11-1-1选择代码表,,,,
121,LC-11-1-2,抗肿瘤药物治疗选择的依据,字符串,参考备注,"例:""a""","是否实施抗肿瘤药物治疗(LC-11-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,LC-11-1-2选择代码表,,
122,LC-11-1-2-1,其他抗肿瘤药物治疗,字符串,参考备注,"例:""填写文字说明""","抗肿瘤药物治疗选择的依据(LC-11-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
123,LC-11-2-1,目标病灶的评价,字符串,参考备注,"例:""a""","是否实施抗肿瘤药物治疗(LC-11-1-1)等于""是""(y)时必填;","抗肿瘤药物治疗选择的依据(LC-11-1-2)等于""null""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,LC-11-2-1选择代码表,
124,LC-11-2-2,非目标病灶的评价,字符串,参考备注,"例:""a""","是否实施抗肿瘤药物治疗(LC-11-1-1)等于""是""(y)时必填;","抗肿瘤药物治疗选择的依据(LC-11-1-2)等于""null""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,LC-11-2-2选择代码表,
125,LC-11-2-3,新病灶,字符串,参考备注,"例:""a""","是否实施抗肿瘤药物治疗(LC-11-1-1)等于""是""(y)时必填;","抗肿瘤药物治疗选择的依据(LC-11-1-2)等于""null""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,LC-11-2-3选择代码表,
126,LC-11-2-4,总疗效,字符串,参考备注,"例:""a""","是否实施抗肿瘤药物治疗(LC-11-1-1)等于""是""(y)时必填;","抗肿瘤药物治疗选择的依据(LC-11-1-2)等于""null""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,LC-11-2-4选择代码表,
