序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,
27,RD-1-1-1,患者年龄,字符串,是,"例:""a""",见,RD-1-1-1选择代码表,,,
28,RD-1-1-2,临床表现,数组,是,"例:[""a"",""b""]",见,RD-1-1-2选择代码表,,,
29,RD-1-1-3,体征,数组,是,"例:[""a"",""b""]",见,RD-1-1-3选择代码表,,,
30,RD-1-1-4,是否术前宽视野眼底照相,字符串,是,"例:""y""",见,RD-1-1-4选择代码表,,,
31,RD-1-1-5,PVR分级,字符串,参考备注,"例:""a""","是否术前宽视野眼底照相(RD-1-1-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,RD-1-1-5选择代码表,
32,RD-1-1-6,有无视网膜裂孔,字符串,参考备注,"例:""y""","是否术前宽视野眼底照相(RD-1-1-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,RD-1-1-6选择代码表,
33,RD-1-1-8,有无出血,字符串,参考备注,"例:""y""","是否术前宽视野眼底照相(RD-1-1-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,RD-1-1-8选择代码表,
34,RD-1-1-7,出血,字符串,参考备注,"例:""a""","有无出血(RD-1-1-8)等于""有""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,RD-1-1-7选择代码表,
35,RD-1-1-8-1,左侧视力,数值,参考备注,例:10,"是否术前宽视野眼底照相(RD-1-1-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,左侧视力填写值应大于等于0,,
36,RD-1-1-8-2,右侧视力,数值,参考备注,例:10,"是否术前宽视野眼底照相(RD-1-1-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,右侧视力填写值应大于等于0,,
37,RD-1-1-9,左侧眼压(mmHg),数值,参考备注,例:10,"是否术前宽视野眼底照相(RD-1-1-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,眼压填写值应大于等于0,,
38,RD-1-1-10,右侧眼压(mmHg),数值,参考备注,例:10,"是否术前宽视野眼底照相(RD-1-1-4)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,眼压填写值应大于等于0,,
39,RD-1-2-1,治疗前是否进行眼部超声检查,字符串,是,"例:""y""",见,RD-1-2-1选择代码表,,,
40,RD-1-2-2,超声报告中应描述的内容,数组,参考备注,"例:[""a"",""b""]","治疗前是否进行眼部超声检查(RD-1-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,RD-1-2-2选择代码表,
41,RD-1-2-3,超声报告中是否有下列所见,数组,参考备注,"例:[""a"",""b""]","治疗前是否进行眼部超声检查(RD-1-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,RD-1-2-3选择代码表,
42,RD-1-2-4,超声检查印象,数组,参考备注,"例:[""a"",""b""]","治疗前是否进行眼部超声检查(RD-1-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,RD-1-2-4选择代码表,
43,RD-2-1-1,视网膜脱离再次手术,字符串,是,"例:""UTD""",默认初始化值:UTD见,RD-2-1-1选择代码表,,,
44,RD-2-1-2,视网膜脱离再次手术主要原因,字符串,参考备注,"例:""a""","视网膜脱离再次手术(RD-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,RD-2-1-2选择代码表,
45,RD-2-2-1,视网膜脱离手术适应证的选择,字符串,是,"例:""a""",见,RD-2-2-1选择代码表,,,
46,RD-2-2-1-1,其他视网膜脱离手术适应证,字符串,参考备注,"例:""填写文字说明""","视网膜脱离手术适应证的选择(RD-2-2-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过100个字说明,,
47,RD-2-2-2,手术治疗方式选择,字符串,是,"例:""a""",见,RD-2-2-2选择代码表,,,
48,RD-2-2-2-1,其他手术治疗方式,字符串,参考备注,"例:""填写文字说明""","手术治疗方式选择(RD-2-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
49,RD-2-2-3,术中眼内填充物的选择,字符串,是,"例:""a""",见,RD-2-2-3选择代码表,,,
50,RD-2-2-3-1,其他术中眼内填充物,字符串,参考备注,"例:""填写文字说明""","术中眼内填充物的选择(RD-2-2-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
51,CM-1-1-1,是否使用预防性抗菌药物,字符串,是,"例:""y""",见,CM-1-1-1选择代码表,,,
52,RD-3-1-2,预防性抗菌药物给药途径选择,数组,参考备注,"例:[""a"",""b""]","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,RD-3-1-2选择代码表,
53,CM-1-2-1-2,预防性抗菌药物选择,数组,参考备注,"例:[""a"",""b""]","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-1-2选择代码表,
54,CM-1-2-2-2,选择碳青霉烯类及替加环素等特殊使用级抗菌药物,数组,参考备注,"例:[""a"",""b""]","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等特殊使用级抗菌药物""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-2-2选择代码表,
55,CM-1-2-2-1,其他特殊使用级抗菌药物名称,字符串,参考备注,"例:""填写文字说明""","选择碳青霉烯类及替加环素等特殊使用级抗菌药物 (CM-1-2-2-2)等于""其他特殊使用级抗菌药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,
56,CM-1-3-1-2,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素,数组,参考备注,"例:[""a"",""b""]","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等特殊使用级抗菌药物""(g)时必填;","预防性抗菌药物选择(CM-1-2-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-3-1-2选择代码表
57,CM-1-3-1-1,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素填写,字符串,参考备注,"例:""填写文字说明""","选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素(CM-1-3-1-2)等于""其他因素""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,
58,CM-1-4-1,使用首剂抗菌药物起始时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,术前使用首剂抗菌药物起始时间应大于入院日期时间,,
59,CM-1-5-1,手术时间是否≥3小时,字符串,参考备注,"例:""y""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-1选择代码表,
60,CM-1-5-2,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","手术时间是否≥3小时(CM-1-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-2选择代码表,
61,CM-1-5-3,术中出血量是否≥1500ml,字符串,参考备注,"例:""y""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-3选择代码表,
62,CM-1-5-4,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","术中出血量是否≥1500ml(CM-1-5-3)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-4选择代码表,
63,CM-1-6-1,术后抗菌药物停止使用时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,术后抗菌药物停止使用时间应大于等于术前使用首剂抗菌药物起始时间;,术后抗菌药物停止使用时间应小于出院日期时间,
64,CM-1-6-2,使用抗菌药物时间使用时间分层,字符串,否,"例:""a""","该字段无需用户填写,由系统自动生成;",见,CM-1-6-2选择代码表,,
65,CM-1-6-3-2,术后72小时之后继续使用的原因,数组,参考备注,"例:[""a"",""b""]","使用抗菌药物时间使用时间分层(CM-1-6-2)等于""术后72小时之后继续使用""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-6-3-2选择代码表,
66,RD-4-1-1,是否手术中并发症,字符串,是,"例:""y""",见,RD-4-1-1选择代码表,,,
67,RD-4-1-2,视网膜脱离术中特指并发症的选择,数组,参考备注,"例:[""a"",""b""]","是否手术中并发症(RD-4-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,RD-4-1-2选择代码表,
68,RD-4-1-2-1,其他视网膜脱离术中特指并发症,字符串,参考备注,"例:""填写文字说明""","视网膜脱离术中特指并发症的选择(RD-4-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
69,RD-4-2-1,术中并发症的处理,字符串,参考备注,"例:""a""","是否手术中并发症(RD-4-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,RD-4-2-1选择代码表,
70,RD-4-2-2,影响程度的选择,字符串,参考备注,"例:""a""","是否手术中并发症(RD-4-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,RD-4-2-2选择代码表,
71,RD-5-1-1,是否术后视网膜复位检测,字符串,是,"例:""UTD""",默认初始化值:UTD见,RD-5-1-1选择代码表,,,
72,RD-5-1-2,眼底照片检查结果解读,字符串,参考备注,"例:""a""","是否术后视网膜复位检测(RD-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,RD-5-1-2选择代码表,
73,RD-5-2-1,是否术后黄斑结构评估,字符串,是,"例:""UTD""",默认初始化值:UTD见,RD-5-2-1选择代码表,,,
74,RD-5-2-2,OCT结果,字符串,参考备注,"例:""a""","是否术后黄斑结构评估(RD-5-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,RD-5-2-2选择代码表,
75,CM-2-1,是否有手术后并发症,字符串,是,"例:""y""",见,CM-2-1选择代码表,,,
76,CM-2-2,手术后并发症类别及ICD-10四位亚目的选择,数组,参考备注,"例:[""a"",""b""]","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-2选择代码表,
77,CM-2-3-1,介入操作与手术其他并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术并发症(O04.5，T81.1，T81.2，T81.3，T81.7，T81.8)""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-1选择代码表,
78,CM-2-3-2,手术患者手术后肺栓塞,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后肺栓塞(I26.9，O04.2，O07.2，O88.2)""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-2选择代码表,
79,CM-2-3-3,手术患者手术后深静脉血栓,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后深静脉血栓(I80.2，I82.8，O22.3，O87.1)""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-3选择代码表,
80,CM-2-3-4,手术患者手术后败血症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后败血症(T81.4)""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-4选择代码表,
81,CM-2-3-5,手术患者手术后出血或血肿,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后出血或血肿(O04.1，O04.6，O04.8，O07.1，O07.6，T81.0)""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-5选择代码表,
82,CM-2-3-6,手术患者手术伤口裂开,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术伤口裂开(T81.3)""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-6选择代码表,
83,CM-2-3-7,手术患者猝死,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者猝死（手术后24小时内死亡）(R96.0，R96.1)""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-7选择代码表,
84,CM-2-3-8,手术患者手术后呼吸道并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后呼吸道并发症(J95.0至J95.9，J96.0，J96.9)""(h)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-8选择代码表,
85,CM-2-3-9,手术患者手术后生理/代谢紊乱,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后生理/代谢紊乱(E86.x0，E87.0至E87.8，E88.8，E88.9，E89.0至E89.9)""(i)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-9选择代码表,
86,CM-2-3-10,与手术/操作相关感染,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""与手术/操作相关感染(O04.0，O07.0，T81.4)""(j)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-10选择代码表,
87,CM-2-3-11,手术过程中异物遗留,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术过程中异物遗留(T81.5)""(k)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-11选择代码表,
88,CM-2-3-12,麻醉并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""麻醉并发症(T88.2，T88.3，T88.4，T88.5)""(l)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-12选择代码表,
89,CM-2-3-13,输注、输血反应,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""输注、输血反应(T80.0至T80.9)""(m)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-13选择代码表,
90,RD-6-1-3,视网膜脱离术后特指并发症的选择,数组,参考备注,"例:[""a"",""b""]","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,RD-6-1-3选择代码表,
91,CM-2-3-1-1,其他视网膜脱离术后特指并发症,字符串,参考备注,"例:""填写文字说明""","视网膜脱离术后特指并发症的选择(RD-6-1-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
92,CM-2-4,影响程度的选择,字符串,参考备注,"例:""a""","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-4选择代码表,
93,RD-7-1-1,是否进行术前健康教育，且有记录可追踪,字符串,是,"例:""y""",见,RD-7-1-1选择代码表,,,
94,CM-7-1-1,RD术前健康教育项目的选择,数组,参考备注,"例:[""a"",""b""]","是否进行术前健康教育，且有记录可追踪(RD-7-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-7-1-1选择代码表,
95,RD-7-1-3,是否进行术后健康教育，且有记录可追踪,字符串,是,"例:""y""",见,RD-7-1-3选择代码表,,,
96,CM-7-1-2,RD术后康复教育项目的选择,数组,参考备注,"例:[""a"",""b""]","是否进行术后健康教育，且有记录可追踪(RD-7-1-3)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-7-1-2选择代码表,
97,CM-7-2-1,交与患者“出院小结”的副本告知患者出院时风险因素,数组,是,"例:[""a"",""b""]",见,CM-7-2-1选择代码表,,,
98,CM-7-2-2,出院带药,数组,是,"例:[""a"",""b""]",见,CM-7-2-2选择代码表,,,
99,CM-7-2-4,告知发生紧急意外情况或者疾病复发如何救治及前途经,数组,是,"例:[""a"",""b""]",见,CM-7-2-4选择代码表,,,
100,CM-7-2-5,出院时教育与随访,数组,是,"例:[""a"",""b""]",见,CM-7-2-5选择代码表,,,
101,CM-7-2-3,告知何为发生紧急意外情况或者疾病复发,数组,是,"例:[""a"",""b""]",见,CM-7-2-3选择代码表,,,
102,CM-4-3,离院方式选择,字符串,是,"例:""a""",见,CM-4-3选择代码表,,,
103,CM-4-5,非医嘱离院可能涉及因素,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""非医嘱离院""(d)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-5选择代码表,
104,CM-4-4-1,其他非医嘱离院因素填写,字符串,参考备注,"例:""填写文字说明""","非医嘱离院可能涉及因素(CM-4-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
105,CM-4-6,死亡可能涉及因素,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-6选择代码表,
106,CM-5-1,患者是否对服务的体验与评价,字符串,是,"例:""y""",见,CM-5-1选择代码表,,,
107,CM-5-2-1,整体医院评级,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-1选择代码表,
108,CM-5-2-2,患者推荐,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-2选择代码表,
109,CM-5-2-3,病房、床单元和卫生间清洁度,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-3选择代码表,
110,CM-5-2-5,病房与周边噪音,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-5选择代码表,
111,CM-5-2-6,医生沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-6选择代码表,
112,CM-5-2-7,护士沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-7选择代码表,
113,CM-5-2-8,药师沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-8选择代码表,
114,CM-5-2-9,康复计划,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-9选择代码表,
115,CM-5-2-10,出院时的知情告知,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-10选择代码表,
116,CM-5-2-11,膳食评价,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-11选择代码表,
117,CM-6-1,住院总费用,数值,是,例:10,住院总费用要大于0;,住院总费用要小于1000000;,住院总费用应大于等于各项费用之和,,
118,CM-6-2,住院总费用其中自付金额,数值,是,例:10,自付金额要,自付金额应≤住院总费用,,,
119,CM-6-3,一般医疗服务费,数值,是,例:10,一般医疗服务费要,,,,
120,CM-6-4,一般治疗操作费,数值,是,例:10,一般治疗操作费要,,,,
121,CM-6-5,护理费,数值,是,例:10,护理费要,,,,
122,CM-6-6,综合医疗服务类其他费用,数值,是,例:10,综合医疗服务类其他费用要≥0,,,,
123,CM-6-7,病理诊断费,数值,是,例:10,病理诊断费要≥0,,,,
124,CM-6-8,实验室诊断费,数值,是,例:10,实验室诊断费要≥0,,,,
125,CM-6-9,影像学诊断费,数值,是,例:10,影像学诊断费要≥0,,,,
126,CM-6-10,临床诊断项目费,数值,是,例:10,临床诊断项目费要≥0,,,,
127,CM-6-11,非手术治疗项目费,数值,是,例:10,非手术治疗项目费要≥0,,,,
128,CM-6-12,其中：临床物理治疗费,数值,是,例:10,临床物理治疗费要≥0,,,,
129,CM-6-13,手术治疗费,数值,是,例:10,手术治疗费要≥0,,,,
130,CM-6-14,其中：麻醉费,数值,是,例:10,麻醉费要≥0,,,,
131,CM-6-15,其中：手术费,数值,是,例:10,手术费要≥0,,,,
132,CM-6-16,康复费,数值,是,例:10,康复费要≥0,,,,
133,CM-6-17,中医治疗费,数值,是,例:10,中医治疗费要≥0,,,,
134,CM-6-18,西药费,数值,是,例:10,西药费要≥0,,,,
135,CM-6-19,其中：抗菌药物费,数值,是,例:10,抗菌药物费要≥0,,,,
136,CM-6-20,中成药费,数值,是,例:10,中成药费要≥0,,,,
137,CM-6-21,中草药费,数值,是,例:10,中草药费要≥0,,,,
138,CM-6-22,血费,数值,是,例:10,血费要≥0,,,,
139,CM-6-23,白蛋白类制品费,数值,是,例:10,白蛋白类制品费要≥0,,,,
140,CM-6-24,球蛋白类制品费,数值,是,例:10,球蛋白类制品费要≥0,,,,
141,CM-6-25,凝血因子类制品费,数值,是,例:10,凝血因子类制品费要≥0,,,,
142,CM-6-26,细胞因子类制品费,数值,是,例:10,细胞因子类制品费要≥0,,,,
143,CM-6-27,检查用一次性医用材料费,数值,是,例:10,检查用一次性医用材料费要≥0,,,,
144,CM-6-28,治疗用一次性医用材料费,数值,是,例:10,治疗用一次性医用材料费要≥0,,,,
145,CM-6-29,手术用一次性医用材料费,数值,是,例:10,手术用一次性医用材料费要≥0,,,,
,CM-6-30,其他费,数值,是,例:10,其他费要≥0,,,,
