序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,
24,CM-0-2-6-2,手术结束（缝皮结束）日期时间,字符串,是,"例:""1970-01-01 12:00""",手术结束日期时间应大于手术开始日期时间;,手术结束日期时间应小于出院日期时间,,,,
25,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,,
26,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,,
27,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,,
28,TC-1-1-1,甲状腺癌治疗前是否在进行 TNM 临床分期,字符串,是,"例:""y""",见,TC-1-1-1选择代码表,,,,
29,TC-1-1-2,主要有那些临床表现及体征,数组,参考备注,"例:[""a"",""b""]","甲状腺癌治疗前是否在进行 TNM 临床分期(TC-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-1-1-2选择代码表,,
30,TC-1-1-2-1,其他主要有那些临床表现及体征,字符串,参考备注,"例:""填写文字说明""","主要有那些临床表现及体征(TC-1-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,,,
31,TC-1-1-3,主要辅助检查,数组,参考备注,"例:[""a"",""b""]","甲状腺癌治疗前是否在进行 TNM 临床分期(TC-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-1-1-3选择代码表,,
32,TC-1-1-4,次要辅助检查,数组,参考备注,"例:[""a"",""b""]","甲状腺癌治疗前是否在进行 TNM 临床分期(TC-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-1-1-4选择代码表,,
33,TC-1-1-4-1,其他次要辅助检查,字符串,参考备注,"例:""填写文字说明""","次要辅助检查(TC-1-1-4)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,,,
34,TC-1-2-1,患者年龄,字符串,参考备注,"例:""a""","甲状腺癌治疗前是否在进行 TNM 临床分期(TC-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-1-2-1选择代码表,,
35,TC-1-2-2,T 原肿瘤,字符串,参考备注,"例:""a""","甲状腺癌治疗前是否在进行 TNM 临床分期(TC-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-1-2-2选择代码表,,
36,TC-1-2-3,N 淋巴结转移,字符串,参考备注,"例:""a""","甲状腺癌治疗前是否在进行 TNM 临床分期(TC-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-1-2-3选择代码表,,
37,TC-1-2-4,M 远处转移,字符串,参考备注,"例:""a""","甲状腺癌治疗前是否在进行 TNM 临床分期(TC-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-1-2-4选择代码表,,
38,TC-1-2-5,术前细胞学检查,字符串,参考备注,"例:""a""","甲状腺癌治疗前是否在进行 TNM 临床分期(TC-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-1-2-5选择代码表,,
39,TC-1-3-1,cTNM 临床分期结果选择,字符串,否,"例:""a""","该字段无需用户填写,由系统自动生成;",见,TC-1-3-1选择代码表,,,
40,TC-1-3-2,乳头状癌及滤泡癌 患者年龄&lt;55岁,字符串,参考备注,"例:""a""",患者年龄（TC-1-2-1）等于a且临床分期相关要素: 术前细胞学检查（TC-1-2-5）等于a或UTD时必填;若该字段无相应取值，则接口中不必提交该字段若该字段无相应取值，则接口中不必提交该字段,见,TC-1-3-2选择代码表,,,
41,TC-1-3-3,乳头状癌及滤泡癌患者年龄≥55岁,字符串,参考备注,"例:""a1""",患者年龄（TC-1-2-1）等于b且临床分期相关要素: 术前细胞学检查（TC-1-2-5）等于a或者UTD时必填;若该字段无相应取值，则接口中不必提交该字段若该字段无相应取值，则接口中不必提交该字段,见,TC-1-3-3选择代码表,,,
42,TC-1-3-4,未分化癌 （所用未分化均为Ⅳ期）,字符串,参考备注,"例:""a""",临床分期相关要素: 术前细胞学检查（TC-1-2-5）等于b时必填;若该字段无相应取值，则接口中不必提交该字段若该字段无相应取值，则接口中不必提交该字段,见,TC-1-3-4选择代码表,,,
43,TC-1-3-5,髓样癌,字符串,参考备注,"例:""a""",临床分期相关要素: 术前细胞学检查（TC-1-2-5）等于c时必填;若该字段无相应取值，则接口中不必提交该字段若该字段无相应取值，则接口中不必提交该字段,见,TC-1-3-5选择代码表,,,
44,TC-1-4-1,治疗前是否接受过（MDT）多学科协作诊疗(2个或以上治疗科室会诊),字符串,参考备注,"例:""y""","甲状腺癌治疗前是否在进行 TNM 临床分期(TC-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-1-4-1选择代码表,,
45,TC-2-1-1,术前评估有无淋巴结转移,字符串,是,"例:""y""",见,TC-2-1-1选择代码表,,,,
46,TC-2-1-2,淋巴结转移征象,数组,参考备注,"例:[""a"",""b""]","术前评估有无淋巴结转移(TC-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-2-1-2选择代码表,,
47,TC-2-1-2-1,其他淋巴结转移征象,字符串,参考备注,"例:""填写文字说明""","淋巴结转移征象(TC-2-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,,,
48,TC-2-2-1,是否甲状腺癌手术治疗,字符串,是,"例:""y""",见,TC-2-2-1选择代码表,,,,
49,TC-2-3-1,甲状腺癌再次手术,字符串,参考备注,"例:""UTD""","是否甲状腺癌手术治疗(TC-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,TC-2-3-1选择代码表,,
50,TC-2-3-2,甲状腺癌再次手术主要原因,字符串,参考备注,"例:""a""","甲状腺癌再次手术(TC-2-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-2-3-2选择代码表,,
51,TC-2-3-2-1,其它甲状腺癌再次手术主要原因,字符串,参考备注,"例:""填写文字说明""","甲状腺癌再次手术主要原因(TC-2-3-2)等于""其他原因""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,,,
52,TC-2-4-1,甲状腺癌手术治疗方式,字符串,参考备注,"例:""a""","是否甲状腺癌手术治疗(TC-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-2-4-1选择代码表,,
53,TC-2-4-1-1,其他甲状腺癌手术治疗方式,字符串,参考备注,"例:""填写文字说明""","甲状腺癌手术治疗方式(TC-2-4-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,,,
54,TC-2-4-3,甲状腺全切除手术适应证的选择,数组,参考备注,"例:[""a"",""b""]","甲状腺癌手术治疗方式(TC-2-4-1)等于""甲状腺全切除手术""(b)时必填;","甲状腺癌手术治疗方式(TC-2-4-1)等于""其他""(oth)时无需填写;","甲状腺癌手术治疗方式(TC-2-4-1)等于""null""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,TC-2-4-3选择代码表
55,TC-2-4-3-1,其他甲状腺全切除手术适应证,字符串,参考备注,"例:""填写文字说明""","甲状腺癌手术治疗方式(TC-2-4-1)等于""其他""(oth)时无需填写;","甲状腺癌手术治疗方式(TC-2-4-1)等于""null""(UTD)时无需填写;","甲状腺全切除手术适应证的选择(TC-2-4-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,
56,TC-2-4-2,甲状腺腺叶切除适应证的选择,数组,参考备注,"例:[""a"",""b""]","甲状腺癌手术治疗方式(TC-2-4-1)等于""甲状腺腺叶切除""(a)时必填;","甲状腺癌手术治疗方式(TC-2-4-1)等于""其他""(oth)时无需填写;","甲状腺癌手术治疗方式(TC-2-4-1)等于""null""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,TC-2-4-2选择代码表
57,TC-2-4-2-1,其他甲状腺腺叶切除适应证,字符串,参考备注,"例:""填写文字说明""","甲状腺癌手术治疗方式(TC-2-4-1)等于""其他""(oth)时无需填写;","甲状腺癌手术治疗方式(TC-2-4-1)等于""null""(UTD)时无需填写;","甲状腺腺叶切除适应证的选择(TC-2-4-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,
58,TC-2-4-4,甲状腺全切除+淋巴结清扫手术适应证的选择,数组,参考备注,"例:[""a"",""b""]","甲状腺癌手术治疗方式(TC-2-4-1)等于""甲状腺全切除+淋巴结清扫手术""(c)时必填;","甲状腺癌手术治疗方式(TC-2-4-1)等于""其他""(oth)时无需填写;","甲状腺癌手术治疗方式(TC-2-4-1)等于""null""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,TC-2-4-4选择代码表
59,TC-2-4-4-1,其他甲状腺全切除+淋巴结清扫手术适应证,字符串,参考备注,"例:""填写文字说明""","甲状腺癌手术治疗方式(TC-2-4-1)等于""其他""(oth)时无需填写;","甲状腺癌手术治疗方式(TC-2-4-1)等于""null""(UTD)时无需填写;","甲状腺全切除+淋巴结清扫手术适应证的选择(TC-2-4-4)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,
60,TC-2-5-1,是否进行术中快速病理,字符串,参考备注,"例:""y""","甲状腺癌手术治疗方式(TC-2-4-1)等于""甲状腺全切除+淋巴结清扫手术""(c)时必填;","甲状腺癌手术治疗方式(TC-2-4-1)等于""其他""(oth)时无需填写;","甲状腺癌手术治疗方式(TC-2-4-1)等于""null""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,TC-2-5-1选择代码表
61,TC-2-5-2,术中冰冻病理学检查证实有颈侧区淋巴结转移,字符串,参考备注,"例:""y""","甲状腺癌手术治疗方式(TC-2-4-1)等于""其他""(oth)时无需填写;","甲状腺癌手术治疗方式(TC-2-4-1)等于""null""(UTD)时无需填写;","是否进行术中快速病理(TC-2-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-2-5-2选择代码表
62,TC-2-5-3,清扫淋巴结手术部位,字符串,参考备注,"例:""a""","甲状腺癌手术治疗方式(TC-2-4-1)等于""甲状腺全切除+淋巴结清扫手术""(c)时必填;","甲状腺癌手术治疗方式(TC-2-4-1)等于""其他""(oth)时无需填写;","甲状腺癌手术治疗方式(TC-2-4-1)等于""null""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,TC-2-5-3选择代码表
63,TC-2-5-4,淋巴结清扫范围,数组,参考备注,"例:[""a"",""b""]","甲状腺癌手术治疗方式(TC-2-4-1)等于""甲状腺全切除+淋巴结清扫手术""(c)时必填;","甲状腺癌手术治疗方式(TC-2-4-1)等于""其他""(oth)时无需填写;","甲状腺癌手术治疗方式(TC-2-4-1)等于""null""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,TC-2-5-4选择代码表
64,TC-2-5-4-1,其他淋巴结清扫范围,字符串,参考备注,"例:""填写文字说明""","甲状腺癌手术治疗方式(TC-2-4-1)等于""其他""(oth)时无需填写;","甲状腺癌手术治疗方式(TC-2-4-1)等于""null""(UTD)时无需填写;","淋巴结清扫范围(TC-2-5-4)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,
65,CM-2-1,是否有手术后并发症,字符串,是,"例:""y""",见,CM-2-1选择代码表,,,,
66,CM-2-2,手术后并发症类别及ICD-10四位亚目的选择,数组,参考备注,"例:[""a"",""b""]","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-2选择代码表,,
67,CM-2-3-1-1,其他手术后并发症类别及ICD-10四位亚目和名称填写,字符串,参考备注,"例:""填写文字说明""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
68,CM-2-3-1,介入操作与手术其他并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术并发症""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-1选择代码表,,
69,CM-2-3-2,手术患者手术后肺栓塞,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后肺栓塞""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-2选择代码表,,
70,CM-2-3-3,手术患者手术后深静脉血栓,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后深静脉血栓""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-3选择代码表,,
71,CM-2-3-4,手术患者手术后败血症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后败血症""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-4选择代码表,,
72,CM-2-3-5,手术患者手术后出血或血肿,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后出血或血肿""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-5选择代码表,,
73,CM-2-3-6,手术患者手术伤口裂开,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术伤口裂开""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-6选择代码表,,
74,CM-2-3-7,手术患者猝死,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者猝死""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-7选择代码表,,
75,CM-2-3-8,手术患者手术后呼吸道并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后呼吸道并发症""(h)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-8选择代码表,,
76,CM-2-3-9,手术患者手术后生理/代谢紊乱,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后生理/代谢紊乱""(i)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-9选择代码表,,
77,CM-2-3-10,与手术/操作相关感染,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""与手术/操作相关感染""(j)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-10选择代码表,,
78,CM-2-3-11,手术过程中异物遗留,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术过程中异物遗留""(k)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-11选择代码表,,
79,CM-2-3-12,麻醉并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""麻醉并发症""(l)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-12选择代码表,,
80,CM-2-3-13,输注、输血反应,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""输注、输血反应""(m)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-13选择代码表,,
81,TC-3-2-2,甲状腺手术后特指并发症的选择,数组,参考备注,"例:[""a"",""b""]","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-3-2-2选择代码表,,
82,TC-3-2-2-1,其他甲状腺手术后特指并发症,字符串,参考备注,"例:""填写文字说明""","甲状腺手术后特指并发症的选择(TC-3-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,,
83,CM-2-4,影响程度的选择,字符串,参考备注,"例:""a""","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-4选择代码表,,
84,TC-3-2-1,是否为0-31天内非计划二次手术,字符串,是,"例:""y""",见,TC-3-2-1选择代码表,,,,
85,TC-3-2-3,非计划二次手术可能的原因,数组,参考备注,"例:[""a"",""b""]","是否为0-31天内非计划二次手术(TC-3-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-3-2-3选择代码表,,
86,TC-3-2-3-1,非计划二次手术其他原因,字符串,参考备注,"例:""填写文字说明""","非计划二次手术可能的原因(TC-3-2-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
87,TC-3-2-4,手术开始（切皮）日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否为0-31天内非计划二次手术(TC-3-2-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,,,,
88,TC-3-2-5,手术结束（缝皮结束）日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否为0-31天内非计划二次手术(TC-3-2-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,,,,
89,CM-1-1-1,是否使用预防性抗菌药物,字符串,是,"例:""y""",见,CM-1-1-1选择代码表,,,,
90,CM-1-2-1-2,预防性抗菌药物选择,数组,参考备注,"例:[""a"",""b""]","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-1-2选择代码表,,
91,CM-1-2-2-2,选择碳青霉烯类及替加环素等特殊使用级抗菌药物,数组,参考备注,"例:[""a"",""b""]","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等特殊使用级抗菌药物""(g)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-2-2选择代码表,,
92,CM-1-2-2-1,其他特殊使用级抗菌药物名称,字符串,参考备注,"例:""填写文字说明""","选择碳青霉烯类及替加环素等特殊使用级抗菌药物 (CM-1-2-2-2)等于""其他特殊使用级抗菌药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,,
93,CM-1-3-1-2,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素,数组,参考备注,"例:[""a"",""b""]","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等特殊使用级抗菌药物""(g)时必填;","预防性抗菌药物选择(CM-1-2-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-3-1-2选择代码表,
94,CM-1-3-1-1,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素填写,字符串,参考备注,"例:""填写文字说明""","选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素(CM-1-3-1-2)等于""其他因素""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,,
95,CM-1-4-1,使用首剂抗菌药物起始时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,术前使用首剂抗菌药物起始时间应大于入院日期时间,,,
96,CM-1-5-1,手术时间是否≥3小时,字符串,参考备注,"例:""y""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-1选择代码表,,
97,CM-1-5-2,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","手术时间是否≥3小时(CM-1-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-2选择代码表,,
98,CM-1-5-3,术中出血量是否≥1500ml,字符串,参考备注,"例:""y""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-3选择代码表,,
99,CM-1-5-4,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","术中出血量是否≥1500ml(CM-1-5-3)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-4选择代码表,,
100,CM-1-6-1,术后抗菌药物停止使用时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,术后抗菌药物停止使用时间应大于等于术前使用首剂抗菌药物起始时间;,术后抗菌药物停止使用时间应小于出院日期时间,,
101,CM-1-6-2,使用抗菌药物时间使用时间分层,字符串,否,"例:""a""","该字段无需用户填写,由系统自动生成;",见,CM-1-6-2选择代码表,,,
102,CM-1-6-3-2,术后72小时之后继续使用的原因,数组,参考备注,"例:[""a"",""b""]","使用抗菌药物时间使用时间分层(CM-1-6-2)等于""术后72小时之后继续使用""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-6-3-2选择代码表,,
103,TC-5-1-1,术后病理诊断,字符串,是,"例:""y""",见,TC-5-1-1选择代码表,,,,
104,TC-5-1-2-0,病理诊断结论,字符串,参考备注,"例:""a""","术后病理诊断(TC-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-5-1-2-0选择代码表,,
105,TC-5-1-2,乳头状甲状腺癌,字符串,参考备注,"例:""a""","病理诊断结论(TC-5-1-2-0)等于""低风险组(复发率≤5%）""(a)时必填;","滤泡性甲状腺癌(TC-5-1-3)等于""请选择""(def)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-5-1-2选择代码表,
106,TC-5-1-3,滤泡性甲状腺癌,字符串,参考备注,"例:""a""","病理诊断结论(TC-5-1-2-0)等于""低风险组(复发率≤5%）""(a)时必填;","乳头状甲状腺癌(TC-5-1-2)等于""请选择""(def)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-5-1-3选择代码表,
107,TC-5-1-4,乳头状甲状腺癌,字符串,参考备注,"例:""a""","病理诊断结论(TC-5-1-2-0)等于""中风险组(复发率5-20%）""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-5-1-4选择代码表,,
108,TC-5-1-5,乳头状甲状腺癌,字符串,参考备注,"例:""a""","病理诊断结论(TC-5-1-2-0)等于""高风险组(复发率&gt;20%）""(c)时必填;","滤泡性甲状腺癌(TC-5-1-6)等于""请选择""(def)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-5-1-5选择代码表,
109,TC-5-1-6,滤泡性甲状腺癌,字符串,参考备注,"例:""a""","病理诊断结论(TC-5-1-2-0)等于""高风险组(复发率&gt;20%）""(c)时必填;","乳头状甲状腺癌(TC-5-1-5)等于""请选择""(def)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-5-1-6选择代码表,
110,TC-5-1-7,是否进行促甲状腺素(TSH)检测,字符串,参考备注,"例:""y""","术后病理诊断(TC-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,TC-5-1-7选择代码表,,
111,TC-5-1-8,促甲状腺素(TSH)检测结果(mIU/ L ),数值,参考备注,例:10,"是否进行促甲状腺素(TSH)检测(TC-5-1-7)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
112,TC-5-2-1,术后内分泌抑制治疗适应证的选择,字符串,否,"例:""a""",若该字段无相应取值，则接口中不必提交该字段,见,TC-5-2-1选择代码表,,,
113,TC-5-2-1-1,其他术后内分泌抑制治疗适应证,字符串,参考备注,"例:""填写文字说明""","术后内分泌抑制治疗适应证的选择(TC-5-2-1)等于""其他 (用文字说明)""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
114,TC-5-2-2,是否进行内分泌抑制治疗,字符串,否,"例:""y""",若该字段无相应取值，则接口中不必提交该字段,见,TC-5-2-2选择代码表,,,
115,TC-5-2-3,促甲状腺素(TSH)抑制剂的选择,字符串,否,"例:""a""",若该字段无相应取值，则接口中不必提交该字段,见,TC-5-2-3选择代码表,,,
