序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,
25,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,
26,HBIPS-0-3-6,入院种类,字符串,是,"例:""a""",见,HBIPS-0-3-6选择代码表,,
27,HBIPS-0-3-7,第几次住院,数值,是,例:10,住院次数应大于等于1,,,
28,HBIPS-1-1,入院时是否实施首次评估,字符串,是,"例:""y""",见,HBIPS-1-1选择代码表,,
29,HBIPS-1-2,入院时对住院患者实施评估,数组,参考备注,"例:[""a"",""b""]","入院时是否实施首次评估(HBIPS-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-1-2选择代码表
30,HBIPS-1-2-1-1,入院后首次评估分值,数值,参考备注,例:10,"入院时对住院患者实施评估(HBIPS-1-2)等于""1)Young氏躁狂评定量表(YMRS)""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
31,HBIPS-1-2-2-1,入院后首次评估分值,字符串,参考备注,"例:""Ⅰ""","入院时对住院患者实施评估(HBIPS-1-2)等于""2)攻击风险评估表要求""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-1-2-2-1选择代码表
32,HBIPS-1-2-3-1,入院后首次评估分值,数值,参考备注,例:10,"入院时对住院患者实施评估(HBIPS-1-2)等于""3)汉密尔顿抑郁量表（HAMD）""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
33,HBIPS-1-2-4-1,入院后首次评估分值,数值,参考备注,例:10,"入院时对住院患者实施评估(HBIPS-1-2)等于""4)日常生活能力量表(ADL)""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
34,HBIPS-1-2-5-1,入院后首次评估分值,数值,参考备注,例:10,"入院时对住院患者实施评估(HBIPS-1-2)等于""5)阳性与阴性症状量表（PANSS）""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
35,HBIPS-1-2-6-1,入院后首次评估分值,数值,参考备注,例:10,"入院时对住院患者实施评估(HBIPS-1-2)等于""6)药物不良反应量表（TESS）""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
36,HBIPS-1-2-7-1,入院后首次评估分值,数值,参考备注,例:10,"入院时对住院患者实施评估(HBIPS-1-2)等于""7)住院病人护士观察量表""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
37,HBIPS-1-2-8-1,入院后首次评估分值,数值,参考备注,例:10,"入院时对住院患者实施评估(HBIPS-1-2)等于""8)自杀危险因素评估表""(h)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
38,HBIPS-1-2-9-1,入院后首次评估分值,数值,参考备注,例:10,"入院时对住院患者实施评估(HBIPS-1-2)等于""9)其他由省级卫生行政部门或医院指定的评估表""(i)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
39,HBIPS-2-1,住院患者是否发生压疮,字符串,是,"例:""y""",见,HBIPS-2-1选择代码表,,
40,HBIPS-2-2-1,患者入院前是否已有压疮,字符串,参考备注,"例:""y""","住院患者是否发生压疮(HBIPS-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-2-2-1选择代码表
41,HBIPS-2-2-2,门诊或急诊诊断中有压疮,字符串,参考备注,"例:""a""","患者入院前是否已有压疮(HBIPS-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-2-2-2选择代码表
42,HBIPS-2-2-3,门诊或急诊记录的压疮发生地点,字符串,参考备注,"例:""a""","患者入院前是否已有压疮(HBIPS-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-2-2-3选择代码表
43,HBIPS-2-3-1,是否进行压疮危险因素评估,字符串,参考备注,"例:""y""","住院患者是否发生压疮(HBIPS-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-2-3-1选择代码表
44,HBIPS-2-3-2,压疮危险因素评估选择,字符串,参考备注,"例:""a""","是否进行压疮危险因素评估(HBIPS-2-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-2-3-2选择代码表
45,HBIPS-2-3-2-1,Waterlow压疮危险因素评估的分值,数值,参考备注,例:10,"压疮危险因素评估选择(HBIPS-2-3-2)等于""Waterlow压疮危险因素评估的分值""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
46,HBIPS-2-3-2-2,Norton压疮危险因素评估的分值,数值,参考备注,例:10,"压疮危险因素评估选择(HBIPS-2-3-2)等于""Norton压疮危险因素评估的分值""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
47,HBIPS-2-3-2-3,Braden压疮危险因素评估的分值,数值,参考备注,例:10,"压疮危险因素评估选择(HBIPS-2-3-2)等于""Braden压疮危险因素评估的分值""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
48,HBIPS-2-4,出院时，其他诊断中有ICD-10编码L89及受压区压疮,字符串,参考备注,"例:""a""","住院患者是否发生压疮(HBIPS-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-2-4选择代码表
49,HBIPS-2-5,住院期间发生压疮的部位,字符串,参考备注,"例:""a""","住院患者是否发生压疮(HBIPS-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-2-5选择代码表
50,HBIPS-3-1,住院患者是否发生跌倒/坠床,字符串,是,"例:""y""",见,HBIPS-3-1选择代码表,,
51,HBIPS-3-2,发生的跌倒/坠床及其原因的选择,字符串,参考备注,"例:""a""","住院患者是否发生跌倒/坠床(HBIPS-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-3-2选择代码表
52,HBIPS-3-3,跌倒/坠床造成的伤害程度,字符串,参考备注,"例:""a""","住院患者是否发生跌倒/坠床(HBIPS-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-3-3选择代码表
53,HBIPS-4-1,住院患者是否发生烫伤,字符串,是,"例:""y""",见,HBIPS-4-1选择代码表,,
54,HBIPS-4-2,造成烫伤可能的因素,字符串,参考备注,"例:""a""","住院患者是否发生烫伤(HBIPS-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-4-2选择代码表
55,HBIPS-4-3,烫伤伤害的程度,字符串,参考备注,"例:""a""","住院患者是否发生烫伤(HBIPS-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-4-3选择代码表
56,HBIPS-4-4,烫伤累及的体表面积与ICD-10编码T31.0-31.9,字符串,参考备注,"例:""a""","住院患者是否发生烫伤(HBIPS-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-4-4选择代码表
57,HBIPS-5-1,住院患者是否发生噎食窒息,字符串,是,"例:""y""",见,HBIPS-5-1选择代码表,,
58,HBIPS-5-2,噎食窒息的原因,字符串,参考备注,"例:""a""","住院患者是否发生噎食窒息(HBIPS-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-5-2选择代码表
59,HBIPS-5-3,呼吸道阻塞的程度,字符串,参考备注,"例:""a""","住院患者是否发生噎食窒息(HBIPS-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-5-3选择代码表
60,HBIPS-5-4,噎食窒息造成的伤害程度,字符串,参考备注,"例:""a""","住院患者是否发生噎食窒息(HBIPS-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-5-4选择代码表
61,HBIPS-6-1-1,住院患者是否发生自杀,字符串,是,"例:""y""",见,HBIPS-6-1-1选择代码表,,
62,HBIPS-6-1-2,入院后有自杀危险因素评估,字符串,参考备注,"例:""y""","住院患者是否发生自杀(HBIPS-6-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-6-1-2选择代码表
63,HBIPS-6-1-3,住院患者的自杀原因,字符串,参考备注,"例:""a""","住院患者是否发生自杀(HBIPS-6-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-6-1-3选择代码表
64,HBIPS-6-1-4,自杀造成伤害程度的选择,字符串,参考备注,"例:""a""","住院患者是否发生自杀(HBIPS-6-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-6-1-4选择代码表
65,HBIPS-6-2-1,住院患者是否发生自伤,字符串,是,"例:""y""",见,HBIPS-6-2-1选择代码表,,
66,HBIPS-6-2-2,入院后是否有自伤危险因素评估,字符串,参考备注,"例:""y""","住院患者是否发生自伤(HBIPS-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-6-2-2选择代码表
67,HBIPS-6-2-3,住院患者的自伤原因,字符串,参考备注,"例:""a""","住院患者是否发生自伤(HBIPS-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-6-2-3选择代码表
68,HBIPS-6-2-4,自伤造成的伤害程度,字符串,参考备注,"例:""a""","住院患者是否发生自伤(HBIPS-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-6-2-4选择代码表
69,HBIPS-7-1,住院患者是否发生伤人、毁物,字符串,是,"例:""y""",见,HBIPS-7-1选择代码表,,
70,HBIPS-7-2,入院后是否有伤人、毁物的危险因素评估,字符串,参考备注,"例:""y""","住院患者是否发生伤人、毁物(HBIPS-7-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-7-2选择代码表
71,HBIPS-7-3,伤人与毁物的原因,字符串,参考备注,"例:""a""","住院患者是否发生伤人、毁物(HBIPS-7-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-7-3选择代码表
72,HBIPS-7-4,造成的伤害程度,字符串,参考备注,"例:""a""","住院患者是否发生伤人、毁物(HBIPS-7-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-7-4选择代码表
73,HBIPS-8,住院患者是否发生擅自离院,字符串,是,"例:""y""",见,HBIPS-8选择代码表,,
74,HBIPS-9-1,住院期间是否实施约束,字符串,是,"例:""y""",见,HBIPS-9-1选择代码表,,
75,HBIPS-9-1-2,住院期间首次实施约束的主要原因,字符串,参考备注,"例:""a""","住院期间是否实施约束(HBIPS-9-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-9-1-2选择代码表
76,HBIPS-9-1-6-1,首次使用身体约束开始时间是否确定,数组,参考备注,"例:[""UTD""]","住院期间是否实施约束(HBIPS-9-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-9-1-6-1选择代码表
77,HBIPS-9-1-6,首次使用身体约束开始时间,字符串,参考备注,"例:""1970-01-01 12:00""","住院期间是否实施约束(HBIPS-9-1)等于""是""(y)时必填;","首次使用身体约束开始时间是否确定(HBIPS-9-1-6-1)等于""不详""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,
78,HBIPS-9-1-7-1,首次实施约束终止时间是否确定,数组,参考备注,"例:[""UTD""]","住院期间是否实施约束(HBIPS-9-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-9-1-7-1选择代码表
79,HBIPS-9-1-7,首次实施约束终止时间,字符串,参考备注,"例:""1970-01-01 12:00""","住院期间是否实施约束(HBIPS-9-1)等于""是""(y)时必填;","首次实施约束终止时间是否确定(HBIPS-9-1-7-1)等于""不详""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,
80,HBIPS-9-1-8,首次实施约束持续时间,数值,参考备注,例:10,"住院期间是否实施约束(HBIPS-9-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,"实施约束持续时间应大于等于0日期差值计算公式:首次实施约束终止时间(HBIPS-9-1-7)-首次使用身体约束开始时间(HBIPS-9-1-6),单位:小时",
81,HBIPS-9-1-9,住院期间实施约束累积次数,数值,参考备注,例:10,"住院期间是否实施约束(HBIPS-9-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
82,HBIPS-9-1-5,住院期间实施约束是否有并发症,字符串,参考备注,"例:""y""","住院期间是否实施约束(HBIPS-9-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-9-1-5选择代码表
83,HBIPS-9-2-1,住院期间是否实施隔离保护,字符串,是,"例:""y""",见,HBIPS-9-2-1选择代码表,,
84,HBIPS-9-2-2,住院期间实施使用隔离措施的主要事由,字符串,参考备注,"例:""a""","住院期间是否实施隔离保护(HBIPS-9-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-9-2-2选择代码表
85,HBIPS-9-2-6-1,首次使用隔离保护开始时间是否确定,数组,参考备注,"例:[""UTD""]","住院期间是否实施隔离保护(HBIPS-9-2-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-9-2-6-1选择代码表
86,HBIPS-9-2-6,首次使用隔离保护开始时间,字符串,参考备注,"例:""1970-01-01 12:00""","住院期间是否实施隔离保护(HBIPS-9-2-1)等于""是""(y)时必填;","首次使用隔离保护开始时间是否确定(HBIPS-9-2-6-1)等于""不详""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,
87,HBIPS-9-2-3,使用隔离保护开始时间段,字符串,否,"例:""a""","住院期间是否实施隔离保护(HBIPS-9-2-1)等于""是""(y)时可填写;",见,HBIPS-9-2-3选择代码表,
88,HBIPS-9-2-7-1,首次实施约束终止时间是否确定,数组,参考备注,"例:[""UTD""]","住院期间是否实施隔离保护(HBIPS-9-2-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-9-2-7-1选择代码表
89,HBIPS-9-2-7,首次实施约束终止时间,字符串,参考备注,"例:""1970-01-01 12:00""","住院期间是否实施隔离保护(HBIPS-9-2-1)等于""是""(y)时必填;","首次实施约束终止时间是否确定(HBIPS-9-2-7-1)等于""不详""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,
90,HBIPS-3-2-4,首次实施约束时间,字符串,参考备注,"例:""a""","住院期间是否实施隔离保护(HBIPS-9-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-3-2-4选择代码表
91,HBIPS-3-2-5,实施约束累计时间(h),数值,参考备注,例:10,"住院期间是否实施隔离保护(HBIPS-9-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
92,HBIPS-3-2-6,住院期间实施约束累积次数(次),数值,参考备注,例:10,"住院期间是否实施隔离保护(HBIPS-9-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
93,HBIPS-9-2-5,住院期间实施隔离保护是否有并发症,字符串,参考备注,"例:""y""","住院期间是否实施隔离保护(HBIPS-9-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-9-2-5选择代码表
94,HBIPS-10-1,出院前是否实施社会功能评估,字符串,是,"例:""y""",见,HBIPS-10-1选择代码表,,
95,HBIPS-10-2,评定量表,数组,参考备注,"例:[""a"",""b""]","出院前是否实施社会功能评估(HBIPS-10-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-10-2选择代码表
96,HBIPS-11-1,是否制定有出院后持续服务计划,字符串,是,"例:""y""",见,HBIPS-11-1选择代码表,,
97,HBIPS-11-2-1,出院后持续服务计划是否转至后续服务机构,字符串,参考备注,"例:""y""","是否制定有出院后持续服务计划(HBIPS-11-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-11-2-1选择代码表
98,HBIPS-11-2-2,服务机构选择,字符串,参考备注,"例:""a""","出院后持续服务计划是否转至后续服务机构(HBIPS-11-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-11-2-2选择代码表
99,HBIPS-12-1,出院时是否带药继续使用,字符串,是,"例:""y""",见,HBIPS-12-1选择代码表,,
100,HBIPS-12-2,出院时带药:常用抗精神药物选择,数组,参考备注,"例:[""a"",""b""]","出院时是否带药继续使用(HBIPS-12-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-12-2选择代码表
101,HBIPS-12-2-1,其它抗精神病药物,字符串,参考备注,"例:""填写文字说明""","出院时带药:常用抗精神药物选择(HBIPS-12-2)等于""其它抗精神病药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
102,HBIPS-12-4,出院时带药:常用抗抑郁药物选择,数组,参考备注,"例:[""m"",""n""]","出院时是否带药继续使用(HBIPS-12-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,HBIPS-12-4选择代码表
103,HBIPS-12-4-1,其它抗抑郁药物,字符串,参考备注,"例:""填写文字说明""","出院时带药:常用抗抑郁药物选择(HBIPS-12-4)等于""其它抗抑郁药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
104,CM-4-3,离院方式选择,字符串,是,"例:""a""",见,CM-4-3选择代码表,,
105,CM-4-5,非医嘱离院可能涉及因素,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""非医嘱离院""(d)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-5选择代码表
106,CM-4-4-1,其他非医嘱离院因素填写,字符串,参考备注,"例:""填写文字说明""","非医嘱离院可能涉及因素(CM-4-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
107,CM-4-6,死亡可能涉及因素,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-6选择代码表
108,CM-6-1,住院总费用,数值,是,例:10,住院总费用要大于0;,住院总费用要小于1000000;,住院总费用应大于等于各项费用之和,
109,CM-6-2,住院总费用其中自付金额,数值,是,例:10,自付金额要,自付金额应≤住院总费用,,
110,CM-6-3,一般医疗服务费,数值,是,例:10,一般医疗服务费要,,,
111,CM-6-4,一般治疗操作费,数值,是,例:10,一般治疗操作费要,,,
112,CM-6-5,护理费,数值,是,例:10,护理费要,,,
113,CM-6-6,综合医疗服务类其他费用,数值,是,例:10,综合医疗服务类其他费用要≥0,,,
114,CM-6-7,病理诊断费,数值,是,例:10,病理诊断费要≥0,,,
115,CM-6-8,实验室诊断费,数值,是,例:10,实验室诊断费要≥0,,,
116,CM-6-9,影像学诊断费,数值,是,例:10,影像学诊断费要≥0,,,
117,CM-6-10,临床诊断项目费,数值,是,例:10,临床诊断项目费要≥0,,,
118,CM-6-11,非手术治疗项目费,数值,是,例:10,非手术治疗项目费要≥0,,,
119,CM-6-12,其中：临床物理治疗费,数值,是,例:10,临床物理治疗费要≥0,,,
120,CM-6-13,手术治疗费,数值,是,例:10,手术治疗费要≥0,,,
121,CM-6-14,其中：麻醉费,数值,是,例:10,麻醉费要≥0,,,
122,CM-6-15,其中：手术费,数值,是,例:10,手术费要≥0,,,
123,CM-6-16,康复费,数值,是,例:10,康复费要≥0,,,
124,CM-6-17,中医治疗费,数值,是,例:10,中医治疗费要≥0,,,
125,CM-6-18,西药费,数值,是,例:10,西药费要≥0,,,
126,CM-6-19,其中：抗菌药物费,数值,是,例:10,抗菌药物费要≥0,,,
127,CM-6-20,中成药费,数值,是,例:10,中成药费要≥0,,,
128,CM-6-21,中草药费,数值,是,例:10,中草药费要≥0,,,
129,CM-6-22,血费,数值,是,例:10,血费要≥0,,,
130,CM-6-23,白蛋白类制品费,数值,是,例:10,白蛋白类制品费要≥0,,,
131,CM-6-24,球蛋白类制品费,数值,是,例:10,球蛋白类制品费要≥0,,,
132,CM-6-25,凝血因子类制品费,数值,是,例:10,凝血因子类制品费要≥0,,,
133,CM-6-26,细胞因子类制品费,数值,是,例:10,细胞因子类制品费要≥0,,,
134,CM-6-27,检查用一次性医用材料费,数值,是,例:10,检查用一次性医用材料费要≥0,,,
135,CM-6-28,治疗用一次性医用材料费,数值,是,例:10,治疗用一次性医用材料费要≥0,,,
136,CM-6-29,手术用一次性医用材料费,数值,是,例:10,手术用一次性医用材料费要≥0,,,
,CM-6-30,其他费,数值,是,例:10,其他费要≥0,,,
