序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,
48,DPD-1-3-1-3,血压DBP,数值,参考备注,例:10,"请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
49,DPD-1-3-1-4,项目完成日期,字符串,参考备注,"例:""1970-01-01""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
50,DPD-1-3-1-5,高血压是否达标,字符串,参考备注,"例:""y""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-3-1-5选择代码表,,
51,DPD-1-3-2-1,是否有抗高血压药治疗医嘱,字符串,参考备注,"例:""y""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;","高血压是否达标(DPD-1-3-1-5)等于""不达标""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-3-2-1选择代码表,
52,DPD-1-3-2-2,抗高血压药治疗医嘱起始日期,字符串,参考备注,"例:""1970-01-01""","是否有抗高血压药治疗医嘱(DPD-1-3-2-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,,,,
53,DPD-1-3-2-3,抗高血压药,数组,参考备注,"例:[""a"",""b""]","是否有抗高血压药治疗医嘱(DPD-1-3-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-3-2-3选择代码表,,
54,DPD-1-3-2-4,其他抗高血压药,字符串,参考备注,"例:""填写文字说明""","抗高血压药(DPD-1-3-2-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
55,DPD-1-4-1-1,血红蛋白,数组,参考备注,"例:[""a""]","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-4-1-1选择代码表,,
56,DPD-1-4-1-2,血红蛋白检测值(g/L ),数值,参考备注,例:10,"血红蛋白(DPD-1-4-1-1)等于""血常规 血红蛋白检测""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
57,DPD-1-4-1-3,项目完成日期,字符串,参考备注,"例:""1970-01-01""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
58,DPD-1-4-1-4,血红蛋白是否达标,字符串,参考备注,"例:""y""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-4-1-4选择代码表,,
59,DPD-1-4-2-1,是否有ESA治疗医嘱,字符串,参考备注,"例:""y""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;","血红蛋白是否达标(DPD-1-4-1-4)等于""不达标""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-4-2-1选择代码表,
60,DPD-1-4-2-2,ESA治疗医嘱起始日期,字符串,参考备注,"例:""1970-01-01""","是否有ESA治疗医嘱(DPD-1-4-2-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,,,,
61,DPD-1-4-2-3,ESA治疗药物,数组,参考备注,"例:[""a"",""b""]","是否有ESA治疗医嘱(DPD-1-4-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-4-2-3选择代码表,,
62,DPD-1-4-2-4,ESA治疗其他药物,字符串,参考备注,"例:""填写文字说明""","ESA治疗药物(DPD-1-4-2-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
63,DPD-1-4-3-1,是否有铁剂治疗医嘱,字符串,参考备注,"例:""y""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;","血红蛋白是否达标(DPD-1-4-1-4)等于""不达标""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-4-3-1选择代码表,
64,DPD-1-4-3-2,铁剂治疗医嘱起始日期,字符串,参考备注,"例:""1970-01-01""","是否有铁剂治疗医嘱(DPD-1-4-3-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,,,,
65,DPD-1-4-3-3,铁剂治疗选择,字符串,参考备注,"例:""a""","是否有铁剂治疗医嘱(DPD-1-4-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-4-3-3选择代码表,,
66,DPD-1-4-3-4,口服铁剂治疗药物,数组,参考备注,"例:[""a"",""b""]","铁剂治疗选择(DPD-1-4-3-3)等于""口服铁剂治疗药物""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-4-3-4选择代码表,,
67,DPD-1-4-3-5,口服铁剂治疗其他药物,字符串,参考备注,"例:""填写文字说明""","口服铁剂治疗药物(DPD-1-4-3-4)等于""其他口服铁剂""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
68,DPD-1-4-3-6,静脉铁剂治疗药物,数组,参考备注,"例:[""a"",""b""]","铁剂治疗选择(DPD-1-4-3-3)等于""静脉铁剂治疗药物""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-4-3-6选择代码表,,
69,DPD-1-4-3-7,静脉铁剂治疗其他药物,字符串,参考备注,"例:""填写文字说明""","静脉铁剂治疗药物(DPD-1-4-3-6)等于""其他静脉铁剂""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
70,DPD-1-6-1-1,血清白蛋白,数组,参考备注,"例:[""a""]","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-6-1-1选择代码表,,
71,DPD-1-6-1-2,血清白蛋白检测值(g/L ),数值,参考备注,例:10,"血清白蛋白(DPD-1-6-1-1)等于""血清白蛋白检测""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
72,DPD-1-6-1-3,项目完成日期,字符串,参考备注,"例:""1970-01-01""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
73,DPD-1-6-1-4,血清白蛋白是否达标,字符串,参考备注,"例:""y""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-6-1-4选择代码表,,
74,DPD-1-6-2-1,是否有营养支持药物治疗医嘱,字符串,参考备注,"例:""y""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;","血清白蛋白是否达标(DPD-1-6-1-4)等于""不达标""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-6-2-1选择代码表,
75,DPD-1-6-2-2,营养支持药物治疗医嘱起始日期,字符串,参考备注,"例:""1970-01-01""","是否有营养支持药物治疗医嘱(DPD-1-6-2-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,,,,
76,DPD-1-6-2-3,营养支持药物,数组,参考备注,"例:[""a"",""b""]","是否有营养支持药物治疗医嘱(DPD-1-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-6-2-3选择代码表,,
77,DPD-1-6-2-4,其他营养支持药物,字符串,参考备注,"例:""填写文字说明""","营养支持药物(DPD-1-6-2-3)等于""其他营养支持药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
78,DPD-1-8-1-1,是否有腹膜炎,字符串,参考备注,"例:""y""","请选择上报季度(DPD-0-1-10)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-8-1-1选择代码表,,
79,DPD-1-8-1-2,报告的日期,字符串,参考备注,"例:""1970-01-01""","是否有腹膜炎(DPD-1-8-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
80,DPD-1-8-1-3,感染类型,字符串,参考备注,"例:""a""","是否有腹膜炎(DPD-1-8-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-8-1-3选择代码表,,
81,DPD-1-8-1-4,病原检出,字符串,参考备注,"例:""a""","是否有腹膜炎(DPD-1-8-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-8-1-4选择代码表,,
82,DPD-1-8-1-5,培养结果,字符串,参考备注,"例:""a""","是否有腹膜炎(DPD-1-8-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-1-8-1-5选择代码表,,
83,DPD-1-8-2-1,腹膜炎患者透析龄(月),数值,参考备注,例:10,"是否有腹膜炎(DPD-1-8-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,腹膜炎患者透析龄填写值应大于等于0,,,
84,DPD-1-8-2-2,腹膜炎患者透析次数(次),数值,参考备注,例:10,"是否有腹膜炎(DPD-1-8-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,腹膜炎患者透析次数填写值应大于等于0,,,
85,DPD-1-8-2-3,患者腹膜炎次数（月/次）,数值,参考备注,例:10,"是否有腹膜炎(DPD-1-8-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
86,DPD-2-1-2-1,四月份腹膜透析治疗室消毒合格情况,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-1-2-1选择代码表,,
87,DPD-2-1-2-2,五月份腹膜透析治疗室消毒合格情况,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-1-2-2选择代码表,,
88,DPD-2-1-2-3,六月份腹膜透析治疗室消毒合格情况,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-1-2-3选择代码表,,
89,DPD-2-2-1-1,2季度/随访日期,字符串,参考备注,"例:""1970-01-01""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
90,DPD-2-2-1-2,2季度/透析液种类,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-2-1-2选择代码表,,
91,DPD-2-2-1-3,2季度/腹透模式,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-2-1-3选择代码表,,
92,DPD-2-2-2-1,腹膜平衡试验/上半年/标准平衡试验/转运类型,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-2-2-1选择代码表,,
93,DPD-2-2-3-1,2季度/血常规检验完成情况,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-2-3-1选择代码表,,
94,DPD-2-2-3-2,血常规检验完成日期,字符串,参考备注,"例:""1970-01-01""","2季度/血常规检验完成情况(DPD-2-2-3-1)等于""完成""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
95,DPD-2-2-3-3,2季度/血生化检验完成情况,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-2-3-3选择代码表,,
96,DPD-2-2-3-4,血生化检完成日期,字符串,参考备注,"例:""1970-01-01""","2季度/血生化检验完成情况(DPD-2-2-3-3)等于""完成""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
97,DPD-2-2-3-5,2季度/前白蛋白检验完成情况,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-2-3-5选择代码表,,
98,DPD-2-2-3-6,前白蛋白检验完成日期,字符串,参考备注,"例:""1970-01-01""","2季度/前白蛋白检验完成情况(DPD-2-2-3-5)等于""完成""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
99,DPD-2-2-3-7,2季度/β2微球蛋白检验完成情况,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-2-3-7选择代码表,,
100,DPD-2-2-3-8,β2微球蛋白检验完成日期,字符串,参考备注,"例:""1970-01-01""","2季度/β2微球蛋白检验完成情况(DPD-2-2-3-7)等于""完成""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
101,DPD-2-2-3-9,2季度/C反应蛋白检验完成情况,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-2-3-9选择代码表,,
102,DPD-2-2-3-10,C反应蛋白检验完成日期,字符串,参考备注,"例:""1970-01-01""","2季度/C反应蛋白检验完成情况(DPD-2-2-3-9)等于""完成""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
103,DPD-2-2-3-11,2季度/血清铁蛋白检验完成情况,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-2-3-11选择代码表,,
104,DPD-2-2-3-12,血清铁蛋白检验完成日期,字符串,参考备注,"例:""1970-01-01""","2季度/血清铁蛋白检验完成情况(DPD-2-2-3-11)等于""完成""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
105,DPD-2-2-3-13,2季度/转铁蛋白饱和度检验完成情况,字符串,参考备注,"例:""a""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-2-3-13选择代码表,,
106,DPD-2-2-3-14,转铁蛋白饱和度检验完成日期,字符串,参考备注,"例:""1970-01-01""","2季度/转铁蛋白饱和度检验完成情况(DPD-2-2-3-13)等于""完成""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
107,DPD-2-3-1-2,血压SBP,数值,参考备注,例:10,"请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
108,DPD-2-3-1-3,血压DBP,数值,参考备注,例:10,"请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
109,DPD-2-3-1-4,项目完成日期,字符串,参考备注,"例:""1970-01-01""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
110,DPD-2-3-1-5,高血压是否达标,字符串,参考备注,"例:""y""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-3-1-5选择代码表,,
111,DPD-2-3-2-1,是否有抗高血压药治疗医嘱,字符串,参考备注,"例:""y""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;","高血压是否达标(DPD-2-3-1-5)等于""不达标""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-3-2-1选择代码表,
112,DPD-2-3-2-2,抗高血压药治疗医嘱起始日期,字符串,参考备注,"例:""1970-01-01""","是否有抗高血压药治疗医嘱(DPD-2-3-2-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,,,,
113,DPD-2-3-2-3,抗高血压药,数组,参考备注,"例:[""a"",""b""]","是否有抗高血压药治疗医嘱(DPD-2-3-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-3-2-3选择代码表,,
114,DPD-2-3-2-4,其他抗高血压药,字符串,参考备注,"例:""填写文字说明""","抗高血压药(DPD-2-3-2-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
115,DPD-2-4-1-1,血红蛋白,数组,参考备注,"例:[""a""]","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-4-1-1选择代码表,,
116,DPD-2-4-1-2,血红蛋白检测值(g/L ),数值,参考备注,例:10,"血红蛋白(DPD-2-4-1-1)等于""血常规 血红蛋白检测""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
117,DPD-2-4-1-3,项目完成日期,字符串,参考备注,"例:""1970-01-01""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
118,DPD-2-4-1-4,血红蛋白是否达标,字符串,参考备注,"例:""y""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-4-1-4选择代码表,,
119,DPD-2-4-2-1,是否有ESA治疗医嘱,字符串,参考备注,"例:""y""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;","血红蛋白是否达标(DPD-2-4-1-4)等于""不达标""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-4-2-1选择代码表,
120,DPD-2-4-2-2,ESA治疗医嘱起始日期,字符串,参考备注,"例:""1970-01-01""","是否有ESA治疗医嘱(DPD-2-4-2-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,,,,
121,DPD-2-4-2-3,ESA治疗药物,数组,参考备注,"例:[""a"",""b""]","是否有ESA治疗医嘱(DPD-2-4-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-4-2-3选择代码表,,
122,DPD-2-4-2-4,ESA治疗其他药物,字符串,参考备注,"例:""填写文字说明""","ESA治疗药物(DPD-2-4-2-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
123,DPD-2-4-3-1,是否有铁剂治疗医嘱,字符串,参考备注,"例:""y""","请选择上报季度(DPD-0-1-10)等于""第二季度""(b)时必填;","血红蛋白是否达标(DPD-2-4-1-4)等于""不达标""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-4-3-1选择代码表,
124,DPD-2-4-3-2,铁剂治疗医嘱起始日期,字符串,参考备注,"例:""1970-01-01""","是否有铁剂治疗医嘱(DPD-2-4-3-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,,,,
125,DPD-2-4-3-3,铁剂治疗选择,字符串,参考备注,"例:""a""","是否有铁剂治疗医嘱(DPD-2-4-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-4-3-3选择代码表,,
126,DPD-2-4-3-4,口服铁剂治疗药物,数组,参考备注,"例:[""a"",""b""]","铁剂治疗选择(DPD-2-4-3-3)等于""口服铁剂治疗药物""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-4-3-4选择代码表,,
127,DPD-2-4-3-5,口服铁剂治疗其他药物,字符串,参考备注,"例:""填写文字说明""","口服铁剂治疗药物(DPD-2-4-3-4)等于""其他口服铁剂""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
128,DPD-2-4-3-6,静脉铁剂治疗药物,数组,参考备注,"例:[""a"",""b""]","铁剂治疗选择(DPD-2-4-3-3)等于""静脉铁剂治疗药物""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DPD-2-4-3-6选择代码表,,
