序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,,,
22,CM-0-2-3-2,到达本院急诊或者门诊日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","到达本院急诊或者门诊日期时间是否无法确定或无记录(CM-0-2-3-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,到达本院急诊或者门诊日期时间应大于末次月经日期与时间,,,,,
23,CM-0-2-4-1,入院日期时间,字符串,是,"例:""1970-01-01 12:00""",,,,,,,,
24,CM-0-2-4-2,出院日期时间,字符串,是,"例:""1970-01-01 12:00""",出院日期时间应大于入院日期时间;,住院时间应大于24小时;,住院时间应应小于90天,,,,,
25,CM-0-2-6-1,手术开始（切皮）日期时间,字符串,是,"例:""1970-01-01 12:00""",,,,,,,,
26,CM-0-2-6-2,手术结束（缝皮结束）日期时间,字符串,是,"例:""1970-01-01 12:00""",手术结束日期时间应大于手术开始日期时间,,,,,,,
27,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,,,,
28,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,,,,
29,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,,,,
30,DG-1-1,评估日期时间,字符串,是,"例:""1970-01-01 12:00""",高危因素评估日期时间应小于出院日期时间,,,,,,,
31,DG-1-2,高危因素的选择,数组,是,"例:[""a"",""b""]",见,DG-1-2选择代码表,,,,,,
32,DG-1-2-1,其他高危因素填写,字符串,参考备注,"例:""填写文字说明""","高危因素的选择(DG-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
33,DG-1-3-1,妊娠周数,字符串,是,"例:""a""",见,DG-1-3-1选择代码表,,,,,,
34,DG-1-3-2,腹痛程度的选择,字符串,是,"例:""a""",见,DG-1-3-2选择代码表,,,,,,
35,DG-1-2-4,生命体征是否平稳,字符串,是,"例:""a""",见,DG-1-2-4选择代码表,,,,,,
36,DG-1-3-4-1,超声检查途径的选择,字符串,是,"例:""a""",见,DG-1-3-4-1选择代码表,,,,,,
37,DG-1-2-2-2,超声检查描述,数组,是,"例:[""a"",""b""]",见,DG-1-2-2-2选择代码表,,,,,,
38,DG-1-2-2-2-1,其他超声检查描述,字符串,参考备注,"例:""填写文字说明""","超声检查描述(DG-1-2-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,,,,,
39,DG-1-2-2-3,子宫内膜厚度(mm),数值,是,例:10,子宫内膜厚度填写值应大于等于0,,,,,,,
40,DG-1-3-4-2,输卵管妊娠包块最大径的选择,字符串,是,"例:""a""",见,DG-1-3-4-2选择代码表,,,,,,
41,DG-1-3-4-3,盆腔内出血量最大径的选择,字符串,是,"例:""a""",见,DG-1-3-4-3选择代码表,,,,,,
42,DG-1-4,到院首次B超检查提示异位妊娠征象报告的时间,字符串,是,"例:""1970-01-01 12:00""",到院首次B超检查提示异位妊娠征象报告的时间应小于出院日期时间,,,,,,,
43,DG-1-3-1-1,是否进行β-HCG测定,字符串,是,"例:""y""",见,DG-1-3-1-1选择代码表,,,,,,
44,DG-1-3-0,hCG测定方式选择,数组,参考备注,"例:[""a"",""b""]","是否进行β-HCG测定(DG-1-3-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DG-1-3-0选择代码表,,,,
45,DG-1-3-2-1,静脉血hCG测定值(U/L),数值,参考备注,例:10,"hCG测定方式选择(DG-1-3-0)等于""静脉血hCG测定值""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,静脉血hCG测定值应大于等于0,,,,,
46,DG-1-3-3,腹腔血hCG测定值(U/L),数值,参考备注,例:10,"hCG测定方式选择(DG-1-3-0)等于""腹腔血hCG测定值""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,腹腔血hCG测定值应大于等于0,,,,,
47,DG-1-3-4,阴道血hCG测定值(U/L),数值,参考备注,例:10,"hCG测定方式选择(DG-1-3-0)等于""阴道血hCG测定值""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,阴道血hCG测定值应大于等于0,,,,,
48,DG-1-3-5,尿hCG测定结果,字符串,参考备注,"例:""a""","hCG测定方式选择(DG-1-3-0)等于""尿hCG测定结果""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DG-1-3-5选择代码表,,,,
49,DG-1-3-6,到院首次β-HCG测定报告的时间,字符串,参考备注,"例:""1970-01-01 12:00""","hCG测定方式选择(DG-1-3-0)等于""到院首次β-HCG测定报告的时间""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,到院首次β-HCG测定报告的时间应小于出院日期时间,,,,,
50,DG-1-3-7,血清hCG阴道超声阈值,数值,参考备注,例:10,"hCG测定方式选择(DG-1-3-0)等于""血清hCG阴道超声阈值""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
51,DG-1-3-8,腹腔血与静脉血hCG比值（Rp/v-hCG）,字符串,参考备注,"例:""填写文字说明""","hCG测定方式选择(DG-1-3-0)等于""腹腔血与静脉血hCG比值（Rp/v-hCG）""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
52,DG-1-3-9,静脉血与阴道血hCG比值（Rv/c-hCG）,字符串,参考备注,"例:""填写文字说明""","hCG测定方式选择(DG-1-3-0)等于""静脉血与阴道血hCG比值（Rv/c-hCG）""(h)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
53,DG-1-4-1,是否进行穿刺,字符串,是,"例:""y""",见,DG-1-4-1选择代码表,,,,,,
54,DG-1-4-2,穿刺部位,字符串,参考备注,"例:""a""","是否进行穿刺(DG-1-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DG-1-4-2选择代码表,,,,
55,DG-1-4-3,后穹隆穿刺,字符串,参考备注,"例:""a""","穿刺部位(DG-1-4-2)等于""后穹隆穿刺""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DG-1-4-3选择代码表,,,,
56,DG-1-4-4,腹腔穿刺,字符串,参考备注,"例:""a""","穿刺部位(DG-1-4-2)等于""腹腔穿刺""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DG-1-4-4选择代码表,,,,
57,DG-1-4-5,到院首次穿刺的时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否进行穿刺(DG-1-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
58,DG-1-6,治疗方式选择,字符串,是,"例:""a""",见,DG-1-6选择代码表,,,,,,
59,DG-1-5-2,需紧急手术的病情严重程度评估,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""紧急手术""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DG-1-5-2选择代码表,,,,
60,DG-1-5-2-1,其他需紧急手术的病情严重程度评估,字符串,参考备注,"例:""填写文字说明""","需紧急手术的病情严重程度评估(DG-1-5-2)等于""其他（用文字说明）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
61,DG-1-5-3,期待治疗纳入标准选择,数组,参考备注,"例:[""a"",""b""]","治疗方式选择(DG-1-6)等于""期待治疗""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DG-1-5-3选择代码表,,,,
62,DG-1-5-3-1,其他期待治疗纳入标准,字符串,参考备注,"例:""填写文字说明""","期待治疗纳入标准选择(DG-1-5-3)等于""其他（用文字说明）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
63,DG-2-1-1,是否有药物治疗,字符串,参考备注,"例:""UTD""","治疗方式选择(DG-1-6)等于""紧急手术""(a)时无需填写;","治疗方式选择(DG-1-6)等于""期待治疗""(d)时无需填写;","治疗方式选择(DG-1-6)等于""择期手术""(b)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,DG-2-1-1选择代码表,,
64,DG-2-1-2,是否有药物治疗禁忌症,字符串,参考备注,"例:""y""","治疗方式选择(DG-1-6)等于""紧急手术""(a)时无需填写;","治疗方式选择(DG-1-6)等于""期待治疗""(d)时无需填写;","治疗方式选择(DG-1-6)等于""择期手术""(b)时无需填写;","是否有药物治疗(DG-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DG-2-1-2选择代码表,
65,DG-2-1-3,药物治疗禁忌症的选择,数组,参考备注,"例:[""a"",""b""]","治疗方式选择(DG-1-6)等于""紧急手术""(a)时无需填写;","治疗方式选择(DG-1-6)等于""期待治疗""(d)时无需填写;","治疗方式选择(DG-1-6)等于""择期手术""(b)时无需填写;","是否有药物治疗禁忌症(DG-2-1-2)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DG-2-1-3选择代码表,
66,DG-2-1-3-1,其他药物治疗禁忌症填写,字符串,参考备注,"例:""填写文字说明""","治疗方式选择(DG-1-6)等于""紧急手术""(a)时无需填写;","治疗方式选择(DG-1-6)等于""期待治疗""(d)时无需填写;","治疗方式选择(DG-1-6)等于""择期手术""(b)时无需填写;","药物治疗禁忌症的选择(DG-2-1-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
67,DG-2-1-4,药物治疗适应症的选择,数组,参考备注,"例:[""a"",""b""]","治疗方式选择(DG-1-6)等于""紧急手术""(a)时无需填写;","治疗方式选择(DG-1-6)等于""期待治疗""(d)时无需填写;","治疗方式选择(DG-1-6)等于""择期手术""(b)时无需填写;","是否有药物治疗禁忌症(DG-2-1-2)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DG-2-1-4选择代码表,
68,DG-2-1-4-1,其他药物治疗适应症填写,字符串,参考备注,"例:""填写文字说明""","治疗方式选择(DG-1-6)等于""紧急手术""(a)时无需填写;","治疗方式选择(DG-1-6)等于""期待治疗""(d)时无需填写;","治疗方式选择(DG-1-6)等于""择期手术""(b)时无需填写;","药物治疗适应症的选择(DG-2-1-4)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
69,DG-2-2,治疗药物的选择,数组,参考备注,"例:[""a"",""b""]","治疗方式选择(DG-1-6)等于""紧急手术""(a)时无需填写;","治疗方式选择(DG-1-6)等于""期待治疗""(d)时无需填写;","治疗方式选择(DG-1-6)等于""择期手术""(b)时无需填写;","是否有药物治疗(DG-2-1-1)等于""是""(y)时必填;","药物治疗禁忌症的选择(DG-2-1-3)不等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,DG-2-2选择代码表
70,DG-2-2-1,其他治疗药物填写,字符串,参考备注,"例:""填写文字说明""","治疗方式选择(DG-1-6)等于""紧急手术""(a)时无需填写;","治疗方式选择(DG-1-6)等于""期待治疗""(d)时无需填写;","治疗方式选择(DG-1-6)等于""择期手术""(b)时无需填写;","药物治疗禁忌症的选择(DG-2-1-3)不等于""无法确定或无记录""(UTD)时无需填写;","治疗药物的选择(DG-2-2)等于""其他药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
71,DG-2-3,甲氨蝶呤（MTX）给药方案,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""紧急手术""(a)时无需填写;","治疗方式选择(DG-1-6)等于""期待治疗""(d)时无需填写;","治疗方式选择(DG-1-6)等于""择期手术""(b)时无需填写;","是否有药物治疗(DG-2-1-1)等于""是""(y)时可填写;","药物治疗禁忌症的选择(DG-2-1-3)不等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,DG-2-3选择代码表
72,DG-2-4-1,接受甲氨蝶呤（MTX）治疗患者的用药教育,数组,参考备注,"例:[""a"",""b""]","治疗方式选择(DG-1-6)等于""紧急手术""(a)时无需填写;","治疗方式选择(DG-1-6)等于""期待治疗""(d)时无需填写;","治疗方式选择(DG-1-6)等于""择期手术""(b)时无需填写;","是否有药物治疗(DG-2-1-1)等于""是""(y)时必填;","药物治疗禁忌症的选择(DG-2-1-3)不等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,DG-2-4-1选择代码表
73,DG-3-1-1,手术的指征的选择,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,DG-3-1-1选择代码表,,,,
74,DG-3-1-1-1,其他手术的指征,字符串,参考备注,"例:""填写文字说明""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术的指征的选择(DG-3-1-1)等于""其他（用文字说明）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
75,DG-3-2,手术方式选择,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,DG-3-2选择代码表,,,,
76,DG-3-2-2,腹腔镜手术术式选择,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术方式选择(DG-3-2)等于""腹腔镜手术""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DG-3-2-2选择代码表,,,
77,DG-3-2-2-1,其他腹腔镜手术术式,字符串,参考备注,"例:""填写文字说明""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","腹腔镜手术术式选择(DG-3-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
78,DG-3-2-1,其他手术方式,字符串,参考备注,"例:""填写文字说明""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术方式选择(DG-3-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
79,DG-3-3-3,手术持续时间(分钟),数值,否,例:10,"治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","日期差值计算公式:手术结束（缝皮结束）日期时间(CM-0-2-6-2)-手术开始（切皮）日期时间 (CM-0-2-6-1),单位:分钟",,,,,,
80,DG-4-1-1,手术治疗的患者,字符串,参考备注,"例:""y""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,DG-4-1-1选择代码表,,,,
81,DG-4-1-2,药物治疗的患者,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术治疗的患者(DG-4-1-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DG-4-1-2选择代码表,,,
82,CM-1-2-1-2,预防性抗菌药物选择,数组,参考备注,"例:[""a"",""b""]","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术治疗的患者(DG-4-1-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-1-2选择代码表,,,
83,CM-1-2-2-2,选择碳青霉烯类及替加环素等特殊使用级抗菌药物,数组,参考备注,"例:[""a"",""b""]","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术治疗的患者(DG-4-1-1)等于""否""(n)时无需填写;","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等特殊使用级抗菌药物""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-2-2选择代码表,,
84,CM-1-2-2-1,其他特殊使用级抗菌药物名称,字符串,参考备注,"例:""填写文字说明""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术治疗的患者(DG-4-1-1)等于""否""(n)时无需填写;","选择碳青霉烯类及替加环素等特殊使用级抗菌药物 (CM-1-2-2-2)等于""其他特殊使用级抗菌药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,,
85,CM-1-3-1-2,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素,数组,参考备注,"例:[""a"",""b""]","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术治疗的患者(DG-4-1-1)等于""否""(n)时无需填写;","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等特殊使用级抗菌药物""(g)时必填;","预防性抗菌药物选择(CM-1-2-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-3-1-2选择代码表,
86,CM-1-3-1-1,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素填写,字符串,参考备注,"例:""填写文字说明""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术治疗的患者(DG-4-1-1)等于""否""(n)时无需填写;","选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素(CM-1-3-1-2)等于""其他因素""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,,
87,CM-1-4-1,使用首剂抗菌药物起始时间,字符串,参考备注,"例:""1970-01-01 12:00""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术治疗的患者(DG-4-1-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,使用首剂抗菌药物起始时间应大于入院日期时间,,,,
88,CM-1-5-1,手术时间是否≥3小时,字符串,参考备注,"例:""y""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术治疗的患者(DG-4-1-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-1选择代码表,,,
89,CM-1-5-2,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术治疗的患者(DG-4-1-1)等于""否""(n)时无需填写;","手术时间是否≥3小时(CM-1-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-2选择代码表,,
90,CM-1-5-3,术中出血量是否≥1500ml,字符串,参考备注,"例:""y""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术治疗的患者(DG-4-1-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-3选择代码表,,,
91,CM-1-5-4,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术治疗的患者(DG-4-1-1)等于""否""(n)时无需填写;","术中出血量是否≥1500ml(CM-1-5-3)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-4选择代码表,,
92,CM-1-6-1,术后抗菌药物停止使用时间,字符串,参考备注,"例:""1970-01-01 12:00""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术治疗的患者(DG-4-1-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,术后抗菌药物停止使用时间应小于出院日期时间;,术后抗菌药物停止使用时间应大于等于术前使用首剂抗菌药物起始时间,,,
93,CM-1-6-2,使用抗菌药物时间使用时间分层,字符串,否,"例:""a""","该字段无需用户填写,由系统自动生成;",见,CM-1-6-2选择代码表,,,,,
94,CM-1-6-3-2,术后72小时之后继续使用的原因,数组,参考备注,"例:[""a"",""b""]","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术治疗的患者(DG-4-1-1)等于""否""(n)时无需填写;","使用抗菌药物时间使用时间分层(CM-1-6-2)等于""术后72小时之后继续使用""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-6-3-2选择代码表,,
95,CM-2-1,是否有手术后并发症,字符串,参考备注,"例:""y""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-1选择代码表,,,,
96,CM-2-2,手术后并发症类别及ICD-10四位亚目的选择,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-2选择代码表,,,
97,CM-2-3-1-1,其他手术后并发症类别及ICD-10四位亚目和名称填写,字符串,参考备注,"例:""填写文字说明""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""其他 (用ICD-10四位亚目和名称说明)""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
98,CM-2-3-1,介入操作与手术其他并发症,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术并发症(O04.5，T81.1，T81.2，T81.3，T81.7，T81.8)""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-1选择代码表,,,
99,CM-2-3-2,手术患者手术后肺栓塞,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后肺栓塞(I26.9，O04.2，O07.2，O88.2)""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-2选择代码表,,,
100,CM-2-3-3,手术患者手术后深静脉血栓,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后深静脉血栓(I80.2，I82.8，O22.3，O87.1)""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-3选择代码表,,,
101,CM-2-3-4,手术患者手术后败血症,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后败血症(T81.4)""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-4选择代码表,,,
102,CM-2-3-5,手术患者手术后出血或血肿,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后出血或血肿(O04.1，O04.6，O04.8，O07.1，O07.6，T81.0)""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-5选择代码表,,,
103,CM-2-3-6,手术患者手术伤口裂开,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术伤口裂开(T81.3)""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-6选择代码表,,,
104,CM-2-3-7,手术患者猝死,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者猝死（手术后24小时内死亡）(R96.0，R96.1)""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-7选择代码表,,,
105,CM-2-3-8,手术患者手术后呼吸道并发症,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后呼吸道并发症(J95.0至J95.9，J96.0，J96.9)""(h)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-8选择代码表,,,
106,CM-2-3-9,手术患者手术后生理/代谢紊乱,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后生理/代谢紊乱(E86.x0，E87.0至E87.8，E88.8，E88.9，E89.0至E89.9)""(i)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-9选择代码表,,,
107,CM-2-3-10,与手术/操作相关感染,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""与手术/操作相关感染(O04.0，O07.0，T81.4)""(j)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-10选择代码表,,,
