序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,
25,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,
26,DDH-1-1-1,临床表现与体征,数组,是,"例:[""a"",""b""]",见,DDH-1-1-1选择代码表,,,
27,DDH-1-1-1-1,其他临床表现与体征,字符串,参考备注,"例:""填写文字说明""","临床表现与体征(DDH-1-1-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
28,DDH-1-1-2,病患侧别,字符串,是,"例:""a""",见,DDH-1-1-2选择代码表,,,
29,DDH-1-2-1,检查项目,字符串,是,"例:""a""",见,DDH-1-2-1选择代码表,,,
30,DDH-1-2-1-1,X线双髋关节正位片,数组,参考备注,"例:[""a"",""b""]","检查项目(DDH-1-2-1)等于""X线双髋关节正位片""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DDH-1-2-1-1选择代码表,
31,DDH-1-2-1-3,髋关节超声检查,字符串,参考备注,"例:""a""","检查项目(DDH-1-2-1)等于""髋关节超声检查""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DDH-1-2-1-3选择代码表,
32,DDH-1-2-1-2,CT三维重建,数组,参考备注,"例:[""a"",""b""]","检查项目(DDH-1-2-1)等于""CT三维重建""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DDH-1-2-1-2选择代码表,
33,DDH-2-1-1,I期手术治疗术式选择,字符串,是,"例:""a""",见,DDH-2-1-1选择代码表,,,
34,DDH-2-1-1-1,切开复位,字符串,参考备注,"例:""a""","I期手术治疗术式选择(DDH-2-1-1)等于""切开复位""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DDH-2-1-1-1选择代码表,
35,DDH-2-1-1-2,其他切开复位术式,字符串,参考备注,"例:""填写文字说明""","切开复位(DDH-2-1-1-1)等于""其他术式""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
36,DDH-2-1-1-3,骨盆截骨术式(改变髋臼方向),字符串,参考备注,"例:""a""","I期手术治疗术式选择(DDH-2-1-1)等于""骨盆截骨术式(改变髋臼方向)""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DDH-2-1-1-3选择代码表,
37,DDH-2-1-1-4,其他改变髋臼方向术式,字符串,参考备注,"例:""填写文字说明""","骨盆截骨术式(改变髋臼方向)(DDH-2-1-1-3)等于""其他术式""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
38,DDH-2-1-1-5,骨盆截骨术式(改变髋臼形态),字符串,参考备注,"例:""a""","I期手术治疗术式选择(DDH-2-1-1)等于""骨盆截骨术式(改变髋臼形态)""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DDH-2-1-1-5选择代码表,
39,DDH-2-1-1-6,其他改变髋臼形态术式,字符串,参考备注,"例:""填写文字说明""","骨盆截骨术式(改变髋臼形态)(DDH-2-1-1-5)等于""其他术式""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
40,DDH-2-1-1-7,姑息治疗(放弃复位)常用术式,字符串,参考备注,"例:""a""","I期手术治疗术式选择(DDH-2-1-1)等于""姑息治疗(放弃复位)常用术式""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DDH-2-1-1-7选择代码表,
41,DDH-2-1-1-8,其他放弃复位常用术式,字符串,参考备注,"例:""填写文字说明""","姑息治疗(放弃复位)常用术式(DDH-2-1-1-7)等于""其他术式""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
42,DDH-2-1-1-9,股骨近端（转子间、转子下）短缩截骨,字符串,参考备注,"例:""a""","I期手术治疗术式选择(DDH-2-1-1)等于""股骨近端（转子间、转子下）短缩截骨""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DDH-2-1-1-9选择代码表,
43,DDH-2-1-1-10,其他股骨近端短缩截骨术式,字符串,参考备注,"例:""填写文字说明""","股骨近端（转子间、转子下）短缩截骨(DDH-2-1-1-9)等于""其他术式""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
44,DDH-2-1-1-11,其他术式,字符串,参考备注,"例:""填写文字说明""","I期手术治疗术式选择(DDH-2-1-1)等于""其他术式""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
45,DDH-2-1-2,术后处理,数组,是,"例:[""a"",""b""]",见,DDH-2-1-2选择代码表,,,
46,DDH-2-1-2-1,其他术后处理,字符串,参考备注,"例:""填写文字说明""","术后处理(DDH-2-1-2)等于""其他术后处理""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
47,CM-1-1-1,是否使用预防性抗菌药物,字符串,是,"例:""y""",见,CM-1-1-1选择代码表,,,
48,CM-1-2-1-2,预防性抗菌药物选择,字符串,参考备注,"例:""a""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-1-2选择代码表,
49,CM-1-2-2-2,选择碳青霉烯类及替加环素等特殊使用级抗菌药物,字符串,参考备注,"例:""a""","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等《特殊使用级抗菌药物》""(g)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-2-2选择代码表,
50,CM-1-2-2-1,其他特殊使用级抗菌药物名称,字符串,参考备注,"例:""填写文字说明""","选择碳青霉烯类及替加环素等特殊使用级抗菌药物 (CM-1-2-2-2)等于""其他《特殊使用级抗菌药物》""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,
51,CM-1-3-1-2,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素,数组,参考备注,"例:[""a"",""b""]","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等《特殊使用级抗菌药物》""(g)时必填;","预防性抗菌药物选择(CM-1-2-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-3-1-2选择代码表
52,CM-1-3-1-1,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素填写,字符串,参考备注,"例:""填写文字说明""","选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素(CM-1-3-1-2)等于""其他因素""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,
53,CM-1-4-1,使用首剂抗菌药物起始时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,使用首剂抗菌药物起始时间应大于入院日期时间,,
54,CM-1-5-1,手术时间是否≥3小时,字符串,参考备注,"例:""y""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-1选择代码表,
55,CM-1-5-2,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","手术时间是否≥3小时(CM-1-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-2选择代码表,
56,CM-1-5-3,术中出血量是否≥1500ml,字符串,参考备注,"例:""y""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-3选择代码表,
57,CM-1-5-4,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","术中出血量是否≥1500ml(CM-1-5-3)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-4选择代码表,
58,CM-1-6-1,术后抗菌药物停止使用时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,术后抗菌药物停止使用时间应大于等于使用首剂抗菌药物起始时间;,术后抗菌药物停止使用时间应小于出院日期时间,
59,CM-1-6-2,使用抗菌药物时间使用时间分层,字符串,否,"例:""a""","该字段无需用户填写,由系统自动生成;",见,CM-1-6-2选择代码表,,
60,CM-1-6-3-2,术后72小时之后继续使用的原因,字符串,参考备注,"例:""a""","使用抗菌药物时间使用时间分层(CM-1-6-2)等于""术后72小时之后继续使用""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-6-3-2选择代码表,
61,CM-2-1,是否有手术后并发症,字符串,是,"例:""y""",见,CM-2-1选择代码表,,,
62,CM-2-2,手术后并发症类别及ICD-10四位亚目的选择,数组,参考备注,"例:[""a"",""b""]","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-2选择代码表,
63,CM-2-3-1,介入操作与手术其他并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术并发症(O04.5，T81.1，T81.2，T81.3，T81.7，T81.8)""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-1选择代码表,
64,CM-2-3-2,手术患者手术后肺栓塞,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后肺栓塞(I26.9，O04.2，O07.2，O88.2)""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-2选择代码表,
65,CM-2-3-3,手术患者手术后深静脉血栓,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后深静脉血栓(I80.2，I82.8，O22.3，O87.1)""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-3选择代码表,
66,CM-2-3-4,手术患者手术后败血症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后败血症(T81.4)""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-4选择代码表,
67,CM-2-3-5,手术患者手术后出血或血肿,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后出血或血肿(O04.1，O04.6，O04.8，O07.1，O07.6，T81.0)""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-5选择代码表,
68,CM-2-3-6,手术患者手术伤口裂开,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术伤口裂开(T81.3)""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-6选择代码表,
69,CM-2-3-7,手术患者猝死,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者猝死（手术后24小时内死亡）(R96.0，R96.1)""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-7选择代码表,
70,CM-2-3-8,手术患者手术后呼吸道并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后呼吸道并发症(J95.0至J95.9，J96.0，J96.9)""(h)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-8选择代码表,
71,CM-2-3-9,手术患者手术后生理/代谢紊乱,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后生理/代谢紊乱(E86.x0，E87.0至E87.8，E88.8，E88.9，E89.0至E89.9)""(i)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-9选择代码表,
72,CM-2-3-10,与手术/操作相关感染,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""与手术/操作相关感染(O04.0，O07.0，T81.4)""(j)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-10选择代码表,
73,CM-2-3-11,手术过程中异物遗留,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术过程中异物遗留(T81.5)""(k)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-11选择代码表,
74,CM-2-3-12,麻醉并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""麻醉并发症(T88.2，T88.3，T88.4，T88.5)""(l)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-12选择代码表,
75,CM-2-3-13,输注、输血反应,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""输注、输血反应(T80.0至T80.9)""(m)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-13选择代码表,
76,DDH-4-1-2-1,住院患者发生压疮,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""住院患者发生压疮(L89.0至L89.9)""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DDH-4-1-2-1选择代码表,
77,DDH-4-1-2-2,肌肉骨骼系统术后并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""肌肉骨骼系统术后并发症(M96.0至M96.9)""(o)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DDH-4-1-2-2选择代码表,
78,DDH-4-1-2-3,骨科植入物的并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""骨科植入物的并发症（不包括脓毒症）(T84.0至T84.9)""(p)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DDH-4-1-2-3选择代码表,
79,CM-2-3-1-1,其他手术后并发症类别及ICD-10四位亚目和名称填写,字符串,参考备注,"例:""填写文字说明""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
80,DDH-4-2-1,是否有残余畸形,字符串,是,"例:""UTD""",默认初始化值:UTD见,DDH-4-2-1选择代码表,,,
81,DDH-4-2-2,主要的残余畸形,数组,参考备注,"例:[""a"",""b""]","是否有残余畸形(DDH-4-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DDH-4-2-2选择代码表,
82,DDH-4-2-2-1,其他残余畸形,字符串,参考备注,"例:""填写文字说明""","主要的残余畸形(DDH-4-2-2)等于""其他残余畸形""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
83,CM-2-4,影响程度的选择,字符串,参考备注,"例:""a""","是否有残余畸形(DDH-4-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-4选择代码表,
84,CM-3-1,手术野皮肤准备常用方法的选择,字符串,是,"例:""a""",见,CM-3-1选择代码表,,,
85,CM-3-2,使用含抗菌剂（三氯生）缝线,字符串,是,"例:""a""",见,CM-3-2选择代码表,,,
86,CM-3-2-1,其他含抗菌剂缝线填写,字符串,参考备注,"例:""填写文字说明""","使用含抗菌剂（三氯生）缝线(CM-3-2)等于""其他含抗菌剂（三氯生）缝线""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
87,CM-3-3,手术切口类别的选择,字符串,是,"例:""a""",见,CM-3-3选择代码表,,,
88,CM-3-4,手术切口愈合情况的选择,字符串,是,"例:""a""",见,CM-3-4选择代码表,,,
89,CM-4-3,离院方式选择,字符串,是,"例:""a""",见,CM-4-3选择代码表,,,
90,CM-4-5,非医嘱离院可能涉及因素,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""非医嘱离院""(d)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-5选择代码表,
91,CM-4-4-1,其他非医嘱离院因素填写,字符串,参考备注,"例:""填写文字说明""","非医嘱离院可能涉及因素(CM-4-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,
92,CM-4-6,死亡可能涉及因素,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-6选择代码表,
93,CM-7-1-1,术前健康教育,数组,是,"例:[""a"",""b""]",见,CM-7-1-1选择代码表,,,
94,DDH-7-1-1,术前其他健康教育,字符串,参考备注,"例:""填写文字说明""","术前健康教育(CM-7-1-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,,
95,CM-7-1-2,术后健康教育,数组,是,"例:[""a"",""b""]",见,CM-7-1-2选择代码表,,,
96,DDH-7-1-2,术后其他健康教育,字符串,参考备注,"例:""填写文字说明""","术后健康教育(CM-7-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,,
97,CM-7-2-1,交与患者“出院小结”的副本告知患者出院时风险因素,数组,是,"例:[""a"",""b""]",见,CM-7-2-1选择代码表,,,
98,DDH-7-2-1-1,其他告知患者出院时风险因素,字符串,参考备注,"例:""填写文字说明""","交与患者“出院小结”的副本告知患者出院时风险因素(CM-7-2-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,,
99,CM-7-2-2,出院带药,数组,是,"例:[""a"",""b""]",见,CM-7-2-2选择代码表,,,
100,CM-7-2-3,告知何为发生紧急意外情况或者疾病复发,数组,是,"例:[""a"",""b""]",见,CM-7-2-3选择代码表,,,
101,DDH-7-2-3-1,其他发生紧急意外情况或者疾病复发,字符串,参考备注,"例:""填写文字说明""","告知何为发生紧急意外情况或者疾病复发(CM-7-2-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
102,CM-7-2-4,告知发生紧急意外情况或者疾病复发如何救治及前途经,数组,是,"例:[""a"",""b""]",见,CM-7-2-4选择代码表,,,
103,DDH-7-2-4-1,其他发生紧急意外情况或者疾病复发如何救治及前途经,字符串,参考备注,"例:""填写文字说明""","告知发生紧急意外情况或者疾病复发如何救治及前途经(CM-7-2-4)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
104,CM-7-2-5,出院时教育与随访,数组,是,"例:[""a"",""b""]",见,CM-7-2-5选择代码表,,,
105,DDH-7-2-5-1,其他教育与随访,字符串,参考备注,"例:""填写文字说明""","出院时教育与随访(CM-7-2-5)等于""其他""(oth)时可填写;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,
106,CM-5-1,患儿家长是否对服务的体验与评价,字符串,是,"例:""y""",见,CM-5-1选择代码表,,,
107,CM-5-2-1,整体医院评级,字符串,参考备注,"例:""a""","患儿家长是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-1选择代码表,
108,CM-5-2-2,患儿家长推荐,字符串,参考备注,"例:""a""","患儿家长是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-2选择代码表,
109,CM-5-2-3,病房、床单元和卫生间清洁度,字符串,参考备注,"例:""a""","患儿家长是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-3选择代码表,
110,CM-5-2-5,病房与周边噪音,字符串,参考备注,"例:""a""","患儿家长是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-5选择代码表,
111,CM-5-2-6,医生沟通,字符串,参考备注,"例:""a""","患儿家长是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-6选择代码表,
112,CM-5-2-7,护士沟通,字符串,参考备注,"例:""a""","患儿家长是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-7选择代码表,
113,CM-5-2-8,药师沟通,字符串,参考备注,"例:""a""","患儿家长是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-8选择代码表,
114,CM-5-2-9,康复计划,字符串,参考备注,"例:""a""","患儿家长是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-9选择代码表,
115,CM-5-2-10,出院时的知情告知,字符串,参考备注,"例:""a""","患儿家长是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-10选择代码表,
116,CM-5-2-11,膳食评价,字符串,参考备注,"例:""a""","患儿家长是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-11选择代码表,
117,CM-6-1,住院总费用,数值,是,例:10,住院总费用要大于0;,住院总费用要小于1000000;,住院总费用应大于等于各项费用之和,,
118,CM-6-2,住院总费用其中自付金额,数值,是,例:10,自付金额要,自付金额应≤住院总费用,,,
119,CM-6-3,一般医疗服务费,数值,是,例:10,一般医疗服务费要,,,,
120,CM-6-4,一般治疗操作费,数值,是,例:10,一般治疗操作费要,,,,
121,CM-6-5,护理费,数值,是,例:10,护理费要,,,,
122,CM-6-6,综合医疗服务类其他费用,数值,是,例:10,综合医疗服务类其他费用要≥0,,,,
123,CM-6-7,病理诊断费,数值,是,例:10,病理诊断费要≥0,,,,
124,CM-6-8,实验室诊断费,数值,是,例:10,实验室诊断费要≥0,,,,
125,CM-6-9,影像学诊断费,数值,是,例:10,影像学诊断费要≥0,,,,
126,CM-6-10,临床诊断项目费,数值,是,例:10,临床诊断项目费要≥0,,,,
127,CM-6-11,非手术治疗项目费,数值,是,例:10,非手术治疗项目费要≥0,,,,
128,CM-6-12,其中：临床物理治疗费,数值,是,例:10,临床物理治疗费要≥0,,,,
129,CM-6-13,手术治疗费,数值,是,例:10,手术治疗费要≥0,,,,
130,CM-6-14,其中：麻醉费,数值,是,例:10,麻醉费要≥0,,,,
131,CM-6-15,其中：手术费,数值,是,例:10,手术费要≥0,,,,
132,CM-6-16,康复费,数值,是,例:10,康复费要≥0,,,,
133,CM-6-17,中医治疗费,数值,是,例:10,中医治疗费要≥0,,,,
134,CM-6-18,西药费,数值,是,例:10,西药费要≥0,,,,
135,CM-6-19,其中：抗菌药物费,数值,是,例:10,抗菌药物费要≥0,,,,
136,CM-6-20,中成药费,数值,是,例:10,中成药费要≥0,,,,
137,CM-6-21,中草药费,数值,是,例:10,中草药费要≥0,,,,
138,CM-6-22,血费,数值,是,例:10,血费要≥0,,,,
139,CM-6-23,白蛋白类制品费,数值,是,例:10,白蛋白类制品费要≥0,,,,
140,CM-6-24,球蛋白类制品费,数值,是,例:10,球蛋白类制品费要≥0,,,,
141,CM-6-25,凝血因子类制品费,数值,是,例:10,凝血因子类制品费要≥0,,,,
142,CM-6-26,细胞因子类制品费,数值,是,例:10,细胞因子类制品费要≥0,,,,
143,CM-6-27,检查用一次性医用材料费,数值,是,例:10,检查用一次性医用材料费要≥0,,,,
144,CM-6-28,治疗用一次性医用材料费,数值,是,例:10,治疗用一次性医用材料费要≥0,,,,
145,CM-6-29,手术用一次性医用材料费,数值,是,例:10,手术用一次性医用材料费要≥0,,,,
,CM-6-30,其他费,数值,是,例:10,其他费要≥0,,,,
