序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,
45,HD-1-0-4-4,二月份透析用水内毒素合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-0-4-4选择代码表,,
46,HD-1-0-4-6,三月份透析用水内毒素合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-0-4-6选择代码表,,
47,HD-1-1-1-1,1季度/是否改变通路,字符串,参考备注,"例:""y""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-1-1-1选择代码表,,
48,HD-1-1-1-2,1季度/血管通路类型,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-1-1-2选择代码表,,
49,HD-1-1-1-3,其他血管通路类型,字符串,参考备注,"例:""填写文字说明""","1季度/血管通路类型(HD-1-1-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
50,HD-1-1-1-4,该血管通路开始使用时间,字符串,参考备注,"例:""1970-01-01""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
51,HD-1-1-1-5,1季度/通路改变原因,数组,参考备注,"例:[""a"",""b""]","1季度/是否改变通路(HD-1-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-1-1-5选择代码表,,
52,HD-1-1-1-6,通路改变其他原因,字符串,参考备注,"例:""填写文字说明""","1季度/通路改变原因(HD-1-1-1-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
53,HD-1-2-1-1,1季度/检查日期,字符串,参考备注,"例:""1970-01-01""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
54,HD-1-2-1-2,1季度/透析前SBP(mmHg),数值,参考备注,例:10,"请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,透析前SBP填写范围(50~300);,透析前SBP填写范围(50~300),,
55,HD-1-2-1-3,1季度/透析前DBP(mmHg),数值,参考备注,例:10,"请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,透析前DBP填写范围(20~200);,透析前DBP填写范围(20~200);,透析前DBP应小于等于透析前SBP,
56,HD-1-3-1-1,透析治疗频次,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-3-1-1选择代码表,,
57,HD-1-3-1-2,其他透析治疗频次,字符串,参考备注,"例:""填写文字说明""","透析治疗频次(HD-1-3-1-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
58,HD-1-3-1-3,透析治疗时间,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-3-1-3选择代码表,,
59,HD-1-3-1-4,检查日期,字符串,参考备注,"例:""1970-01-01""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
60,HD-1-3-1-6,透后体重(kg),数值,参考备注,例:10,"请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
61,HD-1-3-1-7,超滤量(L),数值,参考备注,例:10,"请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
62,HD-1-3-1-8,透前血尿素氮(mmol/L),数值,参考备注,例:10,"请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
63,HD-1-3-1-9,透后血尿素氮(mmol/L),数值,参考备注,例:10,"请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
64,HD-1-3-1-10,URR(%),数值,否,例:10,"请选择上报季度(HD-0-1-1)等于""第一季度""(a)时可填写;",,,,,
65,HD-1-3-1-11,spKt/V,数值,否,例:10,"请选择上报季度(HD-0-1-1)等于""第一季度""(a)时可填写;",,,,,
66,HD-1-4-1-1,实验室指标选择,数组,参考备注,"例:[""a"",""b""]","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-4-1-1选择代码表,,
67,HD-1-4-1-2,血常规_检查日期,字符串,参考备注,"例:""1970-01-01""","实验室指标选择(HD-1-4-1-1)等于""肾性贫血控制情况""(a)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
68,HD-1-4-1-3,血红蛋白_检测结果(g/L),数值,参考备注,例:10,"实验室指标选择(HD-1-4-1-1)等于""肾性贫血控制情况""(a)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,血红蛋白检测填写范围(10~200);,血红蛋白检测填写范围(10~200),
69,HD-1-4-1-4,铁代谢_检查日期,字符串,参考备注,"例:""1970-01-01""","实验室指标选择(HD-1-4-1-1)等于""肾性贫血控制情况""(a)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
70,HD-1-4-1-5,转铁饱和度_检测结果(%),数值,参考备注,例:10,"实验室指标选择(HD-1-4-1-1)等于""肾性贫血控制情况""(a)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,转铁饱和度检测填写范围(1~3000);,转铁饱和度检测填写范围(1~3000),
71,HD-1-4-1-6,铁蛋白_检测结果(μg/L),数值,参考备注,例:10,"实验室指标选择(HD-1-4-1-1)等于""肾性贫血控制情况""(a)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,铁蛋白检测填写范围(10~2000);,铁蛋白检测填写范围(10~2000),
72,HD-1-4-2-1,钙磷代谢_检查日期,字符串,参考备注,"例:""1970-01-01""","实验室指标选择(HD-1-4-1-1)等于""CKD-MBD控制情况""(b)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
73,HD-1-4-2-2,血钙_检测结果(mmol/L),数值,参考备注,例:10,"实验室指标选择(HD-1-4-1-1)等于""CKD-MBD控制情况""(b)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,血钙检测填写范围(0~10);,血钙检测填写范围(0~10),
74,HD-1-4-2-3,血磷_检测结果(mmol/L),数值,参考备注,例:10,"实验室指标选择(HD-1-4-1-1)等于""CKD-MBD控制情况""(b)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,血磷检测填写范围(0~10);,血磷检测填写范围(0~10),
75,HD-1-4-2-4,甲状旁腺激素(PTH)_检查日期,字符串,参考备注,"例:""1970-01-01""","实验室指标选择(HD-1-4-1-1)等于""CKD-MBD控制情况""(b)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
76,HD-1-4-2-5,PTH_检测结果(pg/mL),数值,参考备注,例:10,"实验室指标选择(HD-1-4-1-1)等于""CKD-MBD控制情况""(b)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,PTH检测填写范围(5~5000);,PTH检测填写范围(5~5000),
77,HD-1-4-3-1,血清白蛋白_检查日期,字符串,参考备注,"例:""1970-01-01""","实验室指标选择(HD-1-4-1-1)等于""血清白蛋白控制情况""(c)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
78,HD-1-4-3-2,血清白蛋白_检测结果(g/L),数值,参考备注,例:10,"实验室指标选择(HD-1-4-1-1)等于""血清白蛋白控制情况""(c)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,血清白蛋白检测填写范围(10~100);,血清白蛋白检测填写范围(10~100),
79,HD-1-4-4-1,C反应蛋白_检查日期,字符串,参考备注,"例:""1970-01-01""","实验室指标选择(HD-1-4-1-1)等于""营养与炎症指标""(d)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
80,HD-1-4-4-2,C反应蛋白_检测结果(mg/dL),数值,参考备注,例:10,"实验室指标选择(HD-1-4-1-1)等于""营养与炎症指标""(d)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,C反应蛋白检测填写范围(0~100);,C反应蛋白检测填写范围(0~100),
81,HD-1-4-4-3,前白蛋白_检查日期,字符串,参考备注,"例:""1970-01-01""","实验室指标选择(HD-1-4-1-1)等于""营养与炎症指标""(d)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
82,HD-1-4-4-4,前白蛋白_检测结果(mg/dL),数值,参考备注,例:10,"实验室指标选择(HD-1-4-1-1)等于""营养与炎症指标""(d)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,前白蛋白检测填写范围(0~200);,前白蛋白检测填写范围(0~200),
83,HD-1-4-4-5,β2微球蛋白_检查日期,字符串,参考备注,"例:""1970-01-01""","实验室指标选择(HD-1-4-1-1)等于""营养与炎症指标""(d)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
84,HD-1-4-4-6,β2微球蛋白_检测结果(mg/dL),数值,参考备注,例:10,"实验室指标选择(HD-1-4-1-1)等于""营养与炎症指标""(d)时可填写;","实验室指标选择(HD-1-4-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,β2微球蛋白检测填写范围(0~100);,β2微球蛋白检测填写范围(0~100),
85,HD-1-5-1-1,血源性传染病标志物检查,数组,参考备注,"例:[""a"",""b""]","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-5-1-1选择代码表,,
86,HD-1-5-1-2,乙肝标志物_检查日期,字符串,参考备注,"例:""1970-01-01""","血源性传染病标志物检查(HD-1-5-1-1)等于""乙肝标志物""(a)时可填写;","血源性传染病标志物检查(HD-1-5-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
87,HD-1-5-1-3,HBsAg_检测结果,字符串,参考备注,"例:""a""","血源性传染病标志物检查(HD-1-5-1-1)等于""乙肝标志物""(a)时可填写;","血源性传染病标志物检查(HD-1-5-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-5-1-3选择代码表,
88,HD-1-5-1-4,丙肝标志物_检查日期,字符串,参考备注,"例:""1970-01-01""","血源性传染病标志物检查(HD-1-5-1-1)等于""丙肝标志物""(b)时可填写;","血源性传染病标志物检查(HD-1-5-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
89,HD-1-5-1-5,AntiHCV_检测结果,字符串,参考备注,"例:""a""","血源性传染病标志物检查(HD-1-5-1-1)等于""丙肝标志物""(b)时可填写;","血源性传染病标志物检查(HD-1-5-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-5-1-5选择代码表,
90,HD-1-5-1-6,HIV标志物_检查日期,字符串,参考备注,"例:""1970-01-01""","血源性传染病标志物检查(HD-1-5-1-1)等于""HIV标志物""(c)时可填写;","血源性传染病标志物检查(HD-1-5-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
91,HD-1-5-1-7,HIV抗体_检测结果,字符串,参考备注,"例:""a""","血源性传染病标志物检查(HD-1-5-1-1)等于""HIV标志物""(c)时可填写;","血源性传染病标志物检查(HD-1-5-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-5-1-7选择代码表,
92,HD-1-5-1-8,梅毒标志物_检查日期,字符串,参考备注,"例:""1970-01-01""","血源性传染病标志物检查(HD-1-5-1-1)等于""梅毒标志物""(d)时可填写;","血源性传染病标志物检查(HD-1-5-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
93,HD-1-5-1-9,梅毒_检测结果,字符串,参考备注,"例:""a""","血源性传染病标志物检查(HD-1-5-1-1)等于""梅毒标志物""(d)时可填写;","血源性传染病标志物检查(HD-1-5-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-5-1-9选择代码表,
94,HD-1-6-1-1,是否为患者提供血液透析治疗健康教育,字符串,参考备注,"例:""UTD""","请选择上报季度(HD-0-1-1)等于""第一季度""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,HD-1-6-1-1选择代码表,,
95,HD-1-6-1-2,血液透析治疗前健康教育,字符串,参考备注,"例:""UTD""","是否为患者提供血液透析治疗健康教育(HD-1-6-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-6-1-2选择代码表,,
96,HD-1-6-1-3,血液透析治疗后健康教育,字符串,参考备注,"例:""UTD""","是否为患者提供血液透析治疗健康教育(HD-1-6-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-1-6-1-3选择代码表,,
97,HD-2-0-3-1,四月份治疗室空气平均菌落数合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-0-3-1选择代码表,,
98,HD-2-0-3-3,五月份治疗室空气平均菌落数合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-0-3-3选择代码表,,
99,HD-2-0-3-5,六月份治疗室空气平均菌落数合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-0-3-5选择代码表,,
100,HD-2-0-3-2,四月份物品表面平均菌落数合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-0-3-2选择代码表,,
101,HD-2-0-3-4,五月份物品表面平均菌落数合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-0-3-4选择代码表,,
102,HD-2-0-3-6,六月份物品表面平均菌落数合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-0-3-6选择代码表,,
103,HD-2-0-4-1,四月份透析用水细菌培养合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-0-4-1选择代码表,,
104,HD-2-0-4-3,五月份透析用水细菌培养合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-0-4-3选择代码表,,
105,HD-2-0-4-5,六月份透析用水细菌培养合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-0-4-5选择代码表,,
106,HD-2-0-4-2,四月份透析用水内毒素合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-0-4-2选择代码表,,
107,HD-2-0-4-4,五月份透析用水内毒素合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-0-4-4选择代码表,,
108,HD-2-0-4-6,六月份透析用水内毒素合格情况,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-0-4-6选择代码表,,
109,HD-2-1-1-2,2季度/是否改变通路,字符串,参考备注,"例:""y""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-1-1-2选择代码表,,
110,HD-2-1-1-3,2季度/血管通路类型,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-1-1-3选择代码表,,
111,HD-2-1-1-4,其他血管通路类型,字符串,参考备注,"例:""填写文字说明""","2季度/血管通路类型(HD-2-1-1-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
112,HD-2-1-1-5,该血管通路开始使用时间,字符串,参考备注,"例:""1970-01-01""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
113,HD-2-1-1-6,2季度/通路改变原因,数组,参考备注,"例:[""a"",""b""]","2季度/是否改变通路(HD-2-1-1-2)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-1-1-6选择代码表,,
114,HD-2-1-1-7,通路改变其他原因,字符串,参考备注,"例:""填写文字说明""","2季度/通路改变原因(HD-2-1-1-6)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
115,HD-2-2-1-1,2季度/检查日期,字符串,参考备注,"例:""1970-01-01""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
116,HD-2-2-1-2,2季度/透析前SBP(mmHg),数值,参考备注,例:10,"请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,透析前SBP填写范围(50~300);,透析前SBP填写范围(50~300),,
117,HD-2-2-1-3,2季度/透析前DBP(mmHg),数值,参考备注,例:10,"请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,透析前DBP填写范围(20~200);,透析前DBP填写范围(20~200);,透析前DBP应小于等于透析前SBP,
118,HD-2-3-1-1,透析治疗频次,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-3-1-1选择代码表,,
119,HD-2-3-1-2,其他透析治疗频次,字符串,参考备注,"例:""填写文字说明""","透析治疗频次(HD-2-3-1-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
120,HD-2-3-1-3,透析治疗时间,字符串,参考备注,"例:""a""","请选择上报季度(HD-0-1-1)等于""第二季度""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,HD-2-3-1-3选择代码表,,
