序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,,
22,CM-0-2-3-2,到达本院急诊或者门诊日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","到达本院急诊或者门诊日期时间是否无法确定或无记录(CM-0-2-3-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,
23,CM-0-2-4-1,入院日期时间,字符串,是,"例:""1970-01-01 12:00""",,,,,,,
24,CM-0-2-4-2,出院日期时间,字符串,是,"例:""1970-01-01 12:00""",出院日期时间应大于入院日期时间;,住院时间应大于24小时;,住院时间应应小于90天,,,,
25,CM-0-2-5-1,入住ICU/卒中中心日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,,,,,,
26,CM-0-2-5-2,离开ICU/卒中中心日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,离开ICU日期时间应大于入住ICU日期时间,,,,,
27,CM-0-2-6-1,手术开始（切皮）日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,手术开始日期时间应大于入院日期时间,,,,,
28,CM-0-2-6-2,手术结束（缝皮结束）日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,手术结束日期时间应大于手术开始日期时间;,手术结束日期时间应小于出院日期时间,,,,
29,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,,,
30,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,,,
31,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,,,
32,aSAH-1-1-1-1,急诊医师接诊日期是否确定,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-1-1-1-1选择代码表,,,,
33,aSAH-1-1-1,本院急诊医师接诊日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","急诊医师接诊日期是否确定(aSAH-1-1-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,本院急诊医师接诊日期时间应大于到达本院急诊日期时间;,本院急诊医师接诊日期时间应小于出院日期时间,,,
34,aSAH-1-2-1-1,患者基础信息是否确定,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-1-2-1-1选择代码表,,,,
35,aSAH-1-2-1,身高(单位:厘米(cm)),数值,参考备注,例:10,"患者基础信息是否确定(aSAH-1-2-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,身高应大于0,,,,
36,aSAH-1-2-2,体重(单位:公斤(kg)),数值,参考备注,例:10,"患者基础信息是否确定(aSAH-1-2-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,体重应大于0,,,,
37,aSAH-1-2-3,呼吸(单位:次/分),数值,参考备注,例:10,"患者基础信息是否确定(aSAH-1-2-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,呼吸频次应大于0,,,,
38,aSAH-1-2-4,脉搏(单位:次/分),数值,参考备注,例:10,"患者基础信息是否确定(aSAH-1-2-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,脉搏频次应大于0,,,,
39,aSAH-1-2-5,收缩压(单位:mmHg),数值,参考备注,例:10,"患者基础信息是否确定(aSAH-1-2-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,收缩压应大于0,,,,
40,aSAH-1-2-6,舒张压(单位:mmHg),数值,参考备注,例:10,"患者基础信息是否确定(aSAH-1-2-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,舒张压应大于0,,,,
41,aSAH-1-3-1,是否实施首次头部影像学检查,字符串,是,"例:""y""",见,aSAH-1-3-1选择代码表,,,,,
42,aSAH-1-3-2,急诊首次头部影像学检查项目,字符串,参考备注,"例:""a""","是否实施首次头部影像学检查(aSAH-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-1-3-2选择代码表,,,
43,aSAH-1-3-3,CT检查回报日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否实施首次头部影像学检查(aSAH-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,CT检查回报日期时间应大于本院急诊医师接诊日期时间;,CT检查回报日期时间应小于出院日期时间,,,
44,aSAH-2-1-1,是否实施入院Hunt-Hess分级评估,字符串,是,"例:""y""",见,aSAH-2-1-1选择代码表,,,,,
45,aSAH-2-1-4,既往是否有严重的全身疾患,字符串,参考备注,"例:""a""","是否实施入院Hunt-Hess分级评估(aSAH-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-2-1-4选择代码表,,,
46,aSAH-2-1-4-1,既往严重的全身疾患其他,字符串,参考备注,"例:""填写文字说明""","既往是否有严重的全身疾患(aSAH-2-1-4)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
47,aSAH-2-1-2,入院后首次Hunt-Hess分级评估,字符串,参考备注,"例:""a""","是否实施入院Hunt-Hess分级评估(aSAH-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-2-1-2选择代码表,,,
48,aSAH-2-1-3,完成评估日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否实施入院Hunt-Hess分级评估(aSAH-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,完成评估日期时间应大于CT检查回报日期时间;,完成评估日期时间应小于出院日期时间,,,
49,aSAH-3-1-1-2,术前检查项目的选择,数组,是,"例:[""a"",""b""]",见,aSAH-3-1-1-2选择代码表,,,,,
50,aSAH-3-1-1-1,其它术前检查项目,字符串,参考备注,"例:""填写文字说明""","术前检查项目的选择(aSAH-3-1-1-2)等于""其他（用文字说明）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
51,aSAH-3-1-2,完成最后一次的时间,字符串,是,"例:""1970-01-01 12:00""",完成最后一次的时间应大于本院急诊医师接诊日期时间;,完成最后一次的时间应小于出院日期时间,,,,,
52,aSAH-4-2-1,是否入院后实施首次CT血管成像（CTA）,字符串,是,"例:""y""",见,aSAH-4-2-1选择代码表,,,,,
53,aSAH-4-2-2,完成首次CT血管成像（CTA）报告日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否入院后实施首次CT血管成像（CTA）(aSAH-4-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,完成首次CT血管成像（CTA）报告日期时间应小于出院日期时间,,,,
54,aSAH-4-3-1,是否入院后实施首次全脑血管造影术(DSA),字符串,是,"例:""y""",见,aSAH-4-3-1选择代码表,,,,,
55,aSAH-4-3-2,完成首次血管检查（DSA）报告日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否入院后实施首次全脑血管造影术(DSA)(aSAH-4-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,完成首次血管检查（DSA）报告日期时间应小于出院日期时间,,,,
56,aSAH-5-2-1,入院后治疗模式的选择,字符串,是,"例:""a""",见,aSAH-5-2-1选择代码表,,,,,
57,aSAH-5-2-1-1,入院后其他治疗模式,字符串,参考备注,"例:""填写文字说明""","入院后治疗模式的选择(aSAH-5-2-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
58,aSAH-5-1-1,是否术前再次Hunt-Hess分级评估,字符串,是,"例:""y""",见,aSAH-5-1-1选择代码表,,,,,
59,aSAH-5-1-2,术前再次Hunt-Hess再分级,字符串,参考备注,"例:""a""","是否术前再次Hunt-Hess分级评估(aSAH-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-5-1-2选择代码表,,,
60,aSAH-5-1-3,完成评估日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否术前再次Hunt-Hess分级评估(aSAH-5-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,完成评估日期时间应小于出院日期时间,,,,
61,aSAH-6-1-1,手术指征,字符串,是,"例:""a""",见,aSAH-6-1-1选择代码表,,,,,
62,aSAH-6-1-1-1,其他手术指征,字符串,参考备注,"例:""填写文字说明""","手术指征(aSAH-6-1-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
63,aSAH-6-2-1,责任动脉瘤所在的部位,数组,是,"例:[""a"",""b""]",见,aSAH-6-2-1选择代码表,,,,,
64,aSAH-6-2-1-1,责任动脉瘤所在的其他部位,字符串,参考备注,"例:""填写文字说明""","责任动脉瘤所在的部位(aSAH-6-2-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
65,aSAH-6-2-2,多发责任动脉瘤所在部位,数组,否,"例:[""a"",""b""]",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-6-2-2选择代码表,,,,
66,aSAH-6-2-2-1,多发责任动脉瘤所在其他部位,字符串,参考备注,"例:""填写文字说明""","多发责任动脉瘤所在部位(aSAH-6-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
67,aSAH-6-2-3,责任动脉瘤的大小,字符串,是,"例:""a""",见,aSAH-6-2-3选择代码表,,,,,
68,aSAH-6-2-4,手术名称与ICD-9-CM-3亚目编码,数组,是,"例:[""a"",""b""]",见,aSAH-6-2-4选择代码表,,,,,
69,aSAH-6-1-2-1,其它手术名称,字符串,参考备注,"例:""填写文字说明""","手术名称与ICD-9-CM-3亚目编码(aSAH-6-2-4)等于""其他（说明ICD-9-CM-3编码及名称）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,,,,
70,aSAH-7-1-1,是否实施开颅手术术中安全监测措施,字符串,是,"例:""y""",见,aSAH-7-1-1选择代码表,,,,,
71,aSAH-7-1-2,安全监测措施选择,数组,参考备注,"例:[""a"",""d""]","是否实施开颅手术术中安全监测措施(aSAH-7-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-7-1-2选择代码表,,,
72,aSAH-7-1-2-1,其它安全监测措施,字符串,参考备注,"例:""填写文字说明""","安全监测措施选择(aSAH-7-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,,,,
73,CM-1-1-1,是否使用预防性抗菌药物,字符串,是,"例:""y""",见,CM-1-1-1选择代码表,,,,,
74,CM-1-2-1-2,预防性抗菌药物选择,数组,参考备注,"例:[""a"",""b""]","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-1-2选择代码表,,,
75,CM-1-2-2-2,选择碳青霉烯类及替加环素等特殊使用级抗菌药物,数组,参考备注,"例:[""a"",""b""]","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等特殊使用级抗菌药物""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-2-2-2选择代码表,,,
76,CM-1-2-2-1,其他特殊使用级抗菌药物名称,字符串,参考备注,"例:""填写文字说明""","选择碳青霉烯类及替加环素等特殊使用级抗菌药物 (CM-1-2-2-2)等于""其他特殊使用级抗菌药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,,,
77,CM-1-3-1-2,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素,数组,参考备注,"例:[""a"",""b""]","预防性抗菌药物选择(CM-1-2-1-2)等于""碳青霉烯类及替加环素等特殊使用级抗菌药物""(g)时必填;","预防性抗菌药物选择(CM-1-2-1-2)等于""其他（需注明抗菌药物名称）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-3-1-2选择代码表,,
78,CM-1-3-1-1,选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素填写,字符串,参考备注,"例:""填写文字说明""","选用“特殊使用级抗菌药物”或者其他类抗菌药物的因素(CM-1-3-1-2)等于""其他因素""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,不能超过十个字,,,,
79,CM-1-4-1,使用首剂抗菌药物起始时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
80,CM-1-5-1,手术时间是否≥3小时,字符串,参考备注,"例:""y""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-1选择代码表,,,
81,CM-1-5-2,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","手术时间是否≥3小时(CM-1-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-2选择代码表,,,
82,CM-1-5-3,术中出血量是否≥1500ml,字符串,参考备注,"例:""y""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-3选择代码表,,,
83,CM-1-5-4,是否术中追加抗菌药物,字符串,参考备注,"例:""y""","术中出血量是否≥1500ml(CM-1-5-3)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-5-4选择代码表,,,
84,CM-1-6-1,术后抗菌药物停止使用时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用预防性抗菌药物(CM-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,术后抗菌药物停止使用时间应大于等于术前使用首剂抗菌药物起始时间;,术后抗菌药物停止使用时间应小于出院日期时间,,,
85,CM-1-6-2,使用抗菌药物时间使用时间分层,字符串,否,"例:""a""","该字段无需用户填写,由系统自动生成;",见,CM-1-6-2选择代码表,,,,
86,CM-1-6-3-2,术后72小时之后继续使用的原因,数组,参考备注,"例:[""a"",""b""]","使用抗菌药物时间使用时间分层(CM-1-6-2)等于""术后72小时之后继续使用""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-1-6-3-2选择代码表,,,
87,aSAH-9-1-1,是否为特殊类型的急性aSAH患者,字符串,是,"例:""y""",见,aSAH-9-1-1选择代码表,,,,,
88,aSAH-9-1-2,患者类型的选择,字符串,参考备注,"例:""a""","是否为特殊类型的急性aSAH患者(aSAH-9-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-9-1-2选择代码表,,,
89,aSAH-9-2-1,开颅术后是否预防使用抗癫痫药物,字符串,是,"例:""y""",见,aSAH-9-2-1选择代码表,,,,,
90,aSAH-9-2-2,抗癫痫药物选择,数组,参考备注,"例:[""a"",""b""]","开颅术后是否预防使用抗癫痫药物(aSAH-9-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-9-2-2选择代码表,,,
91,aSAH-9-2-2-1,其它抗癫痫药物,字符串,参考备注,"例:""填写文字说明""","抗癫痫药物选择(aSAH-9-2-2)等于""其他（请用不超过十个字的说明）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于10,,,,
92,CM-2-1,是否有手术后并发症,字符串,是,"例:""y""",见,CM-2-1选择代码表,,,,,
93,CM-2-2,手术后并发症类别及ICD-10四位亚目的选择,字符串,参考备注,"例:""a""","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-2选择代码表,,,
94,CM-2-3-1-1,其他手术后并发症类别及ICD-10四位亚目和名称填写,字符串,参考备注,"例:""填写文字说明""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""其他（注明ICD-10编码及名称）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
95,CM-2-3-1,介入操作与手术其他并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术并发症""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-1选择代码表,,,
96,CM-2-3-2,手术患者手术后肺栓塞,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后肺栓塞""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-2选择代码表,,,
97,CM-2-3-3,手术患者手术后深静脉血栓,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后深静脉血栓""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-3选择代码表,,,
98,CM-2-3-4,手术患者手术后败血症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后败血症""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-4选择代码表,,,
99,CM-2-3-5,手术患者手术后出血或血肿,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后出血或血肿""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-5选择代码表,,,
100,CM-2-3-6,手术患者手术伤口裂开,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术伤口裂开""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-6选择代码表,,,
101,CM-2-3-7,手术患者猝死,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者猝死""(g)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-7选择代码表,,,
102,CM-2-3-8,手术患者手术后呼吸道并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后呼吸道并发症""(h)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-8选择代码表,,,
103,CM-2-3-9,手术患者手术后生理/代谢紊乱,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术患者手术后生理/代谢紊乱""(i)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-9选择代码表,,,
104,CM-2-3-10,与手术/操作相关感染,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""与手术/操作相关感染""(j)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-10选择代码表,,,
105,CM-2-3-11,手术过程中异物遗留,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术过程中异物遗留""(k)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-11选择代码表,,,
106,CM-2-3-12,麻醉并发症,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""麻醉并发症""(l)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-12选择代码表,,,
107,CM-2-3-13,输注、输血反应,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""输注、输血反应""(m)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-13选择代码表,,,
108,CM-2-3-14,住院患者发生压疮,字符串,参考备注,"例:""a""","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""住院患者发生压疮""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-14选择代码表,,,
109,aSAH-10-2-2,aSAH术后特指并发症,数组,参考备注,"例:[""a"",""b""]","是否有手术后并发症(CM-2-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-10-2-2选择代码表,,,
110,aSAH-10-2-2-1,其它aSAH术后特指并发症,字符串,参考备注,"例:""填写文字说明""","aSAH术后特指并发症(aSAH-10-2-2)等于""其他（注明ICD-10编码及名称）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于10,,,,
111,CM-2-4,影响程度的选择,字符串,参考备注,"例:""a""","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-4选择代码表,,,
112,aSAH-10-4-1,是否手术后再手术,字符串,参考备注,"例:""y""","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-10-4-1选择代码表,,,
113,aSAH-10-4-2,手术后再手术原因,数组,参考备注,"例:[""a"",""b""]","是否手术后再手术(aSAH-10-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-10-4-2选择代码表,,,
114,aSAH-10-4-2-1,其它手术后再手术原因,字符串,参考备注,"例:""填写文字说明""","手术后再手术原因(aSAH-10-4-2)等于""其他（注明ICD-10编码及名称）""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于10,,,,
115,aSAH-11-1-1,手术中出血量(ml),数值,是,例:10,,,,,,,
116,aSAH-11-1-2,手术中输血量(ml),数值,是,例:10,,,,,,,
117,aSAH-11-1-3,手术后出血量(ml),数值,是,例:10,,,,,,,
118,aSAH-11-1-4,手术后输血量(ml),数值,是,例:10,,,,,,,
119,aSAH-11-2-1,全血(ml),数值,是,例:10,,,,,,,
120,aSAH-11-2-2,成份血(ml),数值,是,例:10,,,,,,,
121,aSAH-11-2-3,血浆(ml),数值,是,例:10,,,,,,,
122,aSAH-12-1-1,是否为术前Hunt-Hess分级 1-2级的患者,字符串,是,"例:""y""",见,aSAH-12-1-1选择代码表,,,,,
123,aSAH-12-1-2,出院前是否实施mRS评分,字符串,参考备注,"例:""y""","是否为术前Hunt-Hess分级 1-2级的患者(aSAH-12-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-12-1-2选择代码表,,,
124,aSAH-12-1-4,出院前mRS评估,字符串,参考备注,"例:""a""","出院前是否实施mRS评分(aSAH-12-1-2)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-12-1-4选择代码表,,,
125,aSAH-12-1-3,出院前mRS评分值,数值,否,例:10,"出院前是否实施mRS评分(aSAH-12-1-2)等于""是""(y)时可填写;",,,,,,
126,aSAH-13-1-1,是否有重点护理评估和健康教育,字符串,是,"例:""y""",见,aSAH-13-1-1选择代码表,,,,,
127,aSAH-13-1-2-1,行走评估结果,字符串,参考备注,"例:""a""","是否有重点护理评估和健康教育(aSAH-13-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-13-1-2-1选择代码表,,,
128,aSAH-13-1-2-2,呼吸评估结果,字符串,参考备注,"例:""a""","是否有重点护理评估和健康教育(aSAH-13-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-13-1-2-2选择代码表,,,
129,aSAH-13-1-2-3,饮食评估结果,字符串,参考备注,"例:""a""","是否有重点护理评估和健康教育(aSAH-13-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-13-1-2-3选择代码表,,,
130,aSAH-13-1-2-4,吞咽评估结果,字符串,参考备注,"例:""a""","是否有重点护理评估和健康教育(aSAH-13-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-13-1-2-4选择代码表,,,
131,aSAH-13-1-2-5-3,压疮评估（Braden评分值）分值是否确定,数组,参考备注,"例:[""UTD""]","是否有重点护理评估和健康教育(aSAH-13-1-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-13-1-2-5-3选择代码表,,,
132,aSAH-13-1-2-5,压疮评估（Braden评分值）分值,数值,参考备注,例:10,"是否有重点护理评估和健康教育(aSAH-13-1-1)等于""是""(y)时必填;","压疮评估（Braden评分值）分值是否确定(aSAH-13-1-2-5-3)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,
133,aSAH-13-1-2-5-1,压疮评估结果选择,字符串,参考备注,"例:""a""","是否有重点护理评估和健康教育(aSAH-13-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,aSAH-13-1-2-5-1选择代码表,,,
