序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,,,,
23,CM-0-2-4-2,出院日期时间,字符串,是,"例:""1970-01-01 12:00""",出院日期时间应大于入院日期时间;,住院时间应大于24小时;,住院时间应应小于90天,,,,,,
24,CM-0-2-5-1,入住卒中中心/ICU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,,,,,,,,
25,CM-0-2-5-2,离开卒中中心/ICU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,离开ICU日期时间应大于入住ICU日期时间,,,,,,,
26,CM-0-2-6-1,手术/介入开始（切皮）日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,手术开始日期时间应大于入院日期时间,,,,,,,
27,CM-0-2-6-2,手术/介入结束（缝皮结束）日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,手术结束日期时间应大于手术开始日期时间;,手术结束日期时间应小于出院日期时间,,,,,,
28,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,,,,,
29,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,,,,,
30,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,,,,,
31,STK-0-4-1,现场评估生命体征，施行急救,字符串,参考备注,"例:""y""","到院交通工具(CM-0-3-3)等于""救护车""(a)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-0-4-1选择代码表,,,,,
32,STK-0-4-2,到达现场后10分钟内完成院前卒中评分,字符串,参考备注,"例:""y""","到院交通工具(CM-0-3-3)等于""救护车""(a)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-0-4-2选择代码表,,,,,
33,STK-0-4-3,现场急救维持生命体征稳定,数组,参考备注,"例:[""a"",""b""]","到院交通工具(CM-0-3-3)等于""救护车""(a)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-0-4-3选择代码表,,,,,
34,STK-0-4-4,利用车载信息系统、微信、彩信等多种形式传输心电图等院前信息至目标医院,字符串,参考备注,"例:""y""","到院交通工具(CM-0-3-3)等于""救护车""(a)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-0-4-4选择代码表,,,,,
35,STK-1-1-1-1,急诊/门诊 医师接诊日期时间是否确定,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,STK-1-1-1-1选择代码表,,,,,,
36,STK-1-1-1-2,急诊/门诊 医师接诊日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","急诊/门诊 医师接诊日期时间是否确定(STK-1-1-1-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,急诊医师接诊日期时间应大于到达本院急诊时间,,,,,,
37,STK-1-1-4,呼吸(次/分),数值,是,例:10,,,,,,,,,
38,STK-1-1-5,脉搏(次/分),数值,是,例:10,,,,,,,,,
39,STK-1-1-6,收缩压(mmHg),数值,是,例:10,,,,,,,,,
40,STK-1-1-7,舒张压(mmHg),数值,是,例:10,,,,,,,,,
41,STK-1-2-1,急诊/门诊后首次评估还是入院后首次评估,字符串,是,"例:""a""",见,STK-1-2-1选择代码表,,,,,,,
42,STK-1-2-1-1,急诊/门诊 首次实施神经功能缺损NIHSS评估,字符串,参考备注,"例:""y""","急诊/门诊后首次评估还是入院后首次评估(STK-1-2-1)等于""急诊""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-1-2-1-1选择代码表,,,,,
43,STK-1-2-1-2-1,急诊/门诊 首次评估日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","急诊/门诊 首次实施神经功能缺损NIHSS评估(STK-1-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,急诊首次评估日期时间应大于到达本院急诊时间,,,,,,
44,STK-1-2-1-3-1,实施神经功能缺损NIHSS评估分值,数值,参考备注,例:10,"急诊/门诊 首次实施神经功能缺损NIHSS评估(STK-1-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,(范围0-42);,(范围0-42),,,,,
45,STK-1-2-2-1,入院后首次实施神经功能缺损NIHSS评估,字符串,参考备注,"例:""y""","急诊/门诊后首次评估还是入院后首次评估(STK-1-2-1)等于""入院后""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-1-2-2-1选择代码表,,,,,
46,STK-1-2-2-2-1,入院后首次评估日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","入院后首次实施神经功能缺损NIHSS评估(STK-1-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,入院后首次评估日期时间应大于到达本院急诊时间,,,,,,
47,STK-1-2-2-3-1,实施神经功能缺损NIHSS评估分值,数值,参考备注,例:10,"入院后首次实施神经功能缺损NIHSS评估(STK-1-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,(范围0-42);,(范围0-42),,,,,
48,STK-1-3-1,是否实施首次头部影像学检查,字符串,是,"例:""y""",见,STK-1-3-1选择代码表,,,,,,,
49,STK-1-3-2,头部影像学检查项目,数组,参考备注,"例:[""a"",""b""]","是否实施首次头部影像学检查(STK-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-1-3-2选择代码表,,,,,
50,STK-1-3-3-1,报告日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否实施首次头部影像学检查(STK-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,急诊头部影像学检查报告日期时间应大于到达本院急诊时间,,,,,,
51,STK-2-1-3,头部影像学检查评估的选择,字符串,参考备注,"例:""b""","是否实施首次头部影像学检查(STK-1-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-2-1-3选择代码表,,,,,
52,STK-2-1-3-1,其他头部影像学检查,字符串,参考备注,"例:""填写文字说明""","头部影像学检查评估的选择(STK-2-1-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,,,,,,
53,STK-1-4-1,全血细胞计数,数组,是,"例:[""a"",""b""]",见,STK-1-4-1选择代码表,,,,,,,
54,STK-1-4-1-3,红血球计数RBC检测值(10^12/L),数值,参考备注,例:10,"全血细胞计数(STK-1-4-1)等于""红血球计数RBC""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
55,STK-1-4-1-4,白细胞计数WBC检测值(10^9/L),数值,参考备注,例:10,"全血细胞计数(STK-1-4-1)等于""白细胞计数WBC""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
56,STK-1-4-1-5,血小板PLT检测值(10E9/L),数值,参考备注,例:10,"全血细胞计数(STK-1-4-1)等于""血小板PLT""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
57,STK-1-4-1-2,急诊/门诊 或入院后首次全血细胞计数报告日期时间,数组,否,"例:[""y""]",若该字段无相应取值，则接口中不必提交该字段,见,STK-1-4-1-2选择代码表,,,,,,
58,STK-1-4-1-1-1,急诊/门诊 或入院后首次全血细胞计数报告日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","急诊/门诊 或入院后首次全血细胞计数报告日期时间(STK-1-4-1-2)等于""无法确定或无记录""(y)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,急诊或入院后首次全血细胞计数报告日期时间应大于到达本院急诊时间,,,,,,
59,STK-1-4-2-1,凝血功能检查项目,数组,是,"例:[""a"",""b""]",见,STK-1-4-2-1选择代码表,,,,,,,
60,STK-1-4-2-3,报告日期时间是否确定,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,STK-1-4-2-3选择代码表,,,,,,
61,STK-1-4-2-2-1,报告日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","报告日期时间是否确定(STK-1-4-2-3)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,凝血功能检查报告日期时间应大于到达本院急诊时间,,,,,,
62,STK-1-4-3-1,生化检验项目,数组,是,"例:[""a"",""b""]",见,STK-1-4-3-1选择代码表,,,,,,,
63,STK-1-4-3-3,报告日期时间是否确定,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,STK-1-4-3-3选择代码表,,,,,,
64,STK-1-4-3-2-1,报告日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","报告日期时间是否确定(STK-1-4-3-3)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,生化检验报告日期时间应大于到达本院急诊时间,,,,,,
65,STK-1-4-2,急诊/门诊 或入院后24小时内首次临床检验检查,数组,是,"例:[""a"",""b""]",见,STK-1-4-2选择代码表,,,,,,,
66,STK-1-4-2-4,C-反应蛋白:检测值(mg/L),数值,参考备注,例:10,"急诊/门诊 或入院后24小时内首次临床检验检查(STK-1-4-2)等于""C-反应蛋白检测""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
67,STK-1-4-2-5,同型半胱氨酸（HCY）:检测值(μmol/L),数值,参考备注,例:10,"急诊/门诊 或入院后24小时内首次临床检验检查(STK-1-4-2)等于""同型半胱氨酸（HCY）检测 ""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
68,STK-1-4-2-6,空腹血糖:检测值(mmol/l),数值,参考备注,例:10,"急诊/门诊 或入院后24小时内首次临床检验检查(STK-1-4-2)等于""空腹血糖检测""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
69,STK-1-4-2-7,血清肌酐:检测值(μmol/l),数值,参考备注,例:10,"急诊/门诊 或入院后24小时内首次临床检验检查(STK-1-4-2)等于""血清肌酐检测""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
70,STK-1-4-2-8,血清尿素氮:检测值(mmol/l),数值,参考备注,例:10,"急诊/门诊 或入院后24小时内首次临床检验检查(STK-1-4-2)等于""血清尿素氮检测""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
71,STK-1-4-2-9,尿酸:检测值(μmol/l),数值,参考备注,例:10,"急诊/门诊 或入院后24小时内首次临床检验检查(STK-1-4-2)等于""尿酸检测""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
72,STK-1-4-4-2,临床检验检查日期时间是否确定,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,STK-1-4-4-2选择代码表,,,,,,
73,STK-1-4-4-3,临床检验检查日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","临床检验检查日期时间是否确定(STK-1-4-4-2)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
74,STK-1-4-5-1,急诊/门诊 或入院后24小时内首次心肌损伤标志物检测,数组,是,"例:[""a"",""b""]",见,STK-1-4-5-1选择代码表,,,,,,,
75,STK-1-4-5-2,肌钙蛋白T（TnT）检测值(ng/Ml),数值,参考备注,例:10,"急诊/门诊 或入院后24小时内首次心肌损伤标志物检测(STK-1-4-5-1)等于""肌钙蛋白T（TnT）检测""(a)时必填;","急诊/门诊 或入院后24小时内首次心肌损伤标志物检测(STK-1-4-5-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
76,STK-1-4-5-3,肌钙蛋白I（TnI）检测值(ng/Ml),数值,参考备注,例:10,"急诊/门诊 或入院后24小时内首次心肌损伤标志物检测(STK-1-4-5-1)等于""肌钙蛋白I（TnI）检测""(b)时必填;","急诊/门诊 或入院后24小时内首次心肌损伤标志物检测(STK-1-4-5-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
77,STK-1-4-5-4,肌酸激酶同工酶（CK-MB）检测值(ng/Ml),数值,参考备注,例:10,"急诊/门诊 或入院后24小时内首次心肌损伤标志物检测(STK-1-4-5-1)等于""肌酸激酶同工酶（CK-MB）检测""(c)时必填;","急诊/门诊 或入院后24小时内首次心肌损伤标志物检测(STK-1-4-5-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
78,STK-1-4-5-5,心肌肌红蛋白（Myo）检测值(ng/Ml),数值,参考备注,例:10,"急诊/门诊 或入院后24小时内首次心肌损伤标志物检测(STK-1-4-5-1)等于""心肌肌红蛋白（Myo）检测""(d)时必填;","急诊/门诊 或入院后24小时内首次心肌损伤标志物检测(STK-1-4-5-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
79,STK-1-4-5-6,B型钠尿肽（BNP）检测值(ng/Ml),数值,参考备注,例:10,"急诊/门诊 或入院后24小时内首次心肌损伤标志物检测(STK-1-4-5-1)等于""B型钠尿肽（BNP）检测""(e)时必填;","急诊/门诊 或入院后24小时内首次心肌损伤标志物检测(STK-1-4-5-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
80,STK-1-4-5-7,N端B型钠尿肽前体（NT-ProBNP）检测值(ng/Ml),数值,参考备注,例:10,"急诊/门诊 或入院后24小时内首次心肌损伤标志物检测(STK-1-4-5-1)等于""N端B型钠尿肽前体（NT-ProBNP）检测""(f)时必填;","急诊/门诊 或入院后24小时内首次心肌损伤标志物检测(STK-1-4-5-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
81,STK-1-4-5-8,心肌损伤标志物检测日期时间是否确定,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,STK-1-4-5-8选择代码表,,,,,,
82,STK-1-4-5-9,心肌损伤标志物检测日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","心肌损伤标志物检测日期时间是否确定(STK-1-4-5-8)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
83,STK-1-5-1,急诊/门诊 或入院后是否首次实施心电图（ECG）检查,字符串,是,"例:""y""",见,STK-1-5-1选择代码表,,,,,,,
84,STK-1-5-2-1,报告日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","急诊/门诊 或入院后是否首次实施心电图（ECG）检查(STK-1-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,实施首次心电图（ECG）检查报告日期时间应大于到达本院急诊时间,,,,,,
85,STK-1-5-3,心电图（ECG）检查结果,字符串,参考备注,"例:""a""","急诊/门诊 或入院后是否首次实施心电图（ECG）检查(STK-1-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-1-5-3选择代码表,,,,,
86,STK-1-5-3-1,其他心电图（ECG）检查结果,字符串,参考备注,"例:""填写文字说明""","心电图（ECG）检查结果(STK-1-5-3)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
87,STK-2-1-1-1,发病→到达急诊“绿色通道”时间是否确定,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,STK-2-1-1-1选择代码表,,,,,,
88,STK-2-1-1-2,发病→到达急诊“绿色通道”时间(小时),数值,否,例:10,"该字段无需用户填写,由系统自动生成;","日期差值计算公式:到达本院急诊或者门诊日期时间(CM-0-2-3-2)-发病日期时间(CM-0-2-2-2),单位:小时",,,,,,,
89,STK-2-1-2,发病→到达急诊“绿色通道”时间评估结论,字符串,否,"例:""a""",若该字段无相应取值，则接口中不必提交该字段,见,STK-2-1-2选择代码表,,,,,,
90,STK-2-2-1,是否有溶栓禁忌证,字符串,参考备注,"例:""y""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病3h以内""(a)时必填;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病3-4.5h""(b)时必填;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6h以内""(c)时必填;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""请选择""(def)时必填;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-2-2-1选择代码表
91,STK-2-2-2-2,溶栓禁忌证选择,数组,参考备注,"例:[""a"",""b""]","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","是否有溶栓禁忌证(STK-2-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-2-2-2-2选择代码表,,,
92,STK-2-2-2-1,其他临床医师认定的其他禁忌症,字符串,参考备注,"例:""填写文字说明""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓禁忌证选择(STK-2-2-2-2)等于""其他临床医师认定的其他禁忌症""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
93,STK-2-3-1-1,发病时段适应证,字符串,否,"例:""a""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","是否有溶栓禁忌证(STK-2-2-1)等于""否""(n)时可填写;",见,STK-2-3-1-1选择代码表,,,,
94,STK-2-3-1-2,溶栓适应证的选择,数组,参考备注,"例:[""a"",""e""]","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","是否有溶栓禁忌证(STK-2-2-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-2-3-1-2选择代码表,,,
95,STK-2-3-2,溶栓的评估结论的选择,字符串,参考备注,"例:""a""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","是否有溶栓禁忌证(STK-2-2-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-2-3-2选择代码表,,,
96,STK-2-4-1-1-1,溶栓开始日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""对缺血性脑发病3h内（Ⅰ级类推荐，A级证据）和3～4.5h（Ⅰ级类推荐，B级证据）的患者，应根据适应证严格筛选，尽快静脉给予rtPA溶栓治疗""(a)时必填;","溶栓的评估结论的选择(STK-2-3-2)等于""发病6h内的缺血性脑卒中患者，如不能使用rtPA可考虑静脉给予尿激酶""(b)时必填;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,溶栓开始日期时间应大于到达本院急诊时间,,
97,STK-2-4-2-1-1,溶栓终止日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""对缺血性脑发病3h内（Ⅰ级类推荐，A级证据）和3～4.5h（Ⅰ级类推荐，B级证据）的患者，应根据适应证严格筛选，尽快静脉给予rtPA溶栓治疗""(a)时必填;","溶栓的评估结论的选择(STK-2-3-2)等于""发病6h内的缺血性脑卒中患者，如不能使用rtPA可考虑静脉给予尿激酶""(b)时必填;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,溶栓终止日期时间应大于溶栓开始日期时间,,
98,STK-2-4-3,溶栓药选择,字符串,参考备注,"例:""a""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""对缺血性脑发病3h内（Ⅰ级类推荐，A级证据）和3～4.5h（Ⅰ级类推荐，B级证据）的患者，应根据适应证严格筛选，尽快静脉给予rtPA溶栓治疗""(a)时必填;","溶栓的评估结论的选择(STK-2-3-2)等于""发病6h内的缺血性脑卒中患者，如不能使用rtPA可考虑静脉给予尿激酶""(b)时必填;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-2-4-3选择代码表,
99,STK-2-4-4,实施溶栓（治疗性操作）途径,字符串,参考备注,"例:""a""",溶栓的评估结论(STK-2-3-2)等于a或b时必填若该字段无相应取值，则接口中不必提交该字段,见,STK-2-4-4选择代码表,,,,,,
100,STK-2-4-5-1,溶栓药物使用时机 DTN(Door-To-Needle),数值,参考备注,例:10,"发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""对缺血性脑发病3h内（Ⅰ级类推荐，A级证据）和3～4.5h（Ⅰ级类推荐，B级证据）的患者，应根据适应证严格筛选，尽快静脉给予rtPA溶栓治疗""(a)时可填写;","溶栓的评估结论的选择(STK-2-3-2)等于""发病6h内的缺血性脑卒中患者，如不能使用rtPA可考虑静脉给予尿激酶""(b)时可填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,"日期差值计算公式:溶栓开始日期时间(STK-2-4-1-1-1)-到达本院急诊或者门诊日期时间(CM-0-2-3-2),单位:分钟",,
101,STK-2-5-1-1,是否实施溶栓后72小时NIHSS评估,字符串,参考备注,"例:""y""",溶栓的评估结论(STK-2-3-2)等于a或b或c或d时必填若该字段无相应取值，则接口中不必提交该字段,见,STK-2-5-1-1选择代码表,,,,,,
102,STK-2-5-1-2-1,溶栓后2小时分值,数值,参考备注,例:10,"发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施溶栓后72小时NIHSS评估(STK-2-5-1-1)等于""是""(y)时必填;","是否实施溶栓后72小时NIHSS评估(STK-2-5-1-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,范围（0-42）;,范围（0-42）,
103,STK-2-5-1-3-1,溶栓后24小时分值,数值,参考备注,例:10,"发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施溶栓后72小时NIHSS评估(STK-2-5-1-1)等于""是""(y)时必填;","是否实施溶栓后72小时NIHSS评估(STK-2-5-1-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,范围（0-42）;,范围（0-42）,
