序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,
24,CM-0-2-5-2,离开ICU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,离开ICU日期时间应大于入住ICU日期时间,,,,
25,CM-0-2-6-1,手术开始（切皮）日期时间,字符串,是,"例:""1970-01-01 12:00""",手术开始日期时间应大于入院日期时间,,,,,
26,CM-0-2-6-2,手术结束（缝皮结束）日期时间,字符串,是,"例:""1970-01-01 12:00""",手术结束日期时间应大于手术开始日期时间;,手术结束日期时间应小于出院日期时间,,,,
27,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,,
28,CM-0-3-2,收入住院途径,字符串,是,"例:""a""",见,CM-0-3-2选择代码表,,,,
29,CM-0-3-3,到院交通工具,字符串,是,"例:""a""",见,CM-0-3-3选择代码表,,,,
30,CoC-1-1-1,临床表现,数组,是,"例:[""a"",""b""]",见,CoC-1-1-1选择代码表,,,,
31,CoC-1-1-1-1,其他临床表现,字符串,参考备注,"例:""填写文字说明""","临床表现(CoC-1-1-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
32,CoC-1-1-2,遗传/家族性高风险评估,数组,是,"例:[""a"",""b""]",见,CoC-1-1-2选择代码表,,,,
33,CoC-1-1-2-1,遗传/家族性其他高风险评估,字符串,参考备注,"例:""填写文字说明""","遗传/家族性高风险评估(CoC-1-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
34,CoC-1-1-3,实验室检查,数组,是,"例:[""a"",""b""]",见,CoC-1-1-3选择代码表,,,,
35,CoC-1-1-3-1,实验室其他检查,字符串,参考备注,"例:""填写文字说明""","实验室检查(CoC-1-1-3)等于""实验室其他检查""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
36,CoC-1-1-4,内窥镜检查方法,数组,是,"例:[""a"",""b""]",见,CoC-1-1-4选择代码表,,,,
37,CoC-1-1-4-1,内窥镜检查其他方法,字符串,参考备注,"例:""填写文字说明""","内窥镜检查方法(CoC-1-1-4)等于""其他方法""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
38,CoC-1-2-1,影像学评价方法,数组,是,"例:[""a"",""b""]",见,CoC-1-2-1选择代码表,,,,
39,CoC-1-2-1-1,影像学评价其他方法,字符串,参考备注,"例:""填写文字说明""","影像学评价方法(CoC-1-2-1)等于""其他方法""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
40,CoC-1-2-2,肿瘤位置,数组,是,"例:[""a"",""b""]",见,CoC-1-2-2选择代码表,,,,
41,CoC-1-2-3,肿瘤大小,数组,是,"例:[""a"",""b""]",见,CoC-1-2-3选择代码表,,,,
42,CoC-1-2-3-1,肿块大小(mm),数值,参考备注,例:10,"肿瘤大小(CoC-1-2-3)等于""肿块型""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,肿块大小填写值应大于等于0,,,
43,CoC-1-2-3-2,最大肿块(mm),数值,参考备注,例:10,"肿瘤大小(CoC-1-2-3)等于""肿块型""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,最大肿块填写值应大于等于0,,,
44,CoC-1-2-3-3,肿瘤最厚层面,数值,参考备注,例:10,"肿瘤大小(CoC-1-2-3)等于""肠壁浸润型""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,肿瘤最厚层面填写值应大于等于0,,,
45,CoC-1-2-4,肿瘤有无侵犯腹膜后,字符串,参考备注,"例:""y""","肿瘤位置(CoC-1-2-2)等于""升结肠""(d)时必填;","肿瘤位置(CoC-1-2-2)等于""降结肠""(h)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-1-2-4选择代码表,
46,CoC-1-2-5,肿瘤T分期,数组,是,"例:[""a"",""b""]",见,CoC-1-2-5选择代码表,,,,
47,CoC-1-2-6,淋巴结情况（N分期）,数组,是,"例:[""a"",""b""]",见,CoC-1-2-6选择代码表,,,,
48,CoC-1-2-6-1,区域可疑阳性淋巴结数量(个),数值,参考备注,例:10,"淋巴结情况（N分期）(CoC-1-2-6)等于""区域可疑阳性(+)淋巴结数量 ，最大短径""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,区域可疑阳性淋巴结数量填写值应大于等于0,,,
49,CoC-1-2-6-2,单个最大短径(mm),数值,参考备注,例:10,"淋巴结情况（N分期）(CoC-1-2-6)等于""区域可疑阳性(+)淋巴结数量 ，最大短径""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,单个最大短径填写值应大于等于0,,,
50,CoC-1-2-6-3,腹膜后可疑阳性淋巴结数量(个),数值,参考备注,例:10,"淋巴结情况（N分期）(CoC-1-2-6)等于""腹膜后可疑阳性(+)淋巴结数量，最大短径""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,腹膜后可疑阳性淋巴结数量填写值应大于等于0,,,
51,CoC-1-2-6-4,单个最大短径(mm),数值,参考备注,例:10,"淋巴结情况（N分期）(CoC-1-2-6)等于""腹膜后可疑阳性(+)淋巴结数量，最大短径""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,单个最大短径填写值应大于等于0,,,
52,CoC-1-2-7,远处转移（M分期）,数组,是,"例:[""a"",""b""]",见,CoC-1-2-7选择代码表,,,,
53,CoC-1-2-8,结肠壁外血管侵犯（EMVI）,字符串,是,"例:""y""",见,CoC-1-2-8选择代码表,,,,
54,CoC-1-2-9,其他异常征象,数组,是,"例:[""a"",""b""]",见,CoC-1-2-9选择代码表,,,,
55,CoC-1-2-10,影像学评价报告日期与时间,字符串,是,"例:""1970-01-01""",,,,,,
56,CoC-1-2-11,分期结论选择,字符串,是,"例:""a""",见,CoC-1-2-11选择代码表,,,,
57,CoC-1-2-11-1,cTNM 分期结论,字符串,参考备注,"例:""填写文字说明""","分期结论选择(CoC-1-2-11)等于""cTNM 分期结论""(a)时必填;","分期结论选择(CoC-1-2-11)等于""术前影像学评价相关要素不足,无法自动生成分期结论""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
58,CoC-1-2-11-2,yTNM 分期结论,字符串,参考备注,"例:""填写文字说明""","分期结论选择(CoC-1-2-11)等于""yTNM 分期结论""(b)时必填;","分期结论选择(CoC-1-2-11)等于""术前影像学评价相关要素不足,无法自动生成分期结论""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
59,CoC-2-1-1,内窥镜检查方法,数组,是,"例:[""a"",""b""]",见,CoC-2-1-1选择代码表,,,,
60,CoC-2-1-1-1,内窥镜检查其他方法,字符串,参考备注,"例:""填写文字说明""","内窥镜检查方法(CoC-2-1-1)等于""其他方法""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
61,CoC-2-1-2,内窥镜活组织取材方式,数组,是,"例:[""a"",""b""]",见,CoC-2-1-2选择代码表,,,,
62,CoC-2-1-2-1,内窥镜活组织取材其他方式,字符串,参考备注,"例:""填写文字说明""","内窥镜活组织取材方式(CoC-2-1-2)等于""其他方式""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
63,CoC-2-2-1,活检标本的病理报告内容和要求,数组,是,"例:[""a"",""b""]",见,CoC-2-2-1选择代码表,,,,
64,CoC-2-2-2,活检病理报告时间,字符串,参考备注,"例:""1970-01-01""","活检标本的病理报告内容和要求(CoC-2-2-1)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,
65,CoC-2-2-3,病理活检诊断,字符串,参考备注,"例:""a""","活检标本的病理报告内容和要求(CoC-2-2-1)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-2-2-3选择代码表,,
66,CoC-3-1-1,是否为急诊开腹或腹腔镜探查术,字符串,是,"例:""y""",见,CoC-3-1-1选择代码表,,,,
67,CoC-3-1-2,行急诊开腹或腹腔镜探查术原因,字符串,参考备注,"例:""a""","是否为急诊开腹或腹腔镜探查术(CoC-3-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-3-1-2选择代码表,,
68,CoC-3-1-2-1,行急诊开腹或腹腔镜探查术其他原因,字符串,参考备注,"例:""填写文字说明""","行急诊开腹或腹腔镜探查术原因(CoC-3-1-2)等于""其他原因""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
69,CoC-3-1-3,手术前病情评估结论,字符串,是,"例:""a""",见,CoC-3-1-3选择代码表,,,,
70,CoC-3-1-3-1,外科治疗模式,字符串,参考备注,"例:""a""","手术前病情评估结论(CoC-3-1-3)等于""cT1N0M0期结肠癌""(a)时必填;","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-3-1-3-1选择代码表,
71,CoC-3-1-3-2,内窥镜下切除或局部切除的要求,数组,参考备注,"例:[""a"",""b""]","手术前病情评估结论(CoC-3-1-3)等于""cT1N0M0期结肠癌""(a)时必填;","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-3-1-3-2选择代码表,
72,CoC-3-1-3-3,手术时间,字符串,参考备注,"例:""1970-01-01 12:00""","手术前病情评估结论(CoC-3-1-3)等于""cT1N0M0期结肠癌""(a)时必填;","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
73,CoC-3-1-4-1,手术方式,数组,参考备注,"例:[""a"",""b""]","手术前病情评估结论(CoC-3-1-3)等于""T2-4，N0-2，M0期结肠癌""(b)时必填;","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-3-1-4-1选择代码表,
74,CoC-3-1-4-2,其他手术方式,字符串,参考备注,"例:""填写文字说明""","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","手术方式(CoC-3-1-4-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
75,CoC-3-1-4-3,手术时间,字符串,参考备注,"例:""1970-01-01 12:00""","手术前病情评估结论(CoC-3-1-3)等于""T2-4，N0-2，M0期结肠癌""(b)时必填;","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","手术方式(CoC-3-1-4-1)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,
76,CoC-3-1-5-1,治疗方式,数组,参考备注,"例:[""a"",""b""]","手术前病情评估结论(CoC-3-1-3)等于""初始可切除的局部进展期结肠癌（Ⅱ、Ⅲ期）""(c)时必填;","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-3-1-5-1选择代码表,
77,CoC-3-1-5-2,手术时间,字符串,参考备注,"例:""1970-01-01 12:00""","手术前病情评估结论(CoC-3-1-3)等于""初始可切除的局部进展期结肠癌（Ⅱ、Ⅲ期）""(c)时必填;","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","治疗方式(CoC-3-1-5-1)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,
78,CoC-3-2-1,是否清扫淋巴结,字符串,参考备注,"例:""y""","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-3-2-1选择代码表,,
79,CoC-3-2-2,淋巴结清扫范围选择,数组,参考备注,"例:[""a"",""b""]","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","是否清扫淋巴结(CoC-3-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-3-2-2选择代码表,
80,CoC-3-2-3-1,D1 肠旁淋巴结,数组,参考备注,"例:[""a"",""b""]","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""肠系膜上动脉""(a)时可填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-3-2-3-1选择代码表
81,CoC-3-2-3-2,"201,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D1 肠旁淋巴结(CoC-3-2-3-1)等于""201,淋巴结数""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
82,CoC-3-2-3-3,"211,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D1 肠旁淋巴结(CoC-3-2-3-1)等于""211,淋巴结数""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
83,CoC-3-2-3-4,"221,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D1 肠旁淋巴结(CoC-3-2-3-1)等于""221,淋巴结数""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
84,CoC-3-2-3-5,D2 中间淋巴结,数组,参考备注,"例:[""a"",""b""]","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""肠系膜上动脉""(a)时可填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-3-2-3-5选择代码表
85,CoC-3-2-3-6,"202,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D2 中间淋巴结 (CoC-3-2-3-5)等于""202,淋巴结数""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
86,CoC-3-2-3-7,"212,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D2 中间淋巴结 (CoC-3-2-3-5)等于""212,淋巴结数""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
87,CoC-3-2-3-8,"222,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D2 中间淋巴结 (CoC-3-2-3-5)等于""222,淋巴结数""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
88,CoC-3-2-3-9,D3 系膜根部淋巴结,数组,参考备注,"例:[""a"",""b""]","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""肠系膜上动脉""(a)时可填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-3-2-3-9选择代码表
89,CoC-3-2-3-10,"203,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D3 系膜根部淋巴结 (CoC-3-2-3-9)等于""203,淋巴结数""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
90,CoC-3-2-3-11,"213,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D3 系膜根部淋巴结 (CoC-3-2-3-9)等于""213,淋巴结数""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
91,CoC-3-2-3-12,"223,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D3 系膜根部淋巴结 (CoC-3-2-3-9)等于""223,淋巴结数""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
92,CoC-3-2-4-1,D1 肠旁淋巴结,数组,参考备注,"例:[""a"",""b""]","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""肠系膜下动脉""(b)时可填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-3-2-4-1选择代码表
93,CoC-3-2-4-2,"231,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D1 肠旁淋巴结(CoC-3-2-4-1)等于""231,淋巴结数""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
94,CoC-3-2-4-3,"241,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D1 肠旁淋巴结(CoC-3-2-4-1)等于""241,淋巴结数""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
95,CoC-3-2-4-4,"251,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D1 肠旁淋巴结(CoC-3-2-4-1)等于""251 (直肠上动脉),淋巴结数""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
96,CoC-3-2-4-5,D2 中间淋巴结,数组,参考备注,"例:[""a"",""b""]","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""肠系膜下动脉""(b)时可填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-3-2-4-5选择代码表
97,CoC-3-2-4-6,"232,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D2 中间淋巴结 (CoC-3-2-4-5)等于""232,淋巴结数""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
98,CoC-3-2-4-7,"242,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D2 中间淋巴结 (CoC-3-2-4-5)等于""242(乙状结肠动脉),淋巴结数""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
99,CoC-3-2-4-8,"252,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D2 中间淋巴结 (CoC-3-2-4-5)等于""252,淋巴结数""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
100,CoC-3-2-4-9,D3 系膜根部淋巴结,数组,参考备注,"例:[""a""]","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""肠系膜下动脉""(b)时可填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-3-2-4-9选择代码表
101,CoC-3-2-4-10,"253,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","D3 系膜根部淋巴结 (CoC-3-2-4-9)等于""253,淋巴结数""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
102,CoC-3-2-5-1,腹主动脉旁淋巴结,数组,参考备注,"例:[""a""]","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""腹主动脉旁淋巴结""(c)时可填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-3-2-5-1选择代码表
103,CoC-3-2-5-2,"216,淋巴结数(个)",数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","腹主动脉旁淋巴结(CoC-3-2-5-1)等于""216,淋巴结数""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,淋巴结数填写值应大于等于0,
104,CoC-3-2-6-2,术中摘除淋巴结个数是否无法确定或无记录,数组,参考备注,"例:[""UTD""]","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","是否清扫淋巴结(CoC-3-2-1)等于""是""(y)时可填写;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-3-2-6-2选择代码表
105,CoC-3-2-6,术中摘除淋巴结个数(个),数值,参考备注,例:10,"手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","是否清扫淋巴结(CoC-3-2-1)等于""是""(y)时必填;","淋巴结清扫范围选择(CoC-3-2-2)等于""无法确认或无记录""(UTD)时无需填写;","术中摘除淋巴结个数是否无法确定或无记录(CoC-3-2-6-2)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,术中摘除淋巴结个数填写值应大于等于0
106,CoC-4-1-1,术中对肿瘤切除完整性进行评估,数组,参考备注,"例:[""a"",""b""]","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CoC-4-1-1选择代码表,,
107,CoC-4-1-1-1,术中对肿瘤切除完整性其他评估,字符串,参考备注,"例:""填写文字说明""","手术前病情评估结论(CoC-3-1-3)等于""无法确认或无记录""(UTD)时无需填写;","术中对肿瘤切除完整性进行评估(CoC-4-1-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,
